Title,Year,Genres,Rating,Popularity,Runtime,Director,Writer,Actors,Keywords,Plot,Ratings Amount,Language,Country
Back to the Outback,2021,"Family, Animation, Adventure, Comedy",7.7,8.211,92,Claire Knight,Harry Cripps,"Isla Fisher, Tim Minchin, Eric Bana","creature, koala","Tired of being locked in a reptile house where humans gawk at them like they are monsters, a ragtag group of Australia’s deadliest creatures plot an escape from their zoo to the Outback, a place where they’ll fit in without being judged.",731,en,US
TINA,2021,"Documentary, Music, TV Movie",7.681,10.877,118,T.J. Martin,,"Tina Turner, Angela Bassett, Oprah Winfrey","icon, biography, rags to riches, celebrity, rock music, portrait of an artist, music documentary, soul music, artistic legacy, musical performance, live musical performance, african american musician",Tina Turner overcame impossible odds to become one of the first female Black artists to reach a mainstream international audience. Her road to superstardom is an undeniable story of triumph over adversity. It’s the ultimate story of survival – and an inspirational story of our times.,69,en,"GB, US"
"tick, tick... BOOM!",2021,"Drama, Music",7.632,7.463,115,Lin-Manuel Miranda,Jonathan Larson,"Andrew Garfield, Alexandra Shipp, Robin de Jesús","new york city, composer, artist, melancholy, musical, based on true story, based on play or musical, singing, boyfriend girlfriend relationship, struggling artist, 1990s, portrait of an artist, hiv/aids epidemic, inspirational, theater","On the brink of turning 30, a promising theater composer navigates love, friendship and the pressure to create something great before time runs out.",2098,en,US
Wrath of Man,2021,"Crime, Action, Thriller",7.624,45.492,118,Guy Ritchie,,"Jason Statham, Holt McCallany, Josh Hartnett","robbery, crime boss, revenge, shootout, shooter, los angeles, california, theft, security guard, ex soldier, aggressive, cash truck, earnest","A cold and mysterious new security guard for a Los Angeles cash truck company surprises his co-workers when he unleashes precision skills during a heist. The crew is left wondering who he is and where he came from. Soon, the marksman's ultimate motive becomes clear as he takes dramatic and irrevocable steps to settle a score.",5471,en,US
The Fallout,2021,Drama,7.6,14.484,96,Megan Park,,"Jenna Ortega, Maddie Ziegler, Niles Fitch","high school, trauma, coming of age, female protagonist, school shooting, woman director, generation z, sister sister relationship","In the wake of a school tragedy, Vada, Mia and Quinton form a unique and dynamic bond as they navigate the never linear, often confusing journey to heal in a world that feels forever changed.",1157,en,US
Mortal Kombat Legends: Battle of the Realms,2021,"Animation, Action, Fantasy",7.6,9.25,80,Ethan Spaulding,Jeremy Adams,"Jordan Rodrigues, Jennifer Carpenter, Joel McHale","chosen one, based on video game, martial arts tournament, adult animation, extreme blood","The Earthrealm heroes must journey to the Outworld and fight for the survival of their homeland, invaded by the forces of evil warlord Shao Kahn, in the tournament to end all tournaments: the final Mortal Kombat.",442,en,US
Godzilla vs. Kong,2021,"Action, Science Fiction, Adventure",7.6,19.488,114,Adam Wingard,,"Alexander Skarsgård, Rebecca Hall, Kaylee Hottle","giant monster, dinosaur, creature feature, kaiju, sign languages, giant ape, godzilla, robot dinosaur, king kong","In a time when monsters walk the Earth, humanity’s fight for its future sets Godzilla and Kong on a collision course that will see the two most powerful forces of nature on the planet collide in a spectacular battle for the ages.",10093,en,US
Girl in the Basement,2021,"Thriller, Crime, TV Movie",7.6,32.467,88,Elisabeth Röhm,Manu Boyer,"Judd Nelson, Stefanie Scott, Joely Fisher","imprisonment, based on true story, basement, controlling parent","Sara is a teen girl who is looking forward to her 18th birthday to move away from her controlling father Don. But before she could even blow out the candles, Don imprisons her in the basement of their home.",727,en,US
King Richard,2021,"Drama, History",7.6,9.586,144,Reinaldo Marcus Green,Zach Baylin,"Will Smith, Aunjanue Ellis-Taylor, Saniyya Sidney","sports, tennis, tennis player, father, based on true story, wimbledon, family, tennis pro, father daughter relationship, coaching, champions","The story of how Richard Williams served as a coach to his daughters Venus and Serena, who will soon become two of the most legendary tennis players in history.",2543,en,US
Encanto,2021,"Animation, Comedy, Family, Fantasy",7.595,34.649,102,Byron Howard,,"Stephanie Beatriz, María Cecilia Botero, John Leguizamo","strong woman, magic, sadness, immigration, supernatural, beauty, musical, big family, forest, family secrets, family relationships, flamenco, joy of life, teenage girl, female protagonist, family conflict, helping children, matriarch, colombia","The tale of an extraordinary family, the Madrigals, who live hidden in the mountains of Colombia, in a magical house, in a vibrant town, in a wondrous, charmed place called an Encanto. The magic of the Encanto has blessed every child in the family—every child except one, Mirabel. But when she discovers that the magic surrounding the Encanto is in danger, Mirabel decides that she, the only ordinary Madrigal, might just be her exceptional family's last hope.",9612,en,US
Shang-Chi and the Legend of the Ten Rings,2021,"Action, Adventure, Fantasy",7.529,34.294,132,Destin Daniel Cretton,,"Simu Liu, Tony Leung, Awkwafina","martial arts, superhero, based on comic, mixed martial arts (mma), east asian lead, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu), mysterious, father son relationship",Shang-Chi must confront the past he thought he left behind when he is drawn into the web of the mysterious Ten Rings organization.,9572,en,US
To All the Boys: Always and Forever,2021,"Romance, Comedy, Drama",7.526,11.956,115,Michael Fimognari,Katie Lovejoy,"Lana Condor, Noah Centineo, Janel Parrish","based on novel or book, south korea, asian american, seoul, south korea",Senior year of high school takes center stage as Lara Jean returns from a family trip to Korea and considers her college plans — with and without Peter.,1951,en,US
The Tomorrow War,2021,"Action, Science Fiction, Adventure",7.52,40.376,138,Chris McKay,,"Chris Pratt, Yvonne Strahovski, J.K. Simmons","world cup, time travel, global warming, glacier, alien, alien invasion, military, future war, father son reunion, hope for future, changing the past or future, message from the future, father son relationship, father daughter relationship, world war, depressing","The world is stunned when a group of time travelers arrive from the year 2051 to deliver an urgent message: Thirty years in the future, mankind is losing a global war against a deadly alien species. The only hope for survival is for soldiers and civilians from the present to be transported to the future and join the fight. Among those recruited is high school teacher and family man Dan Forester. Determined to save the world for his young daughter, Dan teams up with a brilliant scientist and his estranged father in a desperate quest to rewrite the fate of the planet.",3590,en,US
Trollhunters: Rise of the Titans,2021,"Animation, Fantasy, Family, Action, Adventure",7.5,7.496,106,Johane Matte,,"Emile Hirsch, Lexi Medrano, Charlie Saxton",tales of arcadia,"The Guardians of Arcadia reunite to battle the nefarious Arcane Order, who've reawakened the primordial Titans.",335,en,US
Fatherhood,2021,"Drama, Comedy",7.5,7.507,109,Paul Weitz,,"Kevin Hart, Melody Hurd, Alfre Woodard","baby, parenthood, fatherhood, social comedy","A widowed new dad copes with doubts, fears, heartache and dirty diapers as he sets out to raise his daughter on his own. Inspired by a true story.",1425,en,US
The Witcher: Nightmare of the Wolf,2021,"Animation, Action, Fantasy",7.5,8.855,83,Han Kwang-il,,"Theo James, Mary McDonnell, Lara Pulver","monster, magic, creature, fantasy world, excited","Escaping from poverty to become a witcher, Vesemir slays monsters for coin and glory, but when a new menace rises, he must face the demons of his past.",976,en,US
The Suicide Squad,2021,"Action, Comedy, Adventure",7.491,35.937,132,James Gunn,James Gunn,"Margot Robbie, Idris Elba, John Cena","monster, secret mission, superhero, anti hero, giant monster, gore, based on comic, alien, betrayal, alien invasion, convict, parasite, super villain, world domination, aftercreditsstinger, aggressive, dc extended universe (dceu), character deaths, amused, antagonistic","Supervillains Harley Quinn, Bloodsport, Peacemaker and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese.",8774,en,US
Free Guy,2021,"Comedy, Adventure, Science Fiction",7.486,25.701,115,Shawn Levy,,"Ryan Reynolds, Jodie Comer, Joe Keery","hero, artificial intelligence (a.i.), video game, virtual reality, gun, code, gamer, bank robbery, bank teller, programmer, mmorpg, heroic, vrmmo","A bank teller discovers he is actually a background player in an open-world video game, and decides to become the hero of his own story. Now, in a world where there are no limits, he is determined to be the guy who saves his world his way before it's too late.",8953,en,US
A Quiet Place Part II,2021,"Science Fiction, Thriller, Horror",7.476,23.695,96,John Krasinski,John Krasinski,"Emily Blunt, John Krasinski, Millicent Simmonds","new york city, island, post-apocalyptic future, radio transmission, alien life-form, death of father, child in peril, sequel, alien, flashback, psychological thriller, creature, alien invasion, parenting, family, survival horror, alien monster, human vs alien, sign languages, alien attack, hostile, hearing impaired, newborn baby, anxious, dreary, suspenseful, tense, frightened","Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize that the creatures that hunt by sound are not the only threats that lurk beyond the sand path.",6685,en,US
The Unforgivable,2021,"Drama, Crime",7.431,7.547,112,Nora Fingscheidt,,"Sandra Bullock, Viola Davis, Vincent D'Onofrio","redemption, incredulous",A woman is released from prison after serving a sentence for a violent crime and re-enters a society that refuses to forgive her past.,1846,en,US
The Last Duel,2021,"History, Drama, Action",7.428,15.239,153,Ridley Scott,,"Jodie Comer, Matt Damon, Adam Driver","based on novel or book, castle, male friendship, normandy, france, based on true story, trial, battlefield, knight, duel, battle, historical, catholic, sword duel, rape and revenge, historical drama, trial by combat, nobleman, squire, 14th century, knighthood, medieval france, medieval times, noble","King Charles VI declares that Knight Jean de Carrouges settle his dispute with his squire, Jacques Le Gris, by challenging him to a duel.",3438,en,US
The Conjuring: The Devil Made Me Do It,2021,"Horror, Mystery, Thriller",7.413,23.751,111,Michael Chaves,,"Patrick Wilson, Vera Farmiga, Ruairí O'Connor","supernatural, exorcism, connecticut, sequel, paranormal investigation, 1980s, somber, religious horror, the conjuring universe, frightened","Paranormal investigators Ed and Lorraine Warren encounter what would become one of the most sensational cases from their files. The fight for the soul of a young boy takes them beyond anything they'd ever seen before, to mark the first time in U.S. history that a murder suspect would claim demonic possession as a defense.",5986,en,US
No Time to Die,2021,"Action, Thriller, Adventure",7.4,21.246,163,Cary Joji Fukunaga,,"Daniel Craig, Léa Seydoux, Rami Malek","based on novel or book, forgiveness, poison, spy, mi6, family, british secret service, parents, global threat, nanobots","Bond has left active service and is enjoying a tranquil life in Jamaica. His peace is short-lived when his old friend Felix Leiter from the CIA turns up asking for help. The mission to rescue a kidnapped scientist turns out to be far more treacherous than expected, leading Bond onto the trail of a mysterious villain armed with dangerous new technology.",6404,en,GB
PAW Patrol: The Movie,2021,"Animation, Family, Adventure, Comedy",7.4,18.577,86,Cal Brunker,,"Tyler Perry, Ron Pardo, Will Brisbin","cartoon, dog, animals, kids",Ryder and the pups are called to Adventure City to stop Mayor Humdinger from turning the bustling metropolis into a state of chaos.,1222,en,US
South Park: Post COVID: The Return of COVID,2021,"Animation, Comedy, TV Movie",7.4,7.669,62,Trey Parker,Trey Parker,"Trey Parker, Matt Stone, April Stewart","time travel, pandemic, covid-19, disgusted","If Stan, Kyle and Cartman could just work together, they could go back in time to make sure Covid never happened. But traveling back to the past seems to be the easy answer until they meet Victor Chaos.",422,en,US
Monster Pets: A Hotel Transylvania Short,2021,"Animation, Comedy, Fantasy",7.4,7.613,6,Jennifer Kluska,,"Brian Hull, Jennifer Kluska, Derek Drymon","monster, pet, dog, animals, pets, dracula, short film",Drac tries out some new monster pets to help occupy Tinkles for playtime.,397,en,US
Ciao Alberto,2021,"Animation, Comedy, Family, Fantasy",7.4,7.442,7,McKenna Jean Harris,McKenna Jean Harris,"Jack Dylan Grazer, Marco Barricelli, Jacob Tremblay","sea, boat, mentor, pasta, short film, silence","With his best friend Luca away at school, Alberto is enjoying his new life in Portorosso working alongside Massimo—the imposing, tattooed, one-armed fisherman of few words—who's quite possibly the coolest human in the entire world as far as Alberto is concerned. He wants more than anything to impress his mentor, but it's easier said than done.",666,en,US
The Last Letter from Your Lover,2021,"Drama, Romance",7.396,10.73,110,Augustine Frizzell,Nick Payne,"Shailene Woodley, Felicity Jones, Callum Turner","london, england, based on novel or book, cheating, manipulation, love letter, french riviera, car accident, love affair, nonlinear timeline, female journalist, woman director, 1960s, lost memory",A young journalist in London becomes obsessed with a series of letters she discovers that recounts an intense star-crossed love affair from the 1960s.,607,en,"CA, FR, ES, GB"
Ghostbusters: Afterlife,2021,"Fantasy, Comedy, Adventure, Science Fiction",7.357,14.792,124,Jason Reitman,Jason Reitman,"Mckenna Grace, Finn Wolfhard, Carrie Coon","small town, afterlife, ghostbuster, nostalgia, sequel, ghost, nostalgic, aftercreditsstinger, duringcreditsstinger, dead grandfather, ancient evil, otherworldly beings, paranormal events, father absence, ghostbusters","When single mom Callie and her two kids Trevor and Phoebe arrive in a small Oklahoma town, they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind.",4718,en,US
Jungle Cruise,2021,"Fantasy, Adventure",7.345,16.61,127,Jaume Collet-Serra,,"Dwayne Johnson, Emily Blunt, Edgar Ramírez","jungle, riverboat, 1910s, amazon river, based on theme park ride","Dr. Lily Houghton enlists the aid of wisecracking skipper Frank Wolff to take her down the Amazon in his dilapidated boat. Together, they search for an ancient tree that holds the power to heal – a discovery that will change the future of medicine.",5769,en,US
Minari,2021,Drama,7.338,8.193,115,Lee Isaac Chung,Lee Isaac Chung,"Steven Yeun, Han Ye-ri, Youn Yuh-jung","american dream, arkansas, church, east asian lead, farmland, farmer, semi autobiographical, heart condition, family tension, hatchery, 1980s, vegetable farm, korean american, mobile home, rural setting, grandmother grandson relationship, korean, asian american, korean food, korean immigrant","A Korean American family moves to an Arkansas farm in search of its own American dream. Amidst the challenges of this new life in the strange and rugged Ozarks, they discover the undeniable resilience of family and what really makes a home.",1636,en,US
Judas and the Black Messiah,2021,"Drama, History",7.319,8.218,126,Shaka King,,"Daniel Kaluuya, LaKeith Stanfield, Jesse Plemons","chicago, illinois, assassination, black panther party, based on true story, betrayal, betrayal by friend, hard, 1960s, african american history, rainbow coalition, awestruck, exhilarated",Bill O'Neal infiltrates the Black Panthers on the orders of FBI Agent Mitchell and J. Edgar Hoover. As Black Panther Chairman Fred Hampton ascends—falling for a fellow revolutionary en route—a battle wages for O’Neal’s soul.,1550,en,US
The Hating Game,2021,"Drama, Comedy, Romance",7.318,14.955,102,Peter Hutchings,,"Lucy Hale, Austin Stowell, Corbin Bernsen","new york city, based on novel or book, rivalry, love-hate relationship, nemesis, falling in love, young woman, young man, merger, job promotion, office romance, publishing house, holidays, enemies to lovers, romantic, adoring, working toward job promotion","Resolving to achieve professional success without compromising her ethics, Lucy embarks on a ruthless game of one-upmanship against cold and efficient nemesis Joshua, a rivalry that is complicated by her growing attraction to him.",1079,en,US
Last Night in Soho,2021,"Horror, Mystery, Thriller, Drama",7.302,9.657,116,Edgar Wright,,"Thomasin McKenzie, Anya Taylor-Joy, Matt Smith","london, england, nightmare, go-go dancer, time travel, nostalgia, fashion designer, murder, soho london, burlesque, clairvoyant, fashion design, mysterious, shocking, 1960s, somber, mirror, pub, suspenseful, amused, audacious, exuberant, tragic","A young girl, passionate about fashion design, is mysteriously able to enter the 1960s where she encounters her idol, a dazzling wannabe singer. But 1960s London is not what it seems, and time seems to be falling apart with shady consequences.",3485,en,GB
Vivo,2021,"Animation, Family, Comedy",7.3,8.275,103,Kirk DeMicco,,"Lin-Manuel Miranda, Ynairaly Simo, Zoe Saldaña","musical, monkey, animals",A music-loving kinkajou named Vivo embarks on the journey of a lifetime to fulfill his destiny and deliver a love song for an old friend.,708,en,US
The Boss Baby: Family Business,2021,"Animation, Comedy, Adventure, Family",7.3,20.227,107,Tom McGrath,Michael McCullers,"Alec Baldwin, James Marsden, Amy Sedaris","baby, boss, sequel, sibling, family",The Templeton brothers — Tim and his Boss Baby little bro Ted — have become adults and drifted away from each other. But a new boss baby with a cutting-edge approach and a can-do attitude is about to bring them together again … and inspire a new family business.,2549,en,US
Cherry,2021,"Drama, Crime",7.3,11.164,140,Joe Russo,,"Tom Holland, Ciara Bravo, Jack Reynor","post-traumatic stress disorder (ptsd), based on novel or book, war veteran, heroin, drug addiction, bank robber, us army, iraq war veteran, iraq war, army medic","Cherry drifts from college dropout to army medic in Iraq - anchored only by his true love, Emily. But after returning from the war with PTSD, his life spirals into drugs and crime as he struggles to find his place in the world.",1285,en,US
Spirit Untamed,2021,"Animation, Adventure, Family",7.3,8.242,88,Elaine Bogan,John Fusco,"Isabela Merced, Julianne Moore, Marsai Martin","horse, mustang, female protagonist, animals, wild horse, reboot, 3d animation",Lucky Prescott's life is changed forever when she moves from her home in the city to a small frontier town and befriends a wild mustang named Spirit.,522,en,US
Firebird,2021,"Drama, Romance, War",7.3,7.801,107,Peeter Rebane,Tom Prior,"Tom Prior, Oleg Zagorodnii, Diana Pozharskaya","cold war, 1970s, lgbt, lgbt in the military, gay theme, boys' love (bl)","At the height of the Cold War, a troubled soldier forms a forbidden love triangle with a daring fighter pilot and his female comrade amid the dangerous surroundings of a Soviet Air Force Base.",188,en,"EE, DE, GB"
The Loud House Movie,2021,"Animation, Family, Comedy, Adventure, Fantasy",7.3,7.776,83,Dave Needham,,"Asher Bishop, David Tennant, Michelle Gomez",musical,The Loud family travel to Scotland and discover they are descendants of Scottish royalty as they move into their giant ancestral castle.,181,en,US
Old Henry,2021,"Western, Action, Drama",7.256,7.946,99,Potsy Ponciroli,,"Tim Blake Nelson, Scott Haze, Gavin Lewis","double cross, hidden cache, headstrong son, hell unleashed, old west legend, branded gang","A widowed farmer and his son warily take in a mysterious, injured man with a satchel of cash. When a posse of men claiming to be the law come for the money, the farmer must decide who to trust. Defending a siege of his homestead, the farmer reveals a talent for gun-slinging that surprises everyone calling his true identity into question.",584,en,US
"The Good, the Bart, and the Loki",2021,"Animation, Comedy, Family",7.23,7.855,6,David Silverman,Jeff Westbrook,"Tom Hiddleston, Dan Castellaneta, Nancy Cartwright","springfield illinois, mischief",Loki is banished from Asgard once again and must face his toughest opponents yet: the Simpsons and Springfield’s mightiest heroes. The God of Mischief teams up with Bart Simpson in the ultimate crossover event paying tribute to the Marvel Cinematic Universe of superheroes and villains.,670,en,US
South Park: Post COVID,2021,"Animation, Comedy, TV Movie",7.2,7.664,59,Trey Parker,Trey Parker,"Trey Parker, Matt Stone, April Stewart","future, blunt, pandemic, covid-19","What happened to the children who lived through the Pandemic? Stan, Kyle, Cartman and Kenny survived but will never be the same Post Covid.",338,en,US
C'mon C'mon,2021,Drama,7.2,7.683,109,Mike Mills,Mike Mills,"Joaquin Phoenix, Gaby Hoffmann, Woody Norman","new york city, new orleans, louisiana, interview, los angeles, california, black and white, parenting, childhood, uncle nephew relationship, motherhood, bipolar disorder, brother sister relationship, kids speaking",Johnny and his young nephew forge a tenuous but transformational relationship when they embark on a cross-country trip to see life away from Los Angeles.,685,en,US
In the Heights,2021,"Drama, Romance",7.2,7.673,143,Jon M. Chu,,"Anthony Ramos, Corey Hawkins, Leslie Grace","musical, based on play or musical, love, aftercreditsstinger","The story of Usnavi, a bodega owner who has mixed feelings about closing his store and retiring to the Dominican Republic or staying in Washington Heights.",726,en,US
Black Widow,2021,"Action, Adventure, Science Fiction",7.2,25.136,134,Cate Shortland,,"Scarlett Johansson, Florence Pugh, Rachel Weisz","assassin, hero, spy, kgb, based on comic, female assassin, female spy, female hero, aftercreditsstinger, marvel cinematic universe (mcu), woman director","Natasha Romanoff, also known as Black Widow, confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises. Pursued by a force that will stop at nothing to bring her down, Natasha must deal with her history as a spy and the broken relationships left in her wake long before she became an Avenger.",10361,en,US
Nomadland,2021,Drama,7.2,11.641,108,Chloé Zhao,,"Frances McDormand, David Strathairn, Linda May","factory worker, van, based on novel or book, nevada, affectation, recession, homelessness, road trip, unemployment, recreational vehicle, road movie, death of husband, western usa, nomad, late stage capitalism, clinical","A woman in her sixties embarks on a journey through the western United States after losing everything in the Great Recession, living as a van-dwelling modern-day nomad.",3036,en,US
Fear Street: 1978,2021,"Horror, Mystery",7.189,10.657,111,Leigh Janiak,,"Sadie Sink, Emily Rudd, Ryan Simpkins","based on novel or book, summer camp, 1970s, curse, teenage girl, slasher, witchcraft, sister sister relationship","In 1978, two rival groups at Camp Nightwing must band together to solve a terrifying mystery when horrors from their towns' history come alive.",1958,en,US
Clifford the Big Red Dog,2021,"Family, Adventure, Comedy, Fantasy, Animation",7.177,12.832,97,Walt Becker,,"Darby Camp, Jack Whitehall, Izaac Wang","based on novel or book, dog, giant dog, pets, live action and animation, cgi-live action hybrid, animated character","As Emily struggles to fit in at home and at school, she discovers a small red puppy who is destined to become her best friend. When Clifford magically undergoes one heck of a growth spurt, becomes a gigantic dog and attracts the attention of a genetics company, Emily and her Uncle Casey have to fight the forces of greed as they go on the run across New York City. Along the way, Clifford affects the lives of everyone around him and teaches Emily and her uncle the true meaning of acceptance and unconditional love.",1740,en,US
