Title,Year,Genres,Rating,Runtime,Director,Writer,Actors,Plot,Language,Country
No Half Measures: Creating the Final Season of Breaking Bad,2013,Documentary,8.4,135,Stuart Richardson,,"Bryan Cranston, Aaron Paul, Anna Gunn",A documentary about the making of season five of the acclaimed AMC series Breaking Bad.,en,US
One Direction: This Is Us,2013,"Documentary, Music",8.3,107,Morgan Spurlock,,"Harry Styles, Zayn Malik, Liam Payne","""One Direction: This Is Us"" is a captivating and intimate all-access look at life on the road for the global music phenomenon. Weaved with stunning live concert footage, this inspiring feature film tells the remarkable story of Niall, Zayn, Liam, Harry and Louis' meteoric rise to fame, from their humble hometown beginnings and competing on the X-Factor, to conquering the world and performing at London’s famed O2 Arena. Hear it from the boys themselves and see through their own eyes what it's really like to be One Direction.",en,"GB, US"
Prisoners,2013,"Drama, Thriller, Crime",8.099,153,Denis Villeneuve,Aaron Guzikowski,"Hugh Jackman, Jake Gyllenhaal, Viola Davis","Keller Dover is facing every parent’s worst nightmare. His six-year-old daughter, Anna, is missing, together with her young friend, Joy, and as minutes turn to hours, panic sets in. The only lead is a dilapidated RV that had earlier been parked on their street.",en,US
Transformers Prime: Beast Hunters - Predacons Rising,2013,"Action, Animation, Science Fiction, TV Movie",8.0,66,Vinton Heuck,Steven Melching,"Peter Cullen, Frank Welker, Sumalee Montano","Autobots, Decepticons, Predaking and Predacons form an unlikely alliance to battle a resurrected Unicron.",en,US
The Wolf of Wall Street,2013,"Crime, Drama, Comedy",8.0,180,Martin Scorsese,,"Leonardo DiCaprio, Jonah Hill, Margot Robbie","A New York stockbroker refuses to cooperate in a large securities fraud case involving corruption on Wall Street, corporate banking world and mob infiltration. Based on Jordan Belfort's autobiography.",en,US
12 Years a Slave,2013,"Drama, History",7.937,134,Steve McQueen,,"Chiwetel Ejiofor, Michael Fassbender, Lupita Nyong'o","In the pre-Civil War United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery. Facing cruelty as well as unexpected kindnesses Solomon struggles not only to stay alive, but to retain his dignity. In the twelfth year of his unforgettable odyssey, Solomon’s chance meeting with a Canadian abolitionist will forever alter his life.",en,US
"Batman: The Dark Knight Returns, Part 2",2013,"Science Fiction, Action, Animation, Mystery, Crime, Drama, Thriller",7.922,78,Jay Oliva,,"Peter Weller, Ariel Winter, David Selby",Batman has stopped the reign of terror that The Mutants had cast upon his city.  Now an old foe wants a reunion and the government wants The Man of Steel to put a stop to Batman.,en,US
About Time,2013,"Drama, Romance, Fantasy",7.9,123,Richard Curtis,Richard Curtis,"Domhnall Gleeson, Rachel McAdams, Bill Nighy","The night after another unsatisfactory New Year's party, Tim's father tells his son that the men in his family have always had the ability to travel through time. They can't change history, but they can change what happens and has happened in their own lives. Thus begins the start of a lesson in learning to appreciate life itself as it is, as it comes, and most importantly, the people living alongside us.",en,GB
Dallas Buyers Club,2013,"Drama, History",7.9,117,Jean-Marc Vallée,Craig Borten,"Matthew McConaughey, Jennifer Garner, Jared Leto","Loosely based on the true-life tale of Ron Woodroof, a drug-taking, women-loving, homophobic man who in 1986 was diagnosed with HIV/AIDS and given thirty days to live.",en,US
Justice League: The Flashpoint Paradox,2013,"Animation, Science Fiction, Action, Adventure, Fantasy",7.9,75,Jay Oliva,,"Justin Chambers, C. Thomas Howell, Michael B. Jordan",The Flash finds himself in a war-torn alternate timeline and teams up with alternate versions of his fellow heroes to restore the timeline.,en,US
Monster High: Scaris City of Frights,2013,"Animation, Fantasy",7.872,61,Andrew Duncan,,"Salli Saffioti, Kate Higgins, Erin Fitzgerald","The Monstruitas of Monster High are obsessed with going to Scaris, The City of Frights for Fashion international competition where the winner will become the apprentice of the world famous Madame Ghostier designer.",en,US
Her,2013,"Romance, Science Fiction, Drama",7.852,126,Spike Jonze,Spike Jonze,"Joaquin Phoenix, Scarlett Johansson, Lynn Adrianna","In the not so distant future, Theodore, a lonely writer, purchases a newly developed operating system designed to meet the user's every need. To Theodore's surprise, a romantic relationship develops between him and his operating system. This unconventional love story blends science fiction and romance in a sweet tale that explores the nature of love and the ways that technology isolates and connects us all.",en,US
Monster High: 13 Wishes,2013,"Family, Fantasy, Animation",7.7,73,Steve Sacks,Ted Zizik,"America Young, Jonquil Goode, Salli Saffioti","It’s a new school year at Monster High™, and the little sister of Clawdeen Wolf™, Howleen, is determined to be more fangtastic than ever.  Her dream of popularity turns out to be easier than anyone imagined when she stumbles upon a genie named Gigi Grant™ who grants her not 3, but 13 Wishes!  But the ghouls quickly learn to be s-careful what you wish for because each wish comes with a dark side, and soon the student disem-body of Monster High™ is turned upside-down!  Join Frankie Stein™, Clawdeen Wolf™, Draculaura™ and the rest of their creeperiffic ghoulfriends as they journey deep inside the magic lantern to save the very soul of Monster High™… while flashing their killer style every step of the way!",en,US
Rush,2013,"Drama, Action",7.7,123,Ron Howard,Peter Morgan,"Chris Hemsworth, Daniel Brühl, Olivia Wilde","In the 1970s, a rivalry propels race car drivers Niki Lauda and James Hunt to fame and glory — until a horrible accident threatens to end it all.",en,"US, GB"
Scooby-Doo! Stage Fright,2013,"Family, Adventure, Animation, Comedy, Mystery",7.6,75,Victor Cook,Doug Langdale,"Frank Welker, Mindy Cohn, Grey DeLisle","Join Scooby-Doo, Shaggy and the Mystery Inc. crew as they head to Chicago for Talent Star, a hit talent show in which Fred and Daphne are finalists with some high hopes. Unlucky for them, the competition is frightful as the show is being broadcast from an opera house with a history of horrors and a particularly vengeful phantom that has cursed the show's production.",en,US
The Hobbit: The Desolation of Smaug,2013,"Fantasy, Adventure, Action",7.572,161,Peter Jackson,,"Ian McKellen, Martin Freeman, Richard Armitage","The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.",en,US
The Conjuring,2013,"Horror, Thriller",7.539,112,James Wan,,"Patrick Wilson, Vera Farmiga, Lili Taylor","Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse. Forced to confront a powerful entity, the Warrens find themselves caught in the most terrifying case of their lives.",en,US
Before Midnight,2013,"Romance, Drama",7.5,109,Richard Linklater,Richard Linklater,"Ethan Hawke, Julie Delpy, Seamus Davey-Fitzpatrick","It has been nine years since we last met Jesse and Celine, the French-American couple who once met on a train in Vienna. They now live in Paris with twin daughters but have spent a summer in Greece at the invitation of an author colleague of Jesse's. When the vacation is over and Jesse must send his teenage son off to the States, he begins to question his life decisions, and his relationship with Celine is at risk.",en,US
Captain Phillips,2013,"Action, Drama, Thriller",7.5,134,Paul Greengrass,,"Tom Hanks, Barkhad Abdi, Barkhad Abdirahman","The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the US-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years.",en,US
The Hunger Games: Catching Fire,2013,"Adventure, Action, Science Fiction",7.4,146,Francis Lawrence,,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth","Katniss Everdeen has returned home safe after winning the 74th Annual Hunger Games along with fellow tribute Peeta Mellark. Winning means that they must turn around and leave their family and close friends, embarking on a ""Victor's Tour"" of the districts. Along the way Katniss senses that a rebellion is simmering, but the Capitol is still very much in control as President Snow prepares the 75th Annual Hunger Games (The Quarter Quell) - a competition that could change Panem forever.",en,US
Fruitvale Station,2013,Drama,7.4,82,Ryan Coogler,,"Michael B. Jordan, Melonie Diaz, Octavia Spencer","Oakland, California. Young Afro-American Oscar Grant crosses paths with family members, friends, enemies and strangers before facing his fate on the platform at Fruitvale Station, in the early morning hours of New Year's Day 2009.",en,US
Lone Survivor,2013,"War, Action, Drama",7.4,121,Peter Berg,Peter Berg,"Mark Wahlberg, Taylor Kitsch, Emile Hirsch","Four Navy SEALs on a covert mission to neutralize a high-level Taliban operative must make an impossible moral decision in the mountains of Afghanistan that leads them into an enemy ambush. As they confront unthinkable odds, the SEALs must find reserves of strength and resilience to fight to the finish.",en,US
