Title,Year,Genres,Rating,Popularity,Runtime,Director,Writer,Actors,Keywords,Plot,Ratings Amount,Language,Country
Hacksaw Ridge,2016,"Drama, History, War",8.2,25.063,139,Mel Gibson,,"Andrew Garfield, Sam Worthington, Vince Vaughn","japan, hero, world war ii, abusive father, affectation, pacifism, bible, gore, vegetarian, biography, based on true story, okinawa, conscientious objector, religion, soldier, alcoholic, war hero, pacifist, medic, us military, battle of okinawa, congressional medal of honor, amused, combat medic, weaponless, seventh-day adventists","WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first Conscientious Objector in American history to receive the Congressional Medal of Honor.",13937,en,"AU, GB, US"
Piper,2016,"Family, Animation",8.1,7.273,6,Alan Barillaro,Alan Barillaro,,"fear, short film","A mother bird tries to teach her little one how to find food by herself. In the process, she encounters a traumatic experience that she must overcome in order to survive.",1645,en,US
Lion,2016,Drama,8.1,10.85,118,Garth Davis,,"Dev Patel, Rooney Mara, David Wenham","australia, based on novel or book, adoption, affectation, biography, based on true story, india, missing child, long lost relative, tasmania, street child, dramatic, familiar","A five-year-old Indian boy gets lost on the streets of Calcutta, thousands of kilometers from home. He survives many challenges before being adopted by a couple in Australia; 25 years later, he sets out to find his lost family.",6601,en,"AU, US, GB"
Hidden Figures,2016,"Drama, History",8.057,22.722,127,Theodore Melfi,,"Taraji P. Henson, Octavia Spencer, Janelle Monáe","nasa, mathematics, sexism, biography, racial segregation, racism, historical fiction, scientist, space race, discrimination, 1960s, space program, african american history, apologetic, arrogant, authoritarian, callous, condescending, disrespectful, earnest, frustrated","The untold story of Katherine G. Johnson, Dorothy Vaughan and Mary Jackson – brilliant African-American women working at NASA and serving as the brains behind one of the greatest operations in history – the launch of astronaut John Glenn into orbit. The visionary trio crossed all gender and race lines to inspire generations to dream big.",9825,en,US
A Street Cat Named Bob,2016,"Family, Drama",7.9,7.444,103,Roger Spottiswoode,Tim John,"Luke Treadaway, Ruta Gedmintas, Joanne Froggatt","based on novel or book, cat, drug addiction, human animal relationship, biography, addiction, recovering addict, moral transformation, street musician, busker, unlucky","James Bowen, a homeless busker and recovering drug addict, has his life transformed when he meets a stray ginger cat.",1449,en,"US, GB"
Me Before You,2016,"Drama, Romance",7.9,31.388,110,Thea Sharrock,,"Emilia Clarke, Sam Claflin, Janet McTeer","depression, small town, based on novel or book, england, artist, wheelchair, romance, love, caretaker, caregiver, disabled, valentine's day, twenty something, woman director, accident","A small town girl is caught between dead-end jobs. A high-profile, successful man becomes wheelchair bound following an accident. The man decides his life is not worth living until the girl is hired for six months to be his new caretaker. Worlds apart and trapped together by circumstance, the two get off to a rocky start. But the girl becomes determined to prove to the man that life is worth living and as they embark on a series of adventures together, each finds their world changing in ways neither of them could begin to imagine.",12520,en,US
Captain Fantastic,2016,"Adventure, Drama",7.9,10.104,118,Matt Ross,Matt Ross,"Viggo Mortensen, George MacKay, Samantha Isler","parent child relationship, new mexico, socialism, wilderness, melancholy, road trip, family relationships, survivalist, homeschooling, in-laws, mental illness, death of mother, washington state, bohemian, school bus, isolated house, naturalist, off the grid, death of wife, calm, social isolation, noam chomsky, living off the grid, pacific northwest","Deep in the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, beginning a journey that challenges his idea of what it means to be a parent.",6462,en,US
La La Land,2016,"Comedy, Drama, Romance, Music",7.899,37.199,129,Damien Chazelle,Damien Chazelle,"Ryan Gosling, Emma Stone, John Legend","dancing, dance, jazz, musical, ambition, casting, coffee shop, jazz club, traffic jam, hollywood, los angeles, california, pianist, pier, audition, valentine's day, planetarium, aspiring actor, movie set, sunset, one woman show, pool party, griffith observatory, romantic, exuberant, tragic","Mia, an aspiring actress, serves lattes to movie stars in between auditions and Sebastian, a jazz musician, scrapes by playing cocktail party gigs in dingy bars, but as success mounts they are faced with decisions that begin to fray the fragile fabric of their love affair, and the dreams they worked so hard to maintain in each other threaten to rip them apart.",17090,en,US
Monster High: Great Scarrier Reef,2016,"Family, Animation",7.8,7.266,69,William Lau,Nina G. Bargiel,"Larissa Gallagher, Kate Higgins, Debi Derryberry",,"Join your favourite ghoulfriends in an all-new aquatic adventure! When the ghouls get pulled into the school pool, they're transported to the gore-geous underwater world of the Great Scarrier Reef. Lagoon realizes she's come home and, in a fintastic mission of the heart, decides to come to terms with her own freaky flaws. Of course she'll need help from the most creeperific firends ever as she confronts a frenemy from her past, competes in a scaretastic dance extravaganze, and fights a terrible beast from the deep!",112,en,US
Sherlock: The Abominable Bride,2016,"Crime, Drama, Mystery",7.8,7.82,90,Douglas Mackinnon,Mark Gatiss,"Benedict Cumberbatch, Martin Freeman, Una Stubbs","bride, police detective, crime investigation, tv episode, homicide investigation, detective with humor, sherlock holmes",Sherlock Holmes and Dr. Watson find themselves in 1890s London in this holiday special.,2257,en,GB
