Title,Year,Genres,Rating,Popularity,Runtime,Director,Writer,Actors,Keywords,Plot,Ratings Amount,Language,Country
Nude,2017,Documentary,9.5,7.405,89,Tony Sacco,,"David Bellemere, Steve Shaw, Rachel Cook","photography, creative process, nude photography",NUDE explores perceptions of nudity in art by chronicling the creative process of photographer David Bellemere as he's commissioned by NU Muses founder Steve Shaw to shoot a fine art calendar of nude photographs.,161,en,US
Coco,2017,"Family, Animation, Music, Adventure",8.2,45.968,105,Lee Unkrich,,"Anthony Gonzalez, Gael García Bernal, Benjamin Bratt","skeleton, mexico, guitar, afterlife, musician, holiday, villain, singer, murderer, life after death, child, day of the dead, music, boy","Despite his family’s baffling generations-old ban on music, Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector, and together, they set off on an extraordinary journey to unlock the real story behind Miguel's family history.",19771,en,US
Call Me by Your Name,2017,"Romance, Drama",8.121,28.51,132,Luca Guadagnino,,"Armie Hammer, Timothée Chalamet, Michael Stuhlbarg","based on novel or book, upper class, italy, swimming pool, coming of age, love, breaking the fourth wall, summer, teenage boy, masturbation, first love, lgbt, jewish family, 1980s, peach, gay theme","In 1980s Italy, a relationship begins between seventeen-year-old teenage Elio and the older adult man hired as his father's research assistant.",12203,en,US
"Three Billboards Outside Ebbing, Missouri",2017,"Crime, Drama",8.1,8.733,115,Martin McDonagh,Martin McDonagh,"Frances McDormand, Woody Harrelson, Sam Rockwell","small town, suicide, police brutality, rape, missouri, dark comedy, alcoholism, murder, arson, cancer, teenage girl, police corruption, racism, anger, billboard, guilty conscience, molotov cocktail, pool hall","After seven months have passed without a culprit in her daughter's murder case, Mildred Hayes makes a bold move, painting three signs leading into her town with a controversial message directed at Bill Willoughby, the town's revered chief of police. When his second-in-command Officer Jason Dixon, an immature mother's boy with a penchant for violence, gets involved, the battle between Mildred and Ebbing's law enforcement is only exacerbated.",10202,en,"US, GB"
Wonder,2017,"Drama, Family",8.1,16.597,113,Stephen Chbosky,,"Jacob Tremblay, Julia Roberts, Owen Wilson","exclusion, bullying, coney island, prejudice, school, based on children's book, family, physical disability, treacher collins syndrome, relaxed, sentimental, melodramatic","The story of August Pullman – a boy with facial differences – who enters fifth grade, attending a mainstream elementary school for the first time.",7926,en,US
Gifted,2017,"Drama, Comedy",8.0,18.271,101,Marc Webb,Tom Flynn,"Chris Evans, Mckenna Grace, Lindsay Duncan","cat, mathematics, intellectually gifted, child prodigy, teacher, school, prize, child custody, legal drama, gifted children, custody hearing","Frank, a single man raising his child prodigy niece Mary, is drawn into a custody battle with his mother.",5578,en,US
Loving Vincent,2017,"Animation, Drama, Mystery, History",7.995,7.438,95,Hugh Welchman,Hugh Welchman,"Douglas Booth, Robert Gulaczyk, Eleanor Tomlinson","artist, investigation, letter, painter, bullying, adult animation, struggling artist, 19th century, mysterious death, controversial artist, vincent van gogh",A young man arrives at the last hometown of painter Vincent van Gogh to deliver the troubled artist's final letter and ends up investigating his final days there.,2470,en,"PL, GB"
The Greatest Showman,2017,Drama,7.88,19.473,105,Michael Gracey,,"Hugh Jackman, Zac Efron, Michelle Williams","adultery, circus, musical, biography, rags to riches, based on true story, outcast, singing, dreamer, freak show, grand, cheerful","The story of American showman P.T. Barnum, founder of the circus that became the famous traveling Ringling Bros. and Barnum & Bailey Circus.",9535,en,US
Scooby-Doo! Shaggy's Showdown,2017,"Animation, Family, Mystery, Comedy, Western",7.862,7.424,80,Matt Peters,Doug Langdale,"Frank Welker, Grey DeLisle, Matthew Lillard","friendship, ranch, talking dog, cowboy, ghost, haunted, town","When the Scooby gang visits a dude ranch, they discover that it and the nearby town have been haunted by a ghostly cowboy, Dapper Jack, who fires real fire from his fire irons. The mystery only deepens when it’s discovered that the ghost is also the long lost relative of Shaggy Rogers!",181,en,US
Logan,2017,"Action, Drama, Science Fiction",7.82,25.78,137,James Mangold,,"Hugh Jackman, Dafne Keen, Patrick Stewart","future, experiment, immortality, self-destruction, cyborg, dystopia, superhero, mutant, road trip, based on comic, sequel, super power, neo-western, troubled past, aging superhero, life on the margin, dramatic, antagonistic, dignified","In the near future, a weary Logan cares for an ailing Professor X in a hideout on the Mexican border. But Logan's attempts to hide from the world and his legacy are upended when a young mutant arrives, pursued by dark forces.",19464,en,US
