Title,Year,Genres,Rating,Popularity,Runtime,Director,Writer,Actors,Keywords,Plot,Ratings Amount,Language,Country
Gabriel's Inferno: Part III,2020,"Romance, Drama",8.4,8.907,102,Tosca Musk,,"Melanie Zanetti, Giulio Berruti, Rhett Wellington Ramirez",,The final part of the film adaption of the erotic romance novel Gabriel's Inferno written by an anonymous Canadian author under the pen name Sylvain Reynard.,1057,en,US
Lucy Shimmers and the Prince of Peace,2020,"Drama, Family",8.4,12.134,87,Rob Diamond,Rob Diamond,"Scarlett Diamond, Adam Hightower, Vincent Vargas","faith, peace, prince, christmas, jesus christ, christian faith",Second chances start when a hardened criminal crosses paths with a precocious little girl who is helped by an angel to change hearts during the holiday season.,297,en,US
Life in a Year,2020,"Drama, Romance",8.244,10.406,107,Mitja Okorn,Will Matthews,"Jaden Smith, Cara Delevingne, Cuba Gooding Jr.",,"A 17 year old finds out that his girlfriend is dying, so he sets out to give her an entire life, in the last year she has left.",1897,en,US
Justice League Dark: Apokolips War,2020,"Animation, Action, Science Fiction, Adventure, Fantasy",8.218,8.632,90,Matt Peters,,"Matt Ryan, Jerry O'Connell, Taissa Farmiga","superhero, based on comic, hopeless, dc animated movie universe, depressing, bitter, disrespectful","Earth is decimated after intergalactic tyrant Darkseid has devastated the Justice League in a poorly executed war by the DC Super Heroes. Now the remaining bastions of good – the Justice League, Teen Titans, Suicide Squad and assorted others – must regroup, strategize and take the war to Darkseid in order to save the planet and its surviving inhabitants.",1476,en,US
Clouds,2020,"Music, Drama, Romance",8.2,7.322,121,Justin Baldoni,,"Fin Argus, Sabrina Carpenter, Madison Iseman","life and death, terminal illness, cancer, aspiring musician","Young musician Zach Sobiech discovers his cancer has spread, leaving him just a few months to live. With limited time, he follows his dream and makes an album, unaware that it will soon be a viral music phenomenon.",1012,en,US
Wolfwalkers,2020,"Animation, Family, Adventure, Fantasy",8.2,8.589,103,Tomm Moore,,"Honor Kneafsey, Eva Whittaker, Sean Bean","friendship, wolf, magic, fairy tale, shapeshifting, wolf's lair, feral child, forest, woods, female protagonist, ireland, family, folklore, werewolf child, curious, calm, healer, reflective, wolves, irish folklore, hand drawn animation, father daughter relationship, mother daughter relationship, serene, fantasy, 1600s, enchanted forest, admiring, adoring, comforting, compassionate, enchant, excited, gentle","In a time of superstition and magic, when wolves are seen as demonic and nature an evil to be tamed, a young apprentice hunter comes to Ireland with her father to wipe out the last pack. But when she saves a wild native girl, their friendship leads her to discover the world of the Wolfwalkers and transform her into the very thing her father is tasked to destroy.",1219,en,"FR, IE, LU"
Hamilton,2020,"History, Drama",8.168,7.979,160,Thomas Kail,Lin-Manuel Miranda,"Lin-Manuel Miranda, Leslie Odom Jr., Renée Elise Goldsberry","adultery, corruption, upper class, presidential election, musical, biography, stage show, based on play or musical, 18th century, broadway musical, pistol duel, revolutionary war, founding fathers, stage musical, filmed play, live theatre, filmed theater","Presenting the tale of American founding father Alexander Hamilton, this filmed version of the original Broadway smash hit is the story of America then, told by America now.",1449,en,US
The Father,2020,Drama,8.115,10.1,97,Florian Zeller,,"Anthony Hopkins, Olivia Colman, Mark Gatiss","london, england, loss of sense of reality, flat, dementia, mistaken identity, alzheimer's disease, based on play or musical, old man, memory loss, elderly man, father daughter relationship, fading memories, family caregiving","A man refuses all assistance from his daughter as he ages and, as he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.",3251,en,GB
Soul,2020,"Animation, Family, Comedy, Fantasy",8.114,23.279,101,Pete Docter,,"Jamie Foxx, Tina Fey, Graham Norton","new york city, jazz, musician, cat, self-discovery, jazz singer or musician, teacher, aftercreditsstinger, duringcreditsstinger, life after death, thoughtful","Joe Gardner is a middle school teacher with a love for jazz music. After a successful audition at the Half Note Club, he suddenly gets into an accident that separates his soul from his body and is transported to the You Seminar, a center in which souls develop and gain passions before being transported to a newborn child. Joe must enlist help from the other souls-in-training, like 22, a soul who has spent eons in the You Seminar, in order to get back to Earth.",10635,en,US
Mortal Kombat Legends: Scorpion's Revenge,2020,"Animation, Action, Fantasy",8.1,12.803,80,Ethan Spaulding,Jeremy Adams,"Patrick Seitz, Jordan Rodrigues, Jennifer Carpenter","magic, ninja fighter, revenge, sorcerer, tournament, shaolin monk, fighting, based on video game, adult animation, god of thunder","After the vicious slaughter of his family by stone-cold mercenary Sub-Zero, Hanzo Hasashi is exiled to the torturous Netherrealm. There, in exchange for his servitude to the sinister Quan Chi, he’s given a chance to avenge his family – and is resurrected as Scorpion, a lost soul bent on revenge. Back on Earthrealm, Lord Raiden gathers a team of elite warriors – Shaolin monk Liu Kang, Special Forces officer Sonya Blade and action star Johnny Cage – an unlikely band of heroes with one chance to save humanity. To do this, they must defeat Shang Tsung’s horde of Outworld gladiators and reign over the Mortal Kombat tournament.",1387,en,US
Black Beauty,2020,Drama,8.0,7.153,110,Ashley Avis,,"Kate Winslet, Mackenzie Foy, Iain Glen","narration, teenager horse relationship","Born free in the American West, Black Beauty is a horse rounded up and brought to Birtwick Stables, where she meets spirited teenager Jo Green. The two forge a bond that carries Beauty through the different chapters, challenges and adventures.",339,en,US
Miss Americana,2020,"Documentary, Music",7.902,7.217,85,Lana Wilson,,"Taylor Swift, Joe Alwyn, Todrick Hall","politics, pop star, pop culture, behind the scenes, pop music","A raw and emotionally revealing look at one of the most iconic artists of our time during a transformational period in her life as she learns to embrace her role not only as a songwriter and performer, but as a woman harnessing the full power of her voice.",602,en,US
