Title,Year,Genres,Rating,Runtime,Director,Writer,Actors,Plot,Language,Country
Django Unchained,2012,"Drama, Western",8.183,165,Quentin Tarantino,Quentin Tarantino,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio","With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",en,US
Monster High: Why Do Ghouls Fall in Love?,2012,"Fantasy, Animation",8.0,45,Steve Sacks,Mike McKenzie,"Debi Derryberry, Ogie Banks, Jonathan Lipow","Draculaura’s Sweet 1600th birthday is an extra special occasion to party at Monster High! But her high expectations lead to deadly results when she’s faced with the choice between practical boyfriend Clawd, and new vampire heartthrob, Valentine, a romantic blast from her past. Her ghoulfriends find it odd that Valentine created a holiday in her honor, but oddly named it after himself (how romantic?) and have to stop him before he steals her heart… literally. Draculaura must decide which boy is right for her before the party! Will she find out about Valentine’s sinister plan? Will her best ghoulfriends be able to help her in time? And most importantly… will Draculaura pass her driving test?",en,US
Monster High: Friday Night Frights,2012,"Animation, Family",7.8,46,Dustin McKenzie,Mike Montesano,"Kate Higgins, Debi Derryberry, Salli Saffioti","SKRM (Skultimate Roller Maze) is an annual tournament between Monster High and different monster high schools that consists of a roller derby of dangerous obstacles and mazes. Granite City High, a high school team of gargoyles and Monster High's oldest rivals, won the school crest after defeating them in SKRM, and with it taking the school spirit. This has resulted in the school literally beginning to fall apart, and due to the boys serious injuries after the tournament, they decide not to participate any longer.  This prompts the ghouls to play SKRM in the boys place, and they suit up and begin training. However, the boys protest and claim SKRM is a boys sport only, and they won't help the ghouls train. This only pushes them to work harder, with the goal of making it to the championship game to defeat Granite City High.",en,US
Monster High: Escape from Skull Shores,2012,"Animation, Family, Fantasy",7.8,45,Steve Ball,Mike Montesano,"Kate Higgins, Laura Bailey, Salli Saffioti","It's officially Spring Break at Monster High, and Lagoona takes her gilfriends across the sea to the Great Barrier Reef, but they are ship wrecked and end up on a mysterious skull shaped island. Here they enjoy the local hospitality until they realize that they are being used by a slippery showman named Farnum to lure the rarest, most mysterious monster of them all, ""the Beast"" into a trap. Frankie is taken by the Beast but tables turn and she ends up rescuing him and returning with him to Monster High. The story goes to high voltage when they realize that Frankie has inadvertently led Farnum to the location of the greatest gathering of monsters anywhere...Monster High.",en,US
The Perks of Being a Wallflower,2012,Drama,7.8,103,Stephen Chbosky,,"Logan Lerman, Emma Watson, Ezra Miller","Pittsburgh, Pennsylvania, 1991. High school freshman Charlie is a wallflower, always watching life from the sidelines, until two senior students, Sam and her stepbrother Patrick, become his mentors, helping him discover the joys of friendship, music and love.",en,US
The Dark Knight Rises,2012,"Action, Crime, Drama, Thriller",7.784,165,Christopher Nolan,,"Christian Bale, Gary Oldman, Tom Hardy","Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",en,"GB, US"
"Batman: The Dark Knight Returns, Part 1",2012,"Science Fiction, Action, Animation, Mystery, Crime, Drama",7.736,76,Jay Oliva,,"Peter Weller, Ariel Winter, David Selby","Batman has not been seen for ten years. A new breed of criminal ravages Gotham City, forcing 55-year-old Bruce Wayne back into the cape and cowl. But, does he still have what it takes to fight crime in a new era?",en,US
Big Top Scooby-Doo!,2012,"Family, Animation, Comedy, Mystery",7.7,81,Heather A. Maxwell,Doug Langdale,"Frank Welker, Mindy Cohn, Grey DeLisle","When Scooby and the gang hear of a werewolf plaguing a traveling circus, they go undercover as circus performers to get to the bottom.",en,US
The Avengers,2012,"Science Fiction, Action, Adventure",7.7,143,Joss Whedon,,"Robert Downey Jr., Chris Evans, Mark Ruffalo","When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",en,US
Moonrise Kingdom,2012,"Comedy, Drama, Romance",7.686,94,Wes Anderson,Wes Anderson,"Jared Gilman, Kara Hayward, Bruce Willis","Set on an island off the coast of New England in the summer of 1965, Moonrise Kingdom tells the story of two twelve-year-olds who fall in love, make a secret pact, and run away together into the wilderness. As various authorities try to hunt them down, a violent storm is brewing off-shore – and the peaceful island community is turned upside down in more ways than anyone can handle.",en,US
Justice League: Doom,2012,"Action, Animation, Science Fiction",7.4,77,Lauren Montgomery,,"Kevin Conroy, Tim Daly, Susan Eisenberg","An adaptation of Mark Waid's ""Tower of Babel"" story from the JLA comic. Vandal Savage steals confidential files Batman has compiled on the members of the Justice League, and learns all their weaknesses.",en,US
Life of Pi,2012,"Adventure, Drama",7.4,127,Ang Lee,,"Suraj Sharma, Irrfan Khan, Ayush Tandon","The story of an Indian boy named Pi, a zookeeper's son who finds himself in the company of a hyena, zebra, orangutan, and a Bengal tiger after a shipwreck sets them adrift in the Pacific Ocean.",en,US
Sofia the First: Once Upon a Princess,2012,"Animation, Family",7.4,47,Jamie Mitchell,Craig Gerber,"Ariel Winter, Sara Ramirez, Jim Cummings","Set in the storybook world of Enchancia, the music-filled movie follows Sofia, an average girl whose life suddenly changes when her mother marries the king and she is whisked off to live in a castle with her mom, new step-father, King Roland II, and step-siblings, Amber and James. Along the way this ordinary girl learns to navigate the extraordinary life of royalty, and in the process makes everyone around her feel special.",en,US
Rise of the Guardians,2012,"Animation, Family, Fantasy",7.364,97,Peter Ramsey,,"Chris Pine, Alec Baldwin, Jude Law","When an evil spirit known as Pitch lays down the gauntlet to take over the world, the immortal Guardians must join forces for the first time to protect the hopes, beliefs and imagination of children all over the world.",en,US
