Title,Year,Genres,Rating,Runtime,Director,Writer,Actors,Plot,Language,Country
Geek Charming,2011,"Comedy, Drama, Family, TV Movie",6.7,99,Jeffrey Hornaday,,"Sarah Hyland, Matt Prokop, Vanessa Morgan","Film geek Josh is looking for the subject of his new documentary when a chance meeting puts the perfect star in his sights—Dylan, his school's most popular junior. But Dylan's hopes of using the film to become Blossom Queen don't quite match with Josh's goal to make a hard-hitting exposé about popularity. Will Josh shoot the film as planned, or show Dylan as the truly interesting person she is?",en,US
Unknown,2011,"Action, Mystery, Thriller",6.678,113,Jaume Collet-Serra,,"Liam Neeson, Diane Kruger, January Jones","A man awakens from a coma, only to discover that someone has taken on his identity and that no one, (not even his wife), believes him. With the help of a young woman, he sets out to prove who he is.",en,US
Friends with Benefits,2011,"Romance, Comedy",6.655,110,Will Gluck,,"Justin Timberlake, Mila Kunis, Jenna Elfman",Dylan is done with relationships. Jamie decides to stop buying into the Hollywood clichés of true love. When the two become friends they decide to try something new and take advantage of their mutual attraction - but without any emotional attachment.,en,US
Diary of a Wimpy Kid: Rodrick Rules,2011,"Family, Comedy",6.638,99,David Bowers,,"Zachary Gordon, Devon Bostick, Robert Capron","Wimpy Greg Heffley, now in seventh grade, thinks he has it all together. He has mastered middle school and gotten rid of the Cheese Touch. However, Greg's older brother, Rodrick, is itching to cut him down to size. He gets the perfect opportunity when their mother tries to force the boys to bond. Rodrick may be Greg's chief tormentor, but he feels his constant pranks are just what his little brother needs to prepare him for life's hard knocks.",en,US
Colombiana,2011,"Action, Thriller, Crime, Drama",6.633,108,Olivier Megaton,,"Zoe Saldaña, Cliff Curtis, Callum Blue","After witnessing her parents’ murder as a child in Bogota, Cataleya Restrepo grows up to be a stone-cold assassin. She works for her uncle as a hitman by day, but her personal time is spent engaging in vigilante murders that she hopes will lead her to her ultimate target: the mobster responsible for her parents' death.",en,US
Tinker Tailor Soldier Spy,2011,"Drama, Thriller, Mystery",6.62,127,Tomas Alfredson,,"Gary Oldman, Colin Firth, Tom Hardy","In the bleak days of the Cold War, espionage veteran George Smiley is forced from semi-retirement to uncover a Soviet mole within his former colleagues at the heart of MI6.",en,GB
Martha Marcy May Marlene,2011,"Drama, Thriller",6.617,101,Sean Durkin,Sean Durkin,"Elizabeth Olsen, Sarah Paulson, Hugh Dancy","After several years of living with a cult, Martha finally escapes and calls her estranged sister, Lucy, for help. Martha finds herself at the quiet Connecticut home Lucy shares with her new husband, Ted, but the memories of what she experienced in the cult make peace hard to find. As flashbacks continue to torment her, Martha fails to shake a terrible sense of dread, especially in regard to the cult's manipulative leader.",en,US
The Hunter,2011,"Drama, Thriller, Adventure",6.6,102,Daniel Nettheim,,"Willem Dafoe, Frances O'Connor, Sam Neill","Martin, a mercenary, is sent from Europe by an anonymous biotech company to the Tasmanian wilderness on a hunt for the last Tasmanian tiger.",en,"AU, CA"
Green Lantern: Emerald Knights,2011,"Action, Adventure, Animation, Science Fiction, Drama",6.6,84,Jay Oliva,,"Nathan Fillion, Jason Isaacs, Elisabeth Moss","As the home planet of the Green Lantern Corps faces a battle with an ancient enemy, Hal Jordan prepares new recruit Arisia for the coming conflict by relating stories of the first Green Lantern and several of Hal's comrades.",en,US
Puss in Boots,2011,"Animation, Family, Fantasy, Adventure, Comedy",6.6,90,Chris Miller,,"Antonio Banderas, Salma Hayek Pinault, Zach Galifianakis","Long before he even met Shrek, the notorious fighter, lover and outlaw Puss in Boots becomes a hero when he sets off on an adventure with the tough and street smart Kitty Softpaws and the mastermind Humpty Dumpty to save his town. This is the true story of The Cat, The Myth, The Legend... The Boots.",en,US
