Title,Year,Genres,Rating,Popularity,Runtime,Director,Writer,Actors,Keywords,Plot,Ratings Amount,Language,Country
Spider-Man: Into the Spider-Verse,2018,"Animation, Action, Adventure, Science Fiction",8.4,42.54,117,Bob Persichetti,,"Shameik Moore, Jake Johnson, Hailee Steinfeld","superhero, based on comic, aftercreditsstinger, alternate universe","Struggling to find his place in the world while juggling school and family, Brooklyn teenager Miles Morales is unexpectedly bitten by a radioactive spider and develops unfathomable powers just like the one and only Spider-Man. While wrestling with the implications of his new abilities, Miles discovers a super collider created by the madman Wilson ""Kingpin"" Fisk, causing others from across the Spider-Verse to be inadvertently transported to his dimension.",15920,en,US
Avengers: Infinity War,2018,"Adventure, Action, Science Fiction",8.238,91.861,149,Joe Russo,,"Robert Downey Jr., Chris Evans, Chris Hemsworth","sacrifice, magic, superhero, based on comic, space, battlefield, genocide, magical object, super power, aftercreditsstinger, marvel cinematic universe (mcu), cosmic","As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",30215,en,US
Green Book,2018,"Drama, History",8.237,22.525,130,Peter Farrelly,Peter Farrelly,"Viggo Mortensen, Mahershala Ali, Linda Cardellini","friendship, southern usa, road trip, racism, pianist, driver, lgbt, road movie, music tour, 1960s, roadtrip, gay theme, feel good","Tony Lip, a bouncer in 1962, is hired to drive pianist Don Shirley on a tour through the Deep South in the days when African Americans, forced to find alternate accommodations and services due to segregation laws below the Mason-Dixon Line, relied on a guide called The Negro Motorist Green Book.",11828,en,US
The Hate U Give,2018,"Crime, Drama",8.1,8.555,133,George Tillman Jr.,,"Amandla Stenberg, Regina Hall, Russell Hornsby","high school, based on novel or book, trauma, protest, riot, teenage girl, racism, police officer, blunt, preparatory school, racial profiling, generation z, based on young adult novel","Raised in a poverty-stricken slum, a 16-year-old girl named Starr now attends a suburban prep school. After she witnesses a police officer shoot her unarmed best friend, she's torn between her two very different worlds as she tries to speak her truth.",2136,en,US
Believe Me: The Abduction of Lisa McVey,2018,"Drama, TV Movie, Crime",8.066,13.293,98,Jim Donovan,Christina Welsh,"Katie Douglas, David James Elliott, Rossif Sutherland","suicide, sexual abuse, kidnapping, detective, based on true story, serial killer, murderer, held captive, sole survivor, police force, sexual assault, donut shop, abduction, re-creation, teenager, survivor","On the night she plans on taking her own life, 17-year-old 'Lisa McVey' is kidnapped and finds herself fighting to stay alive and manages to be a victim of rape. She manages to talk her attacker into releasing her, but when she returns home, no one believes her story except for one detective, who suspects she was abducted by a serial killer. Based on horrifying true events.",632,en,"CA, US"
"Love, Simon",2018,"Comedy, Drama, Romance",7.998,8.546,110,Greg Berlanti,,"Nick Robinson, Jennifer Garner, Josh Duhamel","coming out, sexual identity, high school, based on novel or book, sexuality, class, coming of age, bully, love, teen movie, male homosexuality, lgbt, lgbt teen, based on young adult novel, gay theme, boys' love (bl)","Everyone deserves a great love story, but for 17-year-old Simon Spier, it's a little more complicated. He hasn't told his family or friends that he's gay, and he doesn't know the identity of the anonymous classmate that he's fallen for online.",6065,en,US
Bohemian Rhapsody,2018,"Music, Drama",7.979,16.75,135,Bryan Singer,Anthony McCarten,"Rami Malek, Gwilym Lee, Ben Hardy","london, england, aids, musician, 1970s, biography, based on true story, singer, hiv, male homosexuality, fame, rock band, lgbt, 1980s, gay theme","Singer Freddie Mercury, guitarist Brian May, drummer Roger Taylor and bass guitarist John Deacon take the music world by storm when they form the rock 'n' roll band Queen in 1970. Hit songs become instant classics. When Mercury's increasingly wild lifestyle starts to spiral out of control, Queen soon faces its greatest challenge yet – finding a way to keep the band together amid the success and excess.",17000,en,"US, GB"
Isle of Dogs,2018,"Adventure, Comedy, Animation",7.851,11.722,101,Wes Anderson,Wes Anderson,"Bryan Cranston, Koyu Rankin, Bob Balaban","island, japan, stop motion, dog, garbage dump, pets, witty, vibrant","In the future, an outbreak of canine flu leads the mayor of a Japanese city to banish all dogs to an island used as a garbage dump. The outcasts must soon embark on an epic journey when a 12-year-old boy arrives on the island to find his beloved pet.",4956,en,US
Midnight Sun,2018,"Romance, Drama",7.8,8.378,91,Scott Speer,Eric Kirsten,"Bella Thorne, Patrick Schwarzenegger, Rob Riggle","seattle, washington, sunlight, terminal illness, singer, best friend, homeschooling, dead mother, swimming, teenage daughter, railway station, boyfriend girlfriend relationship, athletic scholarship, protective father, teenage romance, busker, rare disease, medical problem","Katie, a 17-year-old, has been sheltered since childhood and confined to her house during the day by a rare disease that makes even the smallest amount of sunlight deadly. Fate intervenes when she meets Charlie and they embark on a summer romance.",3443,en,US
Laboratory Conditions,2018,"Horror, Drama",7.8,10.549,16,Jocelyn Stamat,Terry Rossio,"Marisa Tomei, Minnie Driver, Paulo Costanzo",,A physician investigating a missing body disrupts an unlawful experiment.,6,en,US
