Title,Year,Genres,Rating,Popularity,Runtime,Director,Writer,Actors,Keywords,Plot,Ratings Amount,Language,Country
They Shall Not Grow Old,2018,"Documentary, History, War",7.8,7.493,99,Peter Jackson,Peter Jackson,"Thomas Adlam, William Argent, John Ashby","world war i, trenches, 1910s, trench warfare, armistice day","A documentary about World War I with never-before-seen footage to commemorate the centennial of Armistice Day, and the end of the war.",590,en,"US, GB, NZ"
Constantine: City of Demons - The Movie,2018,"Fantasy, Animation, Horror, Action",7.704,8.026,90,Doug Murphy,J. M. DeMatteis,"Matt Ryan, Robin Atkin Downes, Laura Bailey","magic, vertigo, supernatural, exorcism, possession, based on comic, exorcist, dark fantasy, demon hunter, edited from tv series, neo-noir, dc animated movie universe","A decade after a tragic mistake, family man Chas Chandler and occult detective John Constantine set out to cure his daughter Trish from a mysterious supernatural coma.",598,en,US
To All the Boys I've Loved Before,2018,"Comedy, Romance",7.611,20.672,100,Susan Johnson,,"Lana Condor, Noah Centineo, Janel Parrish","high school, based on novel or book, love letter, romance, first love, lost mother, woman director, sisterhood, pretend relationship, based on young adult novel, asian american",Lara Jean's love life goes from imaginary to out of control when her secret letters to every boy she's ever fallen for are mysteriously mailed out.,8455,en,US
Searching,2018,"Drama, Mystery, Thriller",7.6,7.581,102,Aneesh Chaganty,Aneesh Chaganty,"John Cho, Michelle La, Debra Messing","california, stalker, disappearance, internet, east asian lead, police detective, missing person, missing child, computer screen, found footage, social media, missing daughter, mysterious, facebook, live stream, father daughter relationship, screenlife, asian american","After David Kim's 16-year-old daughter goes missing, a local investigation is opened and a detective is assigned to the case. But 37 hours later and without a single lead, David decides to search the one place no one has looked yet, where all secrets are kept today: his daughter's laptop.",3907,en,"US, MX"
Forever My Girl,2018,"Romance, Drama",7.6,9.73,104,Bethany Ashton Wolf,Bethany Ashton Wolf,"Alex Roe, Jessica Rothe, John Benjamin Hickey","country music, new orleans, louisiana, guitar player, second chance, hometown, death of mother, death of best friend, coping mechanisms, father daughter relationship, avoidant, loss and grief","After being gone for a decade, a country star returns home to the love he left behind.",1225,en,US
"Paul, Apostle of Christ",2018,Drama,7.6,7.385,108,Andrew Hyatt,Andrew Hyatt,"Jim Caviezel, James Faulkner, Olivier Martinez","prison, roman empire, christianity, apostle, bible, burned alive, nero, 1st century, christian film, antiquity, christian faith","Risking his life, Luke ventures to Rome to visit Paul -- the apostle who's bound in chains and held captive in Nero's darkest and bleakest prison cell. Haunted by the shadows of his past misdeeds, Paul wonders if he's been forgotten as he awaits his grisly execution. Before Paul's death, Luke resolves to write another book that details the birth of what will come to be known as the church.",362,en,US
Ready Player One,2018,"Adventure, Action, Science Fiction",7.592,31.599,140,Steven Spielberg,,"Tye Sheridan, Olivia Cooke, Ben Mendelsohn","future, based on novel or book, video game, virtual reality, dystopia, nostalgia, love, film in film, evil corporation, quest, 1980s, 2040s, based on young adult novel, columbus, ohio, vrmmo","When the creator of a popular video game system dies, a virtual contest is created to compete for his fortune.",15819,en,US
Bao,2018,"Animation, Family, Fantasy",7.57,7.381,8,Domee Shi,Domee Shi,"Daniel Kailin, Sindy Lau, Sharmaine Yeoh","cooking, cartoon, coming of age, chinese, woman director, mother son relationship, dumpling, short film, chinese cuisine","An aging Chinese mom suffering from empty nest syndrome gets another chance at motherhood when one of her dumplings springs to life as a lively, giggly dumpling boy.",1217,en,US
Beautiful Boy,2018,Drama,7.554,8.407,119,Felix van Groeningen,,"Steve Carell, Timothée Chalamet, Maura Tierney","based on novel or book, san francisco, california, drug addiction, biography, based on true story, drug rehabilitation, based on memoir or autobiography, father son relationship, dramatic","After he and his first wife separate, journalist David Sheff struggles to help their teenage son, who goes from experimenting with drugs to becoming devastatingly addicted to methamphetamine.",2587,en,US
The Favourite,2018,"Drama, Comedy, Thriller, History",7.505,9.937,120,Yorgos Lanthimos,Tony McNamara,"Emma Stone, Olivia Colman, Rachel Weisz","great britain, queen, rivalry, rabbit, lgbt, 18th century, cousin cousin relationship, duchess, palace intrigue, aristocracy, british monarchy, war of the spanish succession, drop disease, queen anne, film in chapters","England, early 18th century. The close relationship between Queen Anne and Sarah Churchill is threatened by the arrival of Sarah's cousin, Abigail Hill, resulting in a bitter rivalry between the two cousins to be the Queen's favourite.",5547,en,"IE, GB, US"
BlacKkKlansman,2018,"Crime, Comedy, Drama",7.502,7.959,136,Spike Lee,David Rabinowitz,"John David Washington, Adam Driver, Topher Grace","based on novel or book, ku klux klan, 1970s, black panther party, biography, based on true story, undercover cop, racism, based on memoir or autobiography, revisionist history, white supremacy, thoughtful, defiant, kkk, kkk rally","Colorado Springs, late 1970s. Ron Stallworth, an African American police officer, and Flip Zimmerman, his Jewish colleague, run an undercover operation to infiltrate the Ku Klux Klan.",7590,en,US
Tell It to the Bees,2018,"Romance, Drama",7.5,8.581,106,Annabel Jankel,,"Anna Paquin, Holliday Grainger, Emun Elliott","based on novel or book, scotland, lesbian relationship, working class, lgbt, woman director, 1950s, failed marriage, beekeeper, lesbian","Dr. Jean Markham returns to the town she left as a teenager to take over her late father's medical practice. When a school-yard scuffle lands Charlie in her surgery, she invites him to visit the hives in her garden and tell his secrets to the bees, as she once did. The new friendship between the boy and the bee keeper brings his mother Lydia into Jean's world.",446,en,GB
I Can Only Imagine,2018,"Music, Drama",7.5,7.405,110,Andrew Erwin,Brent McCorkle,"J. Michael Finley, Dennis Quaid, Cloris Leachman",,"10-year-old Bart Millard lives with his mother and abusive father Arthur in Texas. One day his mother drops him off at a Christian camp where he meets Shannon. Upon his return from camp, Bart finds his mother has left and movers are removing her belongings. He angrily confronts his father, who denies that his abusiveness was the reason she left. Years later, in high school, Bart and Shannon are dating. Bart plays football to please his father but is injured, breaking both ankles and ending his career. The only elective with openings is music class, so he reluctantly signs up.",475,en,US
Instant Family,2018,"Comedy, Drama",7.5,13.954,118,Sean Anders,Sean Anders,"Mark Wahlberg, Rose Byrne, Allyn Rachel","court case, social worker, adoption, based on true story, parenting, foster family, amusement park, lgbt, substance abuse, family dog","When Pete and Ellie decide to start a family, they stumble into the world of foster care adoption. They hope to take in one small child but when they meet three siblings, including a rebellious 15 year old girl, they find themselves speeding from zero to three kids overnight.",2995,en,US
PAW Patrol: Mighty Pups,2018,"Adventure, Animation, Family, Action",7.5,7.795,44,,,"Max Calinescu, Devan Cohen, Drew Davis","dog, super power","When their latest scheme goes awry, Mayor Humdinger and his nephew Harold accidentally divert a meteor towards Adventure Bay. The meteor's golden energy grants the PAW Patrol superpowers. The heroic Mighty Pups are on a roll to super-save the day.",577,en,"US, MX"
Upgrade,2018,"Action, Thriller, Science Fiction",7.5,19.321,100,Leigh Whannell,Leigh Whannell,"Logan Marshall-Green, Betty Gabriel, Harrison Gilbertson","future, artificial intelligence (a.i.), hacker, police, technology, cyborg, dystopia, revenge, murder, drone, cyberpunk, transhumanism, brutality, implant, surgery, quadriplegic, near future, body enhancement, body horror, violence, microship","A brutal mugging leaves Grey Trace paralyzed in the hospital and his beloved wife dead. A billionaire inventor soon offers Trace a cure — an artificial intelligence implant called STEM that will enhance his body. Now able to walk, Grey finds that he also has superhuman strength and agility — skills he uses to seek revenge against the thugs who destroyed his life.",4473,en,"AU, US"
A Star Is Born,2018,"Music, Drama, Romance",7.498,14.904,136,Bradley Cooper,,"Lady Gaga, Bradley Cooper, Sam Elliott","concert, country music, waitress, pop star, self-destruction, talent, addiction, death of father, alcoholism, remake, aspiring singer, singer, fame, tinnitus, falling in love, insecurity, alcoholic, death of mother, aspiration, death of parent, showbiz, emotional vulnerability, hearing impaired, brother brother relationship, dramatic, romantic, admiring","Seasoned musician Jackson Maine discovers — and falls in love with — struggling artist Ally. She has just about given up on her dream to make it big as a singer — until Jack coaxes her into the spotlight. But even as Ally's career takes off, the personal side of their relationship is breaking down, as Jack fights an ongoing battle with his own internal demons.",11730,en,US
mid90s,2018,"Drama, Comedy",7.493,7.692,86,Jonah Hill,Jonah Hill,"Sunny Suljic, Katherine Waterston, Lucas Hedges","california, skateboarding, dysfunctional family, coming of age, los angeles, california, misogyny, 1990s, skate punk, reflective, toxic masculinity, gay theme, teenager, comforting","In 1990s Los Angeles, a 13-year-old spends his summer navigating between a troubled home life and a crew of new friends he meets at a skate shop.",1619,en,US
Deadpool 2,2018,"Action, Comedy, Adventure",7.489,26.55,120,David Leitch,Paul Wernick,"Ryan Reynolds, Josh Brolin, Morena Baccarin","hero, superhero, mutant, mercenary, based on comic, sequel, breaking the fourth wall, aftercreditsstinger, duringcreditsstinger, joyful",Wisecracking mercenary Deadpool battles the evil and powerful Cable and other bad guys to save a boy's life.,18198,en,US
RBG,2018,Documentary,7.481,7.528,98,Betsy West,,"Ruth Bader Ginsburg, Jane C. Ginsburg, James Steven Ginsburg","biography, supreme court, woman director, supreme court justice","Justice Ruth Bader Ginsburg now 84, and still inspired by the lawyers who defended free speech during the Red Scare, Ginsburg refuses to relinquish her passionate duty, steadily fighting for equal rights for all citizens under the law. Through intimate interviews and unprecedented access to Ginsburg’s life outside the court, RBG tells the electric story of Ginsburg’s consuming love affairs with both the Constitution and her beloved husband Marty—and of a life’s work that led her to become an icon of justice in the highest court in the land.",291,en,US
Incredibles 2,2018,"Action, Adventure, Animation, Family",7.457,19.855,118,Brad Bird,Brad Bird,"Craig T. Nelson, Holly Hunter, Sarah Vowell","married couple, superhero, cartoon, villain, sequel, parenting, family, super power, female villain, supervillain","Elastigirl springs into action to save the day, while Mr. Incredible faces his greatest challenge yet – taking care of the problems of his three children.",12969,en,US
Mission: Impossible - Fallout,2018,"Action, Adventure",7.43,27.411,147,Christopher McQuarrie,Christopher McQuarrie,"Tom Cruise, Henry Cavill, Ving Rhames","race against time, london, england, helicopter, paris, france, plutonium, gun, spy, countdown, norway, sequel, motorcycle, bomb remote detonator, handgun, hand to hand combat, kashmir","When an IMF mission ends badly, the world is faced with dire consequences. As Ethan Hunt takes it upon himself to fulfill his original briefing, the CIA begin to question his loyalty and his motives. The IMF team find themselves in a race against time, hunted by assassins while trying to prevent a global catastrophe.",8357,en,US
On the Basis of Sex,2018,"Drama, History",7.4,7.743,120,Mimi Leder,,"Felicity Jones, Armie Hammer, Justin Theroux","1970s, biography, based on true story, supreme court, lawyer, justice, harvard law school, woman director, 1960s, courtroom drama, supreme court justice, inspirational, instructive",Young lawyer Ruth Bader Ginsburg teams with her husband Marty to bring a groundbreaking case before the U.S. Court of Appeals and overturn a century of sex discrimination.,1037,en,US
The Death of Superman,2018,"Science Fiction, Animation, Action, Drama, Fantasy",7.4,7.707,81,Jake Castorena,,"Jerry O'Connell, Rebecca Romijn, Rainn Wilson","superhero, based on comic, death of hero, alien abomination, dc animated movie universe","When a hulking monster arrives on Earth and begins a mindless rampage, the Justice League is quickly called in to stop it. But it soon becomes apparent that only Superman can stand against the monstrosity.",760,en,US
Black Panther,2018,"Action, Adventure, Science Fiction",7.4,36.872,135,Ryan Coogler,Joe Robert Cole,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o","africa, superhero, based on comic, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu)","King T'Challa returns home to the reclusive, technologically advanced African nation of Wakanda to serve as his country's new leader. However, T'Challa soon finds that he is challenged for the throne by factions within his own country as well as without. Using powers reserved to Wakandan kings, T'Challa assumes the Black Panther mantle to join with ex-girlfriend Nakia, the queen-mother, his princess-kid sister, members of the Dora Milaje (the Wakandan 'special forces') and an American secret agent, to prevent Wakanda from being dragged into a world war.",22396,en,US
Then Came You,2018,"Comedy, Drama",7.4,7.594,97,Peter Hutchings,Fergal Rock,"Maisie Williams, Asa Butterfield, Nina Dobrev","airport, terminal illness, hypochondriac, coming of age, bucket list",An American hypochondriac who is working as a baggage handler is forced to confront his fears when a British teenager with a terminal illness enlists him to help her carry out her eccentric bucket list.,488,en,US
A Quiet Place,2018,"Horror, Drama, Science Fiction",7.399,31.307,91,John Krasinski,,"Emily Blunt, John Krasinski, Millicent Simmonds","pregnancy, fireworks, deaf, post-apocalyptic future, alien life-form, child in peril, creature, alien invasion, parenting, survival horror, human vs alien, sign languages, angry",A family is forced to live in silence while hiding from creatures that hunt by sound.,14385,en,US
Ghostland,2018,"Horror, Mystery, Thriller",7.381,10.2,91,Pascal Laugier,,"Crystal Reed, Mylène Farmer, Anastasia Phillips","insanity, hallucination, torture, reality vs fantasy","A mother of two inherits a home from her aunt. On the first night in the new home she is confronted with murderous intruders and fights for her daughters’ lives. Sixteen years later the daughters reunite at the house, and that is when things get strange...",2457,en,FR
Christopher Robin,2018,"Adventure, Comedy, Family, Fantasy",7.303,7.619,104,Marc Forster,,"Ewan McGregor, Hayley Atwell, Kumud Pant","forest, family, animals, magic realism, childhood, live action and animation, father daughter relationship, live action remake, adulthood","Christopher Robin, the boy who had countless adventures in the Hundred Acre Wood, has grown up and lost his way. Now it’s up to his spirited and loveable stuffed animals, Winnie The Pooh, Tigger, Piglet, and the rest of the gang, to rekindle their friendship and remind him of endless days of childlike wonder and make-believe, when doing nothing was the very best something.",2740,en,"GB, US"
The Rider,2018,"Drama, Western",7.3,7.687,103,Chloé Zhao,Chloé Zhao,"Brady Jandreau, Tim Jandreau, Lilly Jandreau","rodeo, horseback riding, horse, riding accident, head injury, sioux, cowboy, native american reservation, lasso, hook for a hand, south dakota, disabled person","Once a rising star of the rodeo circuit, and a gifted horse trainer, young cowboy Brady is warned that his riding days are over after a horse crushed his skull at a rodeo. In an attempt to regain control of his own fate, Brady undertakes a search for a new identity and what it means to be a man in the heartland of the United States.",498,en,US
Status Update,2018,"Comedy, Fantasy, Science Fiction",7.3,9.005,106,Scott Speer,Jason Filardi,"Ross Lynch, Olivia Holt, Harvey Guillén","high school, social media, divorced parents","After being uprooted by his parents' separation and unable to fit into his new hometown, a teenager stumbles upon a magical app that causes his social media updates to come true.",537,en,US
Hereditary,2018,"Horror, Mystery, Thriller",7.291,36.124,128,Ari Aster,Ari Aster,"Toni Collette, Alex Wolff, Gabriel Byrne","daughter, funeral, loss of loved one, ritual, supernatural, possession, cult, dysfunctional family, murder, family drama, fear, demon, attic, evil, ritual murder, satanic ritual, dollhouse, satanic cult, séance, matriarch, miniatures, didactic","Following the death of the Leigh family matriarch, Annie and her children uncover disturbing secrets about their heritage. Their daily lives are not only impacted, but they also become entangled in a chilling fate from which they cannot escape, driving them to the brink of madness.",7812,en,US
Every Day,2018,"Romance, Fantasy",7.241,9.573,97,Michael Sucsy,,"Angourie Rice, Justice Smith, Debby Ryan","based on novel or book, transformation, body switch, based on young adult novel","16-year old Rhiannon falls in love with a mysterious spirit named “A” that inhabits a different body every day. Feeling an unmatched connection, Rhiannon and “A” work each day to find each other, not knowing what the next day will bring.",2225,en,US
Life Itself,2018,"Drama, Romance",7.213,7.858,118,Dan Fogelman,Dan Fogelman,"Oscar Isaac, Olivia Wilde, Annette Bening","pregnancy, family relationships, theme song, estranged couple, intercultural relationship, unreliable narrator, traumatic accident, traumatic childhood, expecting, psychiatric treatment","As a young New York couple goes from college romance to marriage and the birth of their first child, the unexpected twists of their journey create reverberations that echo over continents and through lifetimes.",567,en,US
Eighth Grade,2018,"Comedy, Drama",7.2,7.462,94,Bo Burnham,,"Elsie Fisher, Josh Hamilton, Emily Robinson","adolescence, identity crisis, coming of age, teenage girl, middle school, self identity, social media, generation z",Thirteen-year-old Kayla endures the tidal wave of contemporary suburban adolescence as she makes her way through the last week of middle school — the end of her thus far disastrous eighth grade year — before she begins high school.,1544,en,US
Z-O-M-B-I-E-S,2018,"Fantasy, Comedy, Romance, TV Movie",7.2,8.144,94,Paul Hoen,David Light,"Milo Manheim, Meg Donnelly, Trevor Tordjman","high school, cheerleader, musical, zombie, curious, absurd, hilarious, amused","Two star-crossed freshmen – a zombie, Zed and a cheerleader, Addison – each outsiders in their unique ways, befriend each other and work together to show their high school and the Seabrook community what they can achieve when they embrace their differences.",688,en,US
Teen Titans Go! To the Movies,2018,"Animation, Action, Comedy, Science Fiction",7.2,8.331,84,Aaron Horvath,Michael Jelenic,"Greg Cipes, Scott Menville, Khary Payton","movie business, dc comics, superhero, time travel, slapstick comedy, hollywood, super power, aftercreditsstinger, duringcreditsstinger, based on tv series","All the major DC superheroes are starring in their own films, all but the Teen Titans, so Robin is determined to remedy this situation by getting over his role as a sidekick and becoming a movie star. Thus, with a few madcap ideas and an inspirational song in their hearts, the Teen Titans head to Hollywood to fulfill their dreams.",1118,en,US
The Kissing Booth,2018,"Romance, Comedy",7.193,24.198,105,Vince Marcello,,"Joey King, Joel Courtney, Jacob Elordi","based on novel or book, crush, los angeles, california, high school student, based on young adult novel","When teenager Elle's first kiss leads to a forbidden romance with the hottest boy in high school, she risks her relationship with her best friend.",7242,en,"US, GB"
Ralph Breaks the Internet,2018,"Family, Animation, Comedy, Adventure",7.172,17.394,112,Rich Moore,,"John C. Reilly, Sarah Silverman, Gal Gadot","video game, cartoon, sequel, internet, lethal virus, aftercreditsstinger, duringcreditsstinger, online gaming","Video game bad guy Ralph and fellow misfit Vanellope von Schweetz must risk it all by traveling to the World Wide Web in search of a replacement part to save Vanellope's video game, Sugar Rush. In way over their heads, Ralph and Vanellope rely on the citizens of the internet — the netizens — to help navigate their way, including an entrepreneur named Yesss, who is the head algorithm and the heart and soul of trend-making site BuzzzTube.",7644,en,US
The Ballad of Buster Scruggs,2018,"Western, Comedy, Drama",7.134,11.908,132,Joel Coen,,"Tim Blake Nelson, Willie Watson, Clancy Brown","prostitute, native american, parody, anthology, bank robbery, stagecoach, cowboy, wagon train, singing cowboy, american west, the old west","Vignettes weaving together the stories of six individuals in the old West at the end of the Civil War. Following the tales of a sharp-shooting songster, a wannabe bank robber, two weary traveling performers, a lone gold prospector, a woman traveling the West to an uncertain future, and a motley crew of strangers undertaking a carriage ride.",4073,en,US
The House That Jack Built,2018,"Drama, Horror, Crime, Thriller",7.13,7.707,151,Lars von Trier,Lars von Trier,"Matt Dillon, Bruno Ganz, Uma Thurman","van, sadism, psychopath, 1970s, child murder, architect, artist, visions of hell, flashback, misanthrophy, taxidermy, serial killer, obsessive compulsive disorder (ocd), photograph, murderer, cruelty, 1980s, animal mutilation, murder framed as art","Failed architect, engineer and vicious murderer Jack narrates the details of some of his most elaborately orchestrated crimes, each of them a towering piece of art that defines his life's work as a serial killer for twelve years.",2800,en,DK
Once Upon a Deadpool,2018,"Comedy, Action, Adventure",7.1,9.012,118,David Leitch,Ryan Reynolds,"Ryan Reynolds, Josh Brolin, Morena Baccarin","superhero, based on comic, christmas","A kidnapped Fred Savage is forced to endure Deadpool's PG-13 rendition of Deadpool 2, as a Princess Bride-esque story that's full of magic, wonder, and zero Fs.",790,en,US
Mamma Mia! Here We Go Again,2018,"Comedy, Romance",7.1,9.561,114,Ol Parker,Ol Parker,"Lily James, Amanda Seyfried, Meryl Streep","greece, musical, sequel, greek island, aftercreditsstinger, estranged mother, long lost love, jukebox musical, estranged grandparent, abba","Five years after meeting her three fathers, Sophie Sheridan prepares to open her mother’s hotel. In 1979, young Donna Sheridan meets the men who each could be Sophie’s biological father.",3377,en,"US, GB"
Suicide Squad: Hell to Pay,2018,"Science Fiction, Action, Animation, Fantasy",7.1,8.733,86,Sam Liu,Alan Burnett,"Christian Slater, Tara Strong, Billy Brown","based on comic, adult animation, dc animated movie universe","It’s batter up at Belle Reve and that can only mean that Amanda Waller, the penitentiary’s cold and calculating warden, has a mission that only the damned will take on. It’s time to unleash Task Force X again, stacked with seasoned vets such as Deadshot, Captain Boomerang and Harley Quinn, these crafty criminals are joined by newcomers Copperhead, Killer Frost and the martial art master, Bronze Tiger! With the target objective being a mystical object so powerful that they’re willing to risk their own lives to steal it, you can be sure it will be collision of chaos, gunfire and attitudes. So, take aim for a raging road trip with the Suicide Squad!",668,en,US
Crazy Rich Asians,2018,"Comedy, Romance",7.1,11.476,121,Jon M. Chu,,"Constance Wu, Henry Golding, Michelle Yeoh","based on novel or book, professor, singapore, wedding, east asian lead, wealthy family, asian american","An American-born Chinese economics professor accompanies her boyfriend to Singapore for his best friend's wedding, only to get thrust into the lives of Asia's rich and famous.",3681,en,US
The Christmas Chronicles,2018,"Comedy, Adventure, Family, Fantasy",7.1,7.693,104,Clay Kaytis,Matt Lieberman,"Darby Camp, Judah Lewis, Kurt Russell","holiday, brother, camera, santa claus, massachusetts, sister, saving christmas, north pole, journey, christmas spirit, christmas, chronicles","Siblings Kate and Teddy try to prove Santa Claus is real, but when they accidentally cause his sleigh to crash, they have to save Christmas.",2233,en,US
Maze Runner: The Death Cure,2018,"Science Fiction, Action, Adventure, Thriller",7.094,21.466,143,Wes Ball,,"Dylan O'Brien, Kaya Scodelario, Thomas Brodie-Sangster","based on novel or book, fight, maze, post-apocalyptic future, imprisonment, terminal illness, mad scientist, trial, sequel, survival, murder, zombie, doctor, battle, vaccine, scientist, killer, desert, labyrinth, combat, illness, cure, zombie apocalypse, runner, universal cure, based on young adult novel","Thomas leads his group of escaped Gladers on their final and most dangerous mission yet. To save their friends, they must break into the legendary Last City, a WCKD-controlled labyrinth that may turn out to be the deadliest maze of all. Anyone who makes it out alive will get answers to the questions the Gladers have been asking since they first arrived in the maze.",7889,en,US
22 July,2018,"Crime, Drama, History, Thriller",7.083,7.517,143,Paul Greengrass,Paul Greengrass,"Jonas Strand Gravli, Anders Danielsen Lie, Jon Øigarden","neo-nazism, summer camp, bomb, aftermath, car bomb, based on true story, norway, trial, tragedy, brain injury, oslo, norway, shooting spree, far right, mass killing, summer camp island","On 22 July 2011, neo-Nazi terrorist Anders Behring Breivik murdered 77 young people attending a Labour Party Youth Camp on Utøya Island outside of Oslo. This three-part story focuses on the survivors, the political leadership of Norway, and the lawyers involved.",1192,en,NO
The Nightingale,2018,"Drama, Thriller, Western",7.051,8.051,136,Jennifer Kent,Jennifer Kent,"Aisling Franciosi, Sam Claflin, Baykali Ganambarr","australia, rape, revenge, murder, brutality, racial prejudice, rape and revenge, woman director, australian aboriginal, tasmania, 19th century, aborigine, colonization","In 1825, Clare, a 21-year-old Irish convict, chases a British soldier through the rugged Tasmanian wilderness, bent on revenge for a terrible act of violence he committed against her family. She enlists the services of an Aboriginal tracker who is also marked by trauma from his own violence-filled past.",575,en,"US, AU"
First Man,2018,"History, Drama",7.041,11.029,141,Damien Chazelle,,"Ryan Gosling, Claire Foy, Jason Clarke","moon, based on novel or book, sacrifice, nasa, wife, obsession, space travel, space mission, biography, engineer, based on true story, moon landing, space, cancer, astronaut, historical event, death of daughter, compromise, test pilot, 1960s, apollo program, america","A look at the life of the astronaut, Neil Armstrong, and the legendary space mission that led him to become the first man to walk on the Moon on July 20, 1969.",5309,en,US
