Title,Year,Genres,Rating,Popularity,Runtime,Director,Writer,Actors,Keywords,Plot,Ratings Amount,Language,Country
Klaus,2019,"Animation, Family, Adventure, Comedy, Fantasy",8.243,10.049,96,Sergio Pablos,,"Jason Schwartzman, J.K. Simmons, Rashida Jones","friendship, small town, island, holiday, santa claus, cartoon, postman, reindeer, toy maker, christmas, 19th century, origin story, town, letters, good versus evil, adoring","When Jesper distinguishes himself as the Postal Academy's worst student, he is sent to Smeerensburg, a small village located on an icy island above the Arctic Circle, where grumpy inhabitants barely exchange words, let alone letters. Jesper is about to give up and abandon his duty as a postman when he meets local teacher Alva and Klaus, a mysterious carpenter who lives alone in a cabin full of handmade toys.",4194,en,"GB, ES, US"
The Art of Racing in the Rain,2019,"Drama, Romance",8.2,11.364,109,Simon Curtis,,"Kevin Costner, Milo Ventimiglia, Jackie Minns","friendship, washington dc, usa, based on novel or book, car race, sports, reincarnation, race car driver, dog, animals, pets, father daughter relationship, animal narrator","A family dog – with a near-human soul and a philosopher's mind – evaluates his life through the lessons learned by his human owner, a race-car driver.",1506,en,US
Five Feet Apart,2019,"Romance, Drama",8.2,19.116,116,Justin Baldoni,Tobias Iaconis,"Haley Lu Richardson, Cole Sprouse, Moisés Arias","forbidden love, terminal illness, hospital, best friend, falling in love, cystic fibrosis, star crossed lovers, first date, true love, teenager, dramatic, sentimental, romantic, melodramatic","Seventeen-year-old Stella spends most of her time in the hospital as a cystic fibrosis patient. Her life is full of routines, boundaries and self-control — all of which get put to the test when she meets Will, an impossibly charming teen who has the same illness. There's an instant flirtation, though restrictions dictate that they must maintain a safe distance between them. As their connection intensifies, so does the temptation to throw the rules out the window and embrace that attraction.",5674,en,US
Avengers: Endgame,2019,"Adventure, Science Fiction, Action",8.2,55.105,181,Joe Russo,,"Robert Downey Jr., Chris Evans, Mark Ruffalo","superhero, time travel, space travel, time machine, based on comic, sequel, alien invasion, superhero team, marvel cinematic universe (mcu), alternate timeline, father daughter relationship, sister sister relationship, grand, awestruck, powerful, vibrant","After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.",26044,en,US
Togo,2019,"Adventure, Family",8.145,7.84,113,Ericson Core,,"Willem Dafoe, Julianne Nicholson, Christopher Heyerdahl","snowstorm, husky, based on true story, puppy, alaska, snow, historical, dog, sled dogs, run, 1920s, pets","The untold true story set in the winter of 1925 that takes you across the treacherous terrain of the Alaskan tundra for an exhilarating and uplifting adventure that will test the strength, courage and determination of one man, Leonhard Seppala, and his lead sled dog, Togo.",2062,en,US
Joker,2019,"Crime, Thriller, Drama",8.141,28.44,122,Todd Phillips,Todd Phillips,"Joaquin Phoenix, Robert De Niro, Zazie Beetz","dreams, street gang, society, psychopath, clown, villain, based on comic, murder, psychological thriller, criminal mastermind, mental illness, anarchy, character study, clown makeup, subway train, social realism, supervillain, tv host, 1980s, mother son relationship, origin story, falling into madness, frightened, pretentious","During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.",26149,en,US
A Dog's Journey,2019,"Family, Adventure, Drama",8.1,9.806,109,Gail Mancuso,,"Marg Helgenberger, Betty Gilpin, Henry Lau","reincarnation, sequel, growing up, dog, animal shelter, pets",A dog finds the meaning of his own existence through the lives of the humans he meets.,1536,en,US
Steven Universe: The Movie,2019,"TV Movie, Adventure, Animation, Comedy, Fantasy, Music, Science Fiction",8.1,9.306,82,Rebecca Sugar,Joe Johnston,"Zach Callison, Deedee Magno, Estelle","musical, memory loss, abandonment, vengeance, abandonment issues","Two years after bringing peace to the galaxy, Steven Universe sees his past come back to haunt him in the form of a deranged Gem who wants to destroy the Earth.",790,en,US
How to Train Your Dragon: Homecoming,2019,"Animation, Fantasy, Adventure, Action, Family",8.02,14.735,22,Tim Johnson,Jonathan Groff,"Jay Baruchel, America Ferrera, Gerard Butler","dragon, short film, adoring","It's been ten years since the dragons moved to the Hidden World, and even though Toothless doesn't live in New Berk anymore, Hiccup continues the holiday traditions he once shared with his best friend. But the Vikings of New Berk were beginning to forget about their friendship with dragons. Hiccup, Astrid, and Gobber know just what to do to keep the dragons in the villagers' hearts. And across the sea, the dragons have a plan of their own...",984,en,US
Jojo Rabbit,2019,"Comedy, War, Drama",8.014,14.574,108,Taika Waititi,,"Roman Griffin Davis, Thomasin McKenzie, Scarlett Johansson","based on novel or book, world war ii, jew persecution, affectation, satire, imaginary friend, hitler youth, single mother, nazism, 1940s, child protagonist, adolf hitler, children in wartime, lighthearted, amused, sarcastic","A World War II satire that follows a lonely German boy whose world view is turned upside down when he discovers his single mother is hiding a young Jewish girl in their attic. Aided only by his idiotic imaginary friend, Adolf Hitler, Jojo must confront his blind nationalism.",9681,en,US
Ford v Ferrari,2019,"Drama, Action, History",8.0,15.868,153,James Mangold,Jason Keller,"Matt Damon, Christian Bale, Jon Bernthal","based on novel or book, car race, sports, car mechanic, biography, based on true story, le mans, racing, race car driver, aggressive, 1960s, powerful","American car designer Carroll Shelby and the British-born driver Ken Miles work together to battle corporate interference, the laws of physics, and their own personal demons to build a revolutionary race car for Ford Motor Company and take on the dominating race cars of Enzo Ferrari at the 24 Hours of Le Mans in France in 1966.",8163,en,US
Kitbull,2019,"Animation, Family, Drama",8.0,7.335,9,Rosana Sullivan,Rosana Sullivan,,"friendship, cat, dog, animals, short film","An unlikely connection sparks between two creatures: a fiercely independent stray kitten and a pit bull. Together, they experience friendship for the first time.",369,en,US
1917,2019,"War, History, Thriller, Drama",7.988,18.889,119,Sam Mendes,,"George MacKay, Dean-Charles Chapman, Mark Strong","race against time, world war i, british army, soldier, real time, trenches, 1910s, trench warfare, no man's land","At the height of the First World War, two young British soldiers must cross enemy territory and deliver a message that will stop a deadly attack on hundreds of soldiers.",12603,en,US
Just Mercy,2019,"Drama, Crime, History",7.9,8.408,137,Destin Daniel Cretton,,"Michael B. Jordan, Brie Larson, Jamie Foxx","death penalty, judge, innocence, based on true story, lawyer, electric chair, racism, execution, justice, humiliation, injustice, 1980s, legal drama, earnest, excited, based on real person, concealing the truth","The powerful true story of Harvard-educated lawyer Bryan Stevenson, who goes to Alabama to defend the disenfranchised and wrongly condemned — including Walter McMillian, a man sentenced to death despite evidence proving his innocence. Bryan fights tirelessly for Walter with the system stacked against them.",2296,en,US
The Boy Who Harnessed the Wind,2019,"Drama, History",7.9,15.868,113,Chiwetel Ejiofor,,"Maxwell Simba, Chiwetel Ejiofor, Aïssa Maïga","africa, windmill, family power struggle, water for life, challenge for change, dedicated, ingenuity, dedication, struggling life, struggle for independence, the ingenious one","Against all the odds, a thirteen year old boy in Malawi invents an unconventional way to save his family and village from famine.",1691,en,"MW, GB"
Little Women,2019,"Drama, Romance, History",7.9,15.926,135,Greta Gerwig,Greta Gerwig,"Saoirse Ronan, Emma Watson, Florence Pugh","new york city, sibling relationship, based on novel or book, massachusetts, affectation, coming of age, remake, period drama, american civil war, christmas, 19th century, sister sister relationship, female writer, clinical, sisters, dignified",Four sisters come of age in America in the aftermath of the Civil War.,6364,en,US
Knives Out,2019,"Comedy, Crime, Mystery",7.844,25.721,131,Rian Johnson,Rian Johnson,"Daniel Craig, Chris Evans, Ana de Armas","immigrant, detective, massachusetts, investigation, big family, mansion, whodunit, family home, murder mystery, neo-noir, privilege, absurd, suspenseful","When renowned crime novelist Harlan Thrombey is found dead at his estate just after his 85th birthday, the inquisitive and debonair Detective Benoit Blanc is mysteriously enlisted to investigate. From Harlan's dysfunctional family to his devoted staff, Blanc sifts through a web of red herrings and self-serving lies to uncover the truth behind Harlan's untimely death.",12647,en,US
How to Train Your Dragon: The Hidden World,2019,"Animation, Family, Adventure",7.748,27.461,104,Dean DeBlois,,"Jay Baruchel, America Ferrera, F. Murray Abraham","based on novel or book, flying, villain, vikings (norsemen), sequel, overpopulation, dragon, love interest, based on children's book, adoring","As Hiccup fulfills his dream of creating a peaceful dragon utopia, Toothless’ discovery of an untamed, elusive mate draws the Night Fury away. When danger mounts at home and Hiccup’s reign as village chief is tested, both dragon and rider must make impossible decisions to save their kind.",6519,en,US
Overcomer,2019,Drama,7.7,7.979,119,Alex Kendrick,Alex Kendrick,"Alex Kendrick, Priscilla C. Shirer, Cameron Arnett","sports, christianity, cross country","After reluctantly agreeing to coach cross-country, high school basketball Coach John Harrison helps the least likely runner attempt the impossible in the biggest race of the year.",271,en,US
Marriage Story,2019,Drama,7.7,13.278,137,Noah Baumbach,Noah Baumbach,"Adam Driver, Scarlett Johansson, Laura Dern","infidelity, new york city, husband wife relationship, parent child relationship, theatre group, theater director, lawyer, los angeles, california, divorce, divorce lawyer, thoughtful, complex, intense, sincere","A stage director and an actress struggle through a grueling, coast-to-coast divorce that pushes them to their personal extremes.",7003,en,"GB, US"
Descendants 3,2019,"Family, TV Movie, Adventure, Fantasy",7.691,16.965,106,Kenny Ortega,Josann McGibbon,"Dove Cameron, Cameron Boyce, Sofia Carson","magic, musical, family",The teenagers of Disney's most infamous villains return to the Isle of the Lost to recruit a new batch of villainous offspring to join them at Auradon Prep.,1531,en,US
I Believe,2019,"Family, Drama",7.626,7.316,89,Juergen Peretzki,David Outten,"Rowan Smyth, Matt Lindquist, Wilford Brimley",,A 9 year old boy experiences God's power in a supernatural way.,139,en,US
Breakthrough,2019,Drama,7.6,8.434,116,Roxann Dawson,Grant Nieporte,"Chrissy Metz, Josh Lucas, Topher Grace","coma, based on novel or book, miracle, family drama, based on memoir or autobiography, teenage boy, broken ice, christian faith, independent film","Tragedy strikes when a woman named Joyce's son falls through the ice on a frozen lake and is trapped underwater for over 15 minutes. After being rushed to the hospital, the 14-year-old boy continues to fight for his life as Joyce, her husband and their pastor stay by his bedside and pray for a miracle.",1084,en,US
Spies in Disguise,2019,"Animation, Action, Adventure, Comedy, Family",7.6,8.569,102,Nick Bruno,,"Will Smith, Tom Holland, Ben Mendelsohn","inventor, spy, villain, pigeon, aftercreditsstinger, save the planet","Super spy Lance Sterling and scientist Walter Beckett are almost exact opposites. Lance is smooth, suave and debonair. Walter is… not. But what Walter lacks in social skills he makes up for in smarts and invention, creating the awesome gadgets Lance uses on his epic missions. But when events take an unexpected turn, Walter and Lance suddenly have to rely on each other in a whole new way.",2814,en,US
