Title,Year,Genres,Rating,Popularity,Runtime,Director,Writer,Actors,Keywords,Plot,Ratings Amount,Language,Country
Inception,2010,"Action, Science Fiction, Adventure",8.369,46.201,148,Christopher Nolan,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ken Watanabe","rescue, mission, dreams, airplane, paris, france, virtual reality, kidnapping, philosophy, spy, allegory, manipulation, car crash, heist, memory, architecture, los angeles, california, dream world, speculative, subconscious, suspenseful, awestruck, powerful","Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",37094,en,"US, GB"
Shutter Island,2010,"Drama, Thriller, Mystery",8.201,42.612,138,Martin Scorsese,,"Leonardo DiCaprio, Mark Ruffalo, Ben Kingsley","island, based on novel or book, hurricane, investigation, u.s. marshal, conspiracy theory, psychiatric hospital, psychological thriller, whodunit, macabre, neo-noir, 1950s, complex, dreary, suspenseful, tense, baffled, tragic","World War II soldier-turned-U.S. Marshal Teddy Daniels investigates the disappearance of a patient from a hospital for the criminally insane, but his efforts are compromised by troubling visions and a mysterious doctor.",24270,en,US
Senna,2010,Documentary,8.113,7.371,106,Asif Kapadia,Manish Pandey,"Ayrton Senna, Alain Prost, Frank Williams","sports car, competition, champion, biography, rivalry, archive footage, teammate, driver, sports documentary, sport competition, talent competition, legacy, formula one (f1), motorsport, sportsman, documentary, car racing","The remarkable story of Brazilian racing driver Ayrton Senna, charting his physical and spiritual achievements on the track and off, his quest for perfection, and the mythical status he has since attained, is the subject of Senna, a documentary feature that spans the racing legend's years as an F1 driver, from his opening season in 1984 to his untimely death a decade later.",1067,en,GB
Flipped,2010,"Romance, Drama",8.0,16.818,89,Rob Reiner,,"Madeline Carroll, Callan McAuliffe, Rebecca De Mornay","based on novel or book, shyness, family relationships, unrequited love, neighbor, teenage boy, first crush, young love, opposites attract, multiple perspectives, 1950s, 1960s, based on young adult novel","When Juli meets Bryce in the second grade, she knows it's true love. After spending six years trying to convince Bryce the same, she's ready to give up - until he starts to reconsider.",3059,en,US
Scooby-Doo! Camp Scare,2010,"Animation, Comedy, Family, Mystery",7.9,7.515,72,Ethan Spaulding,Scott Thomas,"Frank Welker, Mindy Cohn, Matthew Lillard",summer camp,"Scooby and the gang experience outdoor fun as they go back to Fred's old summer camp. As summer goes on, it becomes increasingly clear that the spooky camp stories told by the fireplace, are more real than they've though and soon, it's up to the gang to try and solve the mystery of camp scare.",307,en,US
How to Train Your Dragon,2010,"Fantasy, Adventure, Animation, Family",7.835,37.436,98,Dean DeBlois,,"Jay Baruchel, Gerard Butler, Craig Ferguson","friendship, ship, blacksmith, island, based on novel or book, flying, arena, village, villain, training, ignorance, vikings (norsemen), forest, flight, nest, dragon, battle, combat, well, warrior, pets, inspirational","As the son of a Viking leader on the cusp of manhood, shy Hiccup Horrendous Haddock III faces a rite of passage: he must kill a dragon to prove his warrior mettle. But after downing a feared dragon, he realizes that he no longer wants to destroy it, and instead befriends the beast – which he names Toothless – much to the chagrin of his warrior father.",13247,en,US
Temple Grandin,2010,"Drama, History",7.8,7.4,108,Mick Jackson,,"Claire Danes, David Strathairn, Barry Tubb","boston, massachusetts, veterinarian, autism, biography, new hampshire, slaughterhouse, university, livestock","A biopic of Temple Grandin, an autistic American who has become one of the leading scientists in humane livestock handling.",468,en,US
Toy Story 3,2010,"Animation, Family, Comedy",7.799,30.31,103,Lee Unkrich,,"Tom Hanks, Tim Allen, Joan Cusack","escape, hostage, college, villain, sequel, buddy, daycare, teddy bear, duringcreditsstinger, toy comes to life, personification, inanimate objects come to life, backstory","Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.",14838,en,US
Batman: Under the Red Hood,2010,"Mystery, Crime, Animation",7.735,7.783,75,Brandon Vietti,Judd Winick,"Bruce Greenwood, Jensen Ackles, Neil Patrick Harris","martial arts, joker, superhero, cartoon, based on comic, vigilante, organized crime, billionaire, super power, mascara, masked superhero","One part vigilante, one part criminal kingpin, Red Hood begins cleaning up Gotham with the efficiency of Batman, but without following the same ethical code.",1614,en,US
The King's Speech,2010,"Drama, History",7.7,11.075,118,Tom Hooper,David Seidler,"Colin Firth, Geoffrey Rush, Helena Bonham Carter","great britain, marriage, stutter, monarchy, palace, radio, radio transmission, royal family, based on true story, death of father, speech, royalty, historical fiction, 1930s, british royal family, british monarchy, winston churchill, speech therapy, corgi","The King's Speech tells the story of the man who became King George VI, the father of Queen Elizabeth II. After his brother abdicates, George ('Bertie') reluctantly assumes the throne. Plagued by a dreaded stutter and considered unfit to be king, Bertie engages the help of an unorthodox speech therapist named Lionel Logue. Through a set of unexpected techniques, and as a result of an unlikely friendship, Bertie is able to find his voice and boldly lead the country into war.",8774,en,GB
