Title,Year,Genres,Rating,Runtime,Director,Writer,Actors,Plot,Language,Country
My Policeman,2022,"Drama, Romance",7.7,113,Michael Grandage,,"Harry Styles, Emma Corrin, David Dawson","In the late 1990s, the arrival of elderly invalid Patrick into Marion and Tom’s home triggers the exploration of seismic events from 40 years previous: the passionate relationship between Tom and Patrick at a time when homosexuality was illegal.",en,"US, GB"
Marcel the Shell with Shoes On,2022,"Animation, Comedy, Drama, Family",7.7,90,Dean Fleischer Camp,,"Jenny Slate, Dean Fleischer Camp, Isabella Rossellini","Marcel is an adorable one-inch-tall shell who ekes out a colorful existence with his grandmother Connie and their pet lint, Alan. Once part of a sprawling community of shells, they now live alone as the sole survivors of a mysterious tragedy. When a documentarian discovers them amongst the clutter of his Airbnb, his resulting short film brings Marcel millions of passionate fans, as well as unprecedented dangers and a new hope at finding his long-lost family.",en,US
Batman and Superman: Battle of the Super Sons,2022,"Animation, Action, Science Fiction",7.7,80,Matt Peters,Jeremy Adams,"Jack Dylan Grazer, Jack Griffo, Laura Bailey","After discovering he has powers, 11-year-old Jonathan Kent and assassin-turned-Boy-Wonder Damian Wayne must join forces to rescue their fathers (Superman & Batman) and save the planet from the malevolent alien force known as Starro.",en,US
Aftersun,2022,Drama,7.7,101,Charlotte Wells,,"Paul Mescal, Frankie Corio, Brooklyn Toulson",Sophie reflects on the shared joy and private melancholy of a holiday she took with her father twenty years earlier. Memories real and imagined fill the gaps between miniDV footage as she tries to reconcile the father she knew with the man she didn't.,en,US
Hustle,2022,"Drama, Comedy",7.7,117,Jeremiah Zagar,Will Fetters,"Adam Sandler, Juancho Hernangómez, Queen Latifah","After discovering a once-in-a-lifetime player with a rocky past abroad, a down on his luck basketball scout takes it upon himself to bring the phenom to the States without his team's approval. Against the odds, they have one final shot to prove they have what it takes to make it in the NBA.",en,US
Prey,2022,"Thriller, Action, Science Fiction",7.699,100,Dan Trachtenberg,,"Amber Midthunder, Dakota Beavers, Michelle Thrush","When danger threatens her camp, the fierce and highly skilled Comanche warrior Naru sets out to protect her people. But the prey she stalks turns out to be a highly evolved alien predator with a technically advanced arsenal.",en,US
The Woman King,2022,"Action, Drama, History",7.667,135,Gina Prince-Bythewood,,"Viola Davis, Thuso Mbedu, Lashana Lynch","The story of the Agojie, the all-female unit of warriors who protected the African Kingdom of Dahomey in the 1800s with skills and a fierceness unlike anything the world has ever seen, and General Nanisca as she trains the next generation of recruits and readies them for battle against an enemy determined to destroy their way of life.",en,US
The Batman,2022,"Crime, Mystery, Thriller",7.659,177,Matt Reeves,Peter Craig,"Robert Pattinson, Zoë Kravitz, Jeffrey Wright","In his second year of fighting crime, Batman uncovers corruption in Gotham City that connects to his own family while facing a serial killer known as the Riddler.",en,US
Avatar: The Way of Water,2022,"Science Fiction, Adventure, Action",7.608,192,James Cameron,,"Sam Worthington, Zoe Saldaña, Sigourney Weaver","Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.",en,US
The Greatest Beer Run Ever,2022,"Drama, Comedy, War",7.601,126,Peter Farrelly,,"Zac Efron, Russell Crowe, Kyle Allen","Chickie wants to support his friends fighting in Vietnam, so he does something wild—personally bring them American beer. What starts as a well-meaning journey quickly changes Chickie’s life and perspective. Based on a true story.",en,US
Rise,2022,Drama,7.6,113,Akin Omotoso,,"Uche Agada, Dayo Okeniyi, Yetide Badaki","After emigrating to Greece from Nigeria, Vera and Charles Antetokounmpo struggled to survive and provide for their five children, while living under the daily threat of deportation. Desperate to obtain Greek citizenship but undermined by a system that blocked them at every turn, the family's vision, determination and faith lifted them out of obscurity to launch the careers of three NBA champions.",en,US
The Fabelmans,2022,Drama,7.6,151,Steven Spielberg,Tony Kushner,"Gabriel LaBelle, Michelle Williams, Paul Dano","Growing up in post-World War II era Arizona, young Sammy Fabelman aspires to become a filmmaker as he reaches adolescence, but soon discovers a shattering family secret and explores how the power of films can help him see the truth.",en,US
The Black Phone,2022,"Horror, Thriller",7.58,103,Scott Derrickson,,"Mason Thames, Ethan Hawke, Madeleine McGraw","Finney Blake, a shy but clever 13-year-old boy, is abducted by a sadistic killer and trapped in a soundproof basement where screaming is of little use. When a disconnected phone on the wall begins to ring, Finney discovers that he can hear the voices of the killer’s previous victims. And they are dead set on making sure that what happened to them doesn’t happen to Finney.",en,US
Where the Crawdads Sing,2022,"Drama, Mystery, Romance",7.561,126,Olivia Newman,,"Daisy Edgar-Jones, Taylor John Smith, Harris Dickinson","Abandoned by her family, Kya raises herself all alone in the marshes outside of her small town. When her former boyfriend is found dead, Kya is instantly branded by the local townspeople and law enforcement as the prime suspect for his murder.",en,US
The Bad Guys,2022,"Family, Animation, Adventure, Comedy, Crime",7.546,100,Pierre Perifel,,"Sam Rockwell, Marc Maron, Awkwafina","When the Bad Guys, a crew of criminal animals, are finally caught after years of heists and being the world’s most-wanted villains, Mr. Wolf brokers a deal to save them all from prison.",en,US
Honor Society,2022,Comedy,7.5,97,Oran Zegman,David A. Goodman,"Angourie Rice, Gaten Matarazzo, Christopher Mintz-Plasse","Honor is an ambitious high school senior whose sole focus is getting into Harvard, assuming she can first score the coveted recommendation from her guidance counselor, Mr. Calvin. Willing to do whatever it takes, Honor concocts a Machiavellian-like plan to take down her top three student competitors, until things take a turn when she unexpectedly falls for her biggest competition, Michael.",en,US
The Valet,2022,"Comedy, Romance",7.5,124,Richard Wong,,"Eugenio Derbez, Samara Weaving, Max Greenfield","World famous movie star Olivia faces a PR disaster when a paparazzi snaps a photo of her with her married lover, Vincent. The hard-working valet Antonio accidentally appears in the same photo and is enlisted to pose as Olivia’s new boyfriend as a cover-up. This ruse with Olivia thrusts Antonio into the spotlight and unexpected chaos.",en,US
About Fate,2022,"Romance, Comedy",7.5,100,Marius Weisberg,Tiffany Paulsen,"Emma Roberts, Thomas Mann, Lewis Tan","Two strangers believe in love but never seem to be able to find its true meaning. In a wild twist of events, fate puts each in the other's path on one stormy New Year's Eve.",en,US
Elvis,2022,"Drama, Music, History",7.5,159,Baz Luhrmann,,"Austin Butler, Tom Hanks, Olivia DeJonge","The life story of Elvis Presley as seen through the complicated relationship with his enigmatic manager, Colonel Tom Parker.",en,"AU, US"
Sonic the Hedgehog 2,2022,"Action, Adventure, Family, Comedy",7.481,123,Jeff Fowler,,"Ben Schwartz, James Marsden, Tika Sumpter","After settling in Green Hills, Sonic is eager to prove he has what it takes to be a true hero. His test comes when Dr. Robotnik returns, this time with a new partner, Knuckles, in search for an emerald that has the power to destroy civilizations. Sonic teams up with his own sidekick, Tails, and together they embark on a globe-trotting journey to find the emerald before it falls into the wrong hands.",en,US
The Banshees of Inisherin,2022,"Drama, Comedy",7.454,114,Martin McDonagh,Martin McDonagh,"Colin Farrell, Brendan Gleeson, Kerry Condon","Two lifelong friends find themselves at an impasse when one abruptly ends their relationship, with alarming consequences for both of them.",en,"GB, US"
Bullet Train,2022,"Action, Comedy, Thriller",7.443,126,David Leitch,,"Brad Pitt, Joey King, Aaron Taylor-Johnson","Unlucky assassin Ladybug is determined to do his job peacefully after one too many gigs gone off the rails. Fate, however, may have other plans, as Ladybug's latest mission puts him on a collision course with lethal adversaries from around the globe—all with connected, yet conflicting, objectives—on the world's fastest train.",en,US
Crush,2022,"Comedy, Romance",7.408,92,Sammi Cohen,Kirsten King,"Rowan Blanchard, Auliʻi Cravalho, Isabella Ferreira","When an aspiring young artist is forced to join her high school track team, she uses it as an opportunity to pursue the girl she's been harboring a long-time crush on. But she soon finds herself falling for an unexpected teammate and discovers what real love feels like.",en,US
Frank and Penelope,2022,"Thriller, Horror, Crime",7.4,112,Sean Patrick Flanery,Sean Patrick Flanery,"Billy Budinich, Caylee Cowan, Johnathon Schaech",A tale of love and violence when a man on his emotional last legs finds a savior seductively dancing in a run-down strip club. And a life most certainly headed off a cliff suddenly becomes redirected - as everything is now worth dying for.,en,US
Z-O-M-B-I-E-S 3,2022,"Fantasy, Comedy, Family, TV Movie",7.4,88,Paul Hoen,,"Milo Manheim, Meg Donnelly, Chandler Kinney","Zed and Addison are beginning their final year at Seabrook High in the town that’s become a safe haven for monsters and humans alike. Zed is anticipating an athletic scholarship that will make him the first Zombie to attend college, while Addison is gearing up for Seabrook’s first international cheer-off competition. Then suddenly, extraterrestrial beings appear around Seabrook, provoking something other than friendly competition.",en,"CA, US"
Babylon,2022,"Drama, Comedy",7.374,189,Damien Chazelle,Damien Chazelle,"Brad Pitt, Margot Robbie, Diego Calva","A tale of outsized ambition and outrageous excess, tracing the rise and fall of multiple characters in an era of unbridled decadence and depravity during Hollywood's transition from silent films to sound films in the late 1920s.",en,US
Jerry & Marge Go Large,2022,"Comedy, Drama",7.359,96,David Frankel,,"Bryan Cranston, Annette Bening, Rainn Wilson","The remarkable true story of how retiree Jerry Selbee discovers a mathematical loophole in the Massachusetts lottery and, with the help of his wife, Marge, wins $27 million dollars and uses the money to revive their small Michigan town.",en,US
The In Between,2022,"Romance, Science Fiction, Drama",7.354,116,Arie Posin,Marc Klein,"Joey King, Kyle Allen, Kim Dickens","After surviving a car accident that took the life of her boyfriend, a teenage girl believes he's attempting to reconnect with her from the after world.",en,US
Turning Red,2022,"Animation, Family, Comedy, Fantasy",7.35,100,Domee Shi,,"Rosalie Chiang, Sandra Oh, Ava Morse","Thirteen-year-old Mei is experiencing the awkwardness of being a teenager with a twist – when she gets too excited, she transforms into a giant red panda.",en,US
The Sea Beast,2022,"Animation, Adventure, Action, Family, Fantasy",7.342,115,Chris Williams,,"Karl Urban, Zaris-Angel Hator, Jared Harris","When a young girl stows away on the ship of a legendary sea monster hunter, they launch an epic journey into uncharted waters — and make history to boot.",en,US
Slumberland,2022,"Family, Fantasy, Comedy",7.3,117,Francis Lawrence,,"Marlow Barkley, Jason Momoa, Chris O'Dowd","A young girl discovers a secret map to the dreamworld of Slumberland, and with the help of an eccentric outlaw, she traverses dreams and flees nightmares, with the hope that she will be able to see her late father again.",en,US
Dog,2022,"Drama, Comedy",7.3,101,Channing Tatum,,"Channing Tatum, Aavi Haas, Ryder McLaughlin",An army ranger and his dog embark on a road trip along the Pacific Coast Highway to attend a friend's funeral.,en,US
Harry Potter 20th Anniversary: Return to Hogwarts,2022,Documentary,7.3,103,Joe Pearlman,,"Daniel Radcliffe, Rupert Grint, Emma Watson","An enchanting making-of story told through all-new in-depth interviews and cast conversations, inviting fans on a magical first-person journey through one of the most beloved film franchises of all time.",en,US
Violent Night,2022,"Comedy, Action, Thriller, Fantasy",7.3,111,Tommy Wirkola,Patrick Casey,"David Harbour, John Leguizamo, Beverly D'Angelo","When a team of mercenaries breaks into a wealthy family compound on Christmas Eve, taking everyone inside hostage, the team isn’t prepared for a surprise combatant: Santa Claus is on the grounds, and he’s about to show why this Nick is no saint.",en,US
Minions: The Rise of Gru,2022,"Animation, Comedy, Family, Adventure",7.3,87,Kyle Balda,,"Steve Carell, Pierre Coffin, Alan Arkin","A fanboy of a supervillain supergroup known as the Vicious 6, Gru hatches a plan to become evil enough to join them, with the backup of his followers, the Minions.",en,US
Doctor Strange in the Multiverse of Madness,2022,"Fantasy, Action, Adventure",7.267,126,Sam Raimi,Michael Waldron,"Benedict Cumberbatch, Xochitl Gomez, Elizabeth Olsen","Doctor Strange, with the help of mystical allies both old and new, traverses the mind-bending and dangerous alternate realities of the Multiverse to confront a mysterious new adversary.",en,US
Pearl,2022,Horror,7.241,102,Ti West,Ti West,"Mia Goth, David Corenswet, Tandi Wright","Trapped on her family’s isolated farm, Pearl must tend to her ailing father under the bitter and overbearing watch of her devout mother. Lusting for a glamorous life like she’s seen in the movies, Pearl’s ambitions, temptations, and repressions collide.",en,US
Fireheart,2022,"Animation, Adventure, Family, Comedy",7.2,92,Theodore Anthony Lee Ty,,"Olivia Cooke, Kenneth Branagh, William Shatner",The film explores the world of firefighters in 1920s New York City and tells the story of a 16-year-old girl who will have to become a hero in order to save her city.,en,"FR, CA, US"
DC League of Super-Pets,2022,"Animation, Action, Family, Comedy, Science Fiction",7.2,105,Jared Stern,John Whittington,"Dwayne Johnson, Kevin Hart, John Krasinski","When Superman and the rest of the Justice League are kidnapped, Krypto the Super-Dog must convince a rag-tag shelter pack - Ace the hound, PB the potbellied pig, Merton the turtle and Chip the squirrel - to master their own newfound powers and help him rescue the superheroes.",en,US
Rise of the Teenage Mutant Ninja Turtles: The Movie,2022,"Animation, Action, Science Fiction",7.2,86,Andy Suriano,,"Ben Schwartz, Omar Benson Miller, Brandon Mychal Smith","When a mysterious stranger arrives from the future with a dire warning, Leo is forced to rise and lead his brothers, Raph, Donnie, and Mikey in a fight to save the world from a terrifying alien species.",en,US
Girl in the Picture,2022,Documentary,7.2,101,Skye Borgman,,"Natalie De Vincentiis, Mark Chinnery, Sarah French","A young mother’s mysterious death and her son’s subsequent kidnapping blow open a decades-long mystery about the woman’s true identity, and the murderous federal fugitive at the center of it all.",en,US
Hocus Pocus 2,2022,"Fantasy, Comedy, Family",7.2,107,Anne Fletcher,Jen D'Angelo,"Bette Midler, Sarah Jessica Parker, Kathy Najimy","29 years since the Black Flame Candle was last lit, the 17th-century Sanderson sisters are resurrected, and they are looking for revenge. Now it's up to three high school students to stop the ravenous witches from wreaking a new kind of havoc on Salem before dawn on All Hallow's Eve.",en,US
Downton Abbey: A New Era,2022,"Drama, Romance, History, Mystery",7.2,125,Simon Curtis,,"Hugh Bonneville, Maggie Smith, Jim Carter","The Crawley family goes on a grand journey to the south of France to uncover the mystery of the dowager countess's newly inherited villa. Meanwhile, a Hollywood director seeks to film his latest production at Downton.",en,GB
South Park the Streaming Wars,2022,"Animation, Comedy, TV Movie",7.2,49,Trey Parker,Trey Parker,"Trey Parker, Matt Stone, April Stewart",Cartman locks horns with his mom in a battle of wills while an epic conflict unfolds that threatens South Park’s very existence.,en,US
The Menu,2022,"Comedy, Horror, Thriller",7.176,107,Mark Mylod,Seth Reiss,"Anya Taylor-Joy, Ralph Fiennes, Nicholas Hoult","A young couple travels to a remote island to eat at an exclusive restaurant where the chef has prepared a lavish menu, with some shocking surprises.",en,US
Fall,2022,Thriller,7.145,102,Scott Mann,Scott Mann,"Grace Caroline Currey, Virginia Gardner, Jeffrey Dean Morgan","For best friends Becky and Hunter, life is all about conquering fears and pushing limits. But after they climb 2,000 feet to the top of a remote, abandoned radio tower, they find themselves stranded with no way down. Now Becky and Hunter’s expert climbing skills will be put to the ultimate test as they desperately fight to survive the elements, a lack of supplies, and vertigo-inducing heights",en,US
The Guardians of the Galaxy Holiday Special,2022,"Comedy, Science Fiction, Adventure",7.122,45,James Gunn,James Gunn,"Chris Pratt, Dave Bautista, Karen Gillan","On a mission to make Christmas unforgettable for Quill, the Guardians head to Earth in search of the perfect present.",en,US
Black Panther: Wakanda Forever,2022,"Action, Adventure, Science Fiction",7.1,162,Ryan Coogler,,"Letitia Wright, Tenoch Huerta Mejía, Lupita Nyong'o","Queen Ramonda, Shuri, M’Baku, Okoye and the Dora Milaje fight to protect their nation from intervening world powers in the wake of King T’Challa’s death.  As the Wakandans strive to embrace their next chapter, the heroes must band together with the help of War Dog Nakia and Everett Ross and forge a new path for the kingdom of Wakanda.",en,US
The Exorcism of God,2022,"Horror, Crime, Drama, Fantasy",7.1,98,Alejandro Hidalgo,Santiago Fernández Calvete,"Will Beinbrink, María Gabriela de Faría, Irán Castillo","An American priest working in Mexico is considered a saint by many local parishioners. However, due to a botched exorcism, he carries a secret that’s eating him alive until he gets an opportunity to face his demon one final time.",en,US
Father Stu,2022,Drama,7.1,124,Rosalind Ross,,"Mark Wahlberg, Mel Gibson, Jacki Weaver","The true-life story of boxer-turned-priest. When an injury ends his amateur boxing career, Stuart Long moves to Los Angeles to find money and fame. While scraping by as a supermarket clerk, he meets Carmen, a Sunday school teacher who seems immune to his bad-boy charm. Determined to win her over, the longtime agnostic starts going to church to impress her. However, a motorcycle accident leaves him wondering if he can use his second chance to help others, leading to the surprising realization that he's meant to be a Catholic priest.",en,US
Hotel Transylvania: Transformania,2022,"Animation, Comedy, Family, Adventure, Fantasy",7.1,92,Jennifer Kluska,,"Brian Hull, Selena Gomez, Andy Samberg","When Van Helsing's mysterious invention, the ""Monsterfication Ray,"" goes haywire, Drac and his monster pals are all transformed into humans, and Johnny becomes a monster. In their new mismatched bodies, Drac and Johnny must team up and race across the globe to find a cure before it's too late, and before they drive each other crazy.",en,US
South Park the Streaming Wars Part 2,2022,"Animation, Comedy, TV Movie",7.1,52,Trey Parker,Trey Parker,"Trey Parker, Matt Stone, April Stewart",A drought has brought the town of South Park to the brink of disaster.,en,US
Sonic Drone Home,2022,"Animation, Action, Family, Comedy, Science Fiction",7.1,6,David Nelson,Patrick Casey,"Ben Schwartz, Fred Tatasciore, Alicyn Packard","Sonic, Tails, and Knuckles encounter an abandoned Badnik drone which upgraded itself using parts from a junkyard, with the intention of conquering the world.",en,US
Bones and All,2022,"Drama, Horror, Romance",7.1,130,Luca Guadagnino,,"Taylor Russell, Timothée Chalamet, Mark Rylance","Abandoned by her father, a young woman embarks on a thousand-mile odyssey through the backroads of America where she meets a disenfranchised drifter. But despite their best efforts, all roads lead back to their terrifying pasts and to a final stand that will determine whether their love can survive their otherness.",en,US
TÁR,2022,"Music, Drama",7.1,158,Todd Field,Todd Field,"Cate Blanchett, Nina Hoss, Noémie Merlant","As celebrated conductor Lydia Tár starts rehearsals for a career-defining symphony, the consequences of her past choices begin to echo in the present.",en,US
Devotion,2022,"War, Drama, Action",7.1,139,J.D. Dillard,Jake Crane,"Jonathan Majors, Glen Powell, Christina Jackson",The harrowing true story of two elite US Navy fighter pilots during the Korean War. Their heroic sacrifices would ultimately make them the Navy's most celebrated wingmen.,en,US
M3GAN,2022,"Science Fiction, Horror",7.1,102,Gerard Johnstone,,"Allison Williams, Violet McGraw, Ronny Chieng","A brilliant toy company roboticist uses artificial intelligence to develop M3GAN, a life-like doll programmed to emotionally bond with her newly orphaned niece. But when the doll's programming works too well, she becomes overprotective of her new friend with terrifying results.",en,US
The Outfit,2022,"Crime, Drama, Thriller, Mystery",7.095,105,Graham Moore,Johnathan McClain,"Mark Rylance, Zoey Deutch, Johnny Flynn","Leonard is an English tailor who used to craft suits on London’s world-famous Savile Row. After a personal tragedy, he’s ended up in Chicago, operating a small tailor shop in a rough part of town where he makes beautiful clothes for the only people around who can afford them: a family of vicious gangsters.",en,US
Triangle of Sadness,2022,"Comedy, Drama",7.066,147,Ruben Östlund,Ruben Östlund,"Harris Dickinson, Charlbi Dean, Woody Harrelson","A celebrity model couple are invited on a luxury cruise for the uber-rich, helmed by an unhinged, alcoholic captain. What first appears Instagrammable ends catastrophically, leaving the survivors stranded on a desert island in a struggle of hierarchy.",en,SE
Glass Onion: A Knives Out Mystery,2022,"Comedy, Crime, Mystery",7.051,140,Rian Johnson,Rian Johnson,"Daniel Craig, Edward Norton, Janelle Monáe",World-famous detective Benoit Blanc heads to Greece to peel back the layers of a mystery surrounding a tech billionaire and his eclectic crew of friends.,en,US
The Northman,2022,"Action, Adventure, Fantasy",7.048,137,Robert Eggers,Sjón,"Alexander Skarsgård, Nicole Kidman, Claes Bang","Prince Amleth is on the verge of becoming a man when his father is brutally murdered by his uncle, who kidnaps the boy's mother. Two decades later, Amleth is now a Viking who's on a mission to save his mother, kill his uncle and avenge his father.",en,US
The Adam Project,2022,"Adventure, Science Fiction",7.025,106,Shawn Levy,Jonathan Tropper,"Ryan Reynolds, Walker Scobell, Mark Ruffalo","After accidentally crash-landing in 2022, time-traveling fighter pilot Adam Reed teams up with his 12-year-old self on a mission to save the future.",en,US
The King's Daughter,2022,"Fantasy, Adventure, Family",7.0,94,Sean McNamara,,"Pierce Brosnan, Kaya Scodelario, Benjamin Walker","King Louis XIV's quest for immortality leads him to capture and steal a mermaid's life force, a move that is further complicated by his illegitimate daughter's discovery of the creature.",en,"AU, US"
Groot's First Steps,2022,"Animation, Family, Comedy, Science Fiction",7.0,6,Kirsten Lepore,Kirsten Lepore,"Vin Diesel, Fred Tatasciore","Following the events of “Guardians of the Galaxy Vol. 1,” Baby Groot is finally ready to try taking his first steps out of his pot—only to learn you have to walk before you can run.",en,US
"Lyle, Lyle, Crocodile",2022,"Comedy, Family, Music",7.0,106,Will Speck,,"Shawn Mendes, Javier Bardem, Winslow Fegley","When the Primm family moves to New York City, their young son Josh struggles to adapt to his new school and new friends. All of that changes when he discovers Lyle — a singing crocodile who loves baths, caviar and great music — living in the attic of his new home. But when Lyle’s existence is threatened by evil neighbor Mr. Grumps, the Primms must band together to show the world that family can come from the most unexpected places.",en,US
Encanto at the Hollywood Bowl,2022,"Music, Documentary",7.0,45,Chris Howe,,"Lin-Manuel Miranda, Stephanie Beatriz, Adassa","Step into Casa Madrigal for a special concert spectacular as the original voice cast of Disney Animation's Oscar®-winning ""Encanto,"" Stephanie Beatriz, Adassa, Carolina Gaitán, Jessica Darrow, Diane Guerrero, Mauro Castillo, Angie Cepeda and Olga Merediz, along with special guests including Colombian superstar Carlos Vives, reunites for ""Encanto at the Hollywood Bowl."" This unprecedented concert experience gives you a front-row seat to the musical extravaganza celebrating the global phenomenon.",en,US
"Good Luck to You, Leo Grande",2022,"Romance, Drama",7.0,97,Sophie Hyde,,"Emma Thompson, Daryl McCormack, Isabella Laughland","Nancy Stokes, a retired schoolteacher, is pretty sure she has never had good sex. Now that her husband has died, she is determined to take a tour of sexual vistas that until now she has only imagined. She even has a plan; it involves an anonymous hotel room, and a sex worker who calls himself Leo Grande.",en,"GB, US"
Trick or Treat Scooby-Doo!,2022,"Adventure, Mystery, Comedy, Animation, Family",7.0,77,Audie Harrison,,"Frank Welker, Grey DeLisle, Matthew Lillard","Mystery Inc. has cracked the case to top all cases! They’ve tracked down Coco Diablo, the head of a notorious costume crime syndicate. With Coco and her kitty in prison, Mystery Inc. thinks that they can finally enjoy a break. Wrong! Suddenly, menacing doppelgänger ghosts of the Scooby crew and favorite classic foes show up in Coolsville to threaten Halloween. Now it’s up to the meddling kids to unmask the latest scoundrel and save Halloween!",en,US
Apollo 10½: A Space Age Childhood,2022,"Animation, Comedy, Science Fiction, Drama, Fantasy",7.0,97,Richard Linklater,Richard Linklater,"Milo Coy, Jack Black, Lee Eddy","A man narrates stories of his life as a 10-year-old boy in 1969 Houston, weaving tales of nostalgia with a fantastical account of a journey to the moon.",en,US
The Enforcer,2022,"Action, Crime, Drama",7.0,91,Richard Hughes,W. Peter Iliff,"Antonio Banderas, Kate Bosworth, Mojean Aria","A noir thriller set in Miami, the film follows an enforcer who discovers his femme fatale boss has branched out into cyber sex trafficking, putting a young runaway he’s befriended at risk. He sacrifices everything to save the young girl from the deadly organization he’s spent his life building.",en,US
The School for Good and Evil,2022,"Fantasy, Comedy, Adventure, Drama",7.0,149,Paul Feig,,"Sofia Wylie, Sophia Anne Caruso, Kerry Washington",Best friends Sophie and Agatha navigate an enchanted school for young heroes and villains — and find themselves on opposing sides of the battle between good and evil.,en,US
The House,2022,"Animation, Drama, Comedy, Horror, Fantasy",7.0,97,Marc James Roels,Enda Walsh,"Mia Goth, Matthew Goode, Claudie Blakley","Across different eras, a poor family, an anxious developer and a fed-up landlady become tied to the same mysterious house in this animated dark comedy.",en,GB
Chip 'n Dale: Rescue Rangers,2022,"Animation, Family, Comedy, Adventure, Mystery",6.996,99,Akiva Schaffer,Dan Gregor,"Andy Samberg, John Mulaney, KiKi Layne","Decades since their successful television series was canceled, Chip has succumbed to a life of suburban domesticity as an insurance salesman. Dale, meanwhile, has had CGI surgery and works the nostalgia convention circuit, desperate to relive his glory days. When a former cast mate mysteriously disappears, Chip and Dale must repair their broken friendship and take on their Rescue Rangers detective personas once again to save their friend’s life.",en,US
