Title,Year,Genres,Rating,Runtime,Director,Writer,Actors,Plot,Language,Country
Selena Gomez: My Mind & Me,2022,"Documentary, Music",8.757,95,Alek Keshishian,Alek Keshishian,"Selena Gomez, Raquelle Stevens, Ashley Cook","After years in the limelight, Selena Gomez achieves unimaginable stardom. But just as she reaches a new peak, an unexpected turn pulls her into darkness. This uniquely raw and intimate documentary spans her six-year journey into a new light.",en,US
Puss in Boots: The Last Wish,2022,"Animation, Adventure, Fantasy, Comedy, Family",8.2,103,Joel Crawford,,"Antonio Banderas, Salma Hayek Pinault, Harvey Guillén","Puss in Boots discovers that his passion for adventure has taken its toll: He has burned through eight of his nine lives, leaving him with only one life left. Puss sets out on an epic journey to find the mythical Last Wish and restore his nine lives.",en,US
"The Boy, the Mole, the Fox and the Horse",2022,"Animation, Family, Adventure, Fantasy",8.2,35,Peter Baynton,Jon Croker,"Jude Coward Nicoll, Tom Hollander, Idris Elba","The unlikely friendship of a boy, a mole, a fox and a horse traveling together in the boy's search for home.",en,GB
Top Gun: Maverick,2022,"Action, Drama",8.2,131,Joseph Kosinski,,"Tom Cruise, Miles Teller, Monica Barbaro","After more than thirty years of service as one of the Navy’s top aviators, and dodging the advancement in rank that would ground him, Pete “Maverick” Mitchell finds himself training a detachment of TOP GUN graduates for a specialized mission the likes of which no living pilot has ever seen.",en,US
Purple Hearts,2022,"Romance, Drama",8.103,122,Elizabeth Allen Rosenbaum,Kyle Jarrow,"Sofia Carson, Nicholas Galitzine, John Harlan Kim","An aspiring musician agrees to a marriage of convenience with a soon-to-deploy Marine, but a tragedy soon turns their fake relationship all too real.",en,US
Guillermo del Toro's Pinocchio,2022,"Animation, Fantasy, Drama",8.07,117,Mark Gustafson,,"Ewan McGregor, David Bradley, Gregory Mann","During the rise of fascism in Mussolini's Italy, a wooden boy brought magically to life struggles to live up to his father's expectations.",en,US
Thirteen Lives,2022,"Drama, Thriller",7.889,147,Ron Howard,,"Viggo Mortensen, Colin Farrell, Joel Edgerton","Based on the true nail-biting mission that captivated the world. Twelve boys and the coach of a Thai soccer team explore the Tham Luang cave when an unexpected rainstorm traps them in a chamber inside the mountain. Entombed behind a maze of flooded cave tunnels, they face impossible odds. A team of world-class divers navigate through miles of dangerous cave networks to discover that finding the boys is only the beginning.",en,US
Redeeming Love,2022,"Romance, Drama, Western",7.835,134,D.J. Caruso,,"Abigail Cowen, Tom Lewis, Eric Dane",A retelling of the biblical book of Hosea set against the backdrop of the California Gold Rush of 1850.,en,US
The Whale,2022,Drama,7.832,117,Darren Aronofsky,,"Brendan Fraser, Sadie Sink, Ty Simpkins",A reclusive English teacher suffering from severe obesity attempts to reconnect with his estranged teenage daughter for one last chance at redemption.,en,US
Mortal Kombat Legends: Snow Blind,2022,"Animation, Action, Fantasy",7.8,82,Rick Morales,Jeremy Adams,"Manny Jacinto, David Wenham, Artt Butler","Hellbent on taking over Earthrealm, Kano viciously attacks town after town with the aid of three cold-blooded Black Dragon mercenaries. Those who don’t submit are annihilated but one young man won’t bend the knee to Kano: Kenshi.",en,US
Luck,2022,"Animation, Adventure, Comedy, Fantasy",7.8,105,Peggy Holmes,,"Eva Noblezada, Simon Pegg, Jane Fonda","Suddenly finding herself in the never-before-seen Land of Luck, the unluckiest person in the world must unite with the magical creatures there to turn her luck around.",en,US
Emancipation,2022,"Drama, War, History",7.782,132,Antoine Fuqua,Bill Collage,"Will Smith, Ben Foster, Charmaine Bingwa","Inspired by the gripping true story of a man who would do anything for his family—and for freedom. When Peter, an enslaved man, risks his life to escape and return to his family, he embarks on a perilous journey of love and endurance.",en,US
A Man Called Otto,2022,"Comedy, Drama",7.768,126,Marc Forster,,"Tom Hanks, Mariana Treviño, Cameron Britton","When a lively young family moves in next door, grumpy widower Otto Anderson meets his match in a quick-witted, pregnant woman named Marisol, leading to an unlikely friendship that turns his world upside down.",en,US
