Title,Year,Genres,Rating,Runtime,Director,Writer,Actors,Plot,Language,Country
Room,2015,"Drama, Thriller",8.0,118,Lenny Abrahamson,,"Brie Larson, Jacob Tremblay, Joan Allen","Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time.",en,"CA, IE, GB, US"
Inside Out,2015,"Animation, Family, Adventure, Drama, Comedy",7.9,95,Pete Docter,,"Amy Poehler, Phyllis Smith, Richard Kind","When 11-year-old Riley moves to a new city, her Emotions team up to help her through the transition. Joy, Fear, Anger, Disgust and Sadness work together, but when Joy and Sadness get lost, they must journey through unfamiliar places to get back home.",en,US
War Room,2015,Drama,7.835,120,Alex Kendrick,Alex Kendrick,"Karen Abercrombie, Priscilla C. Shirer, T.C. Stallings","The family-friendly movie explores the transformational role prayer plays in the lives of the Jordan family. Tony and Elizabeth Jordan, a middle-class couple who seemingly have it all – great jobs, a beautiful daughter, their dream home. But appearances can be deceiving. In reality, the Jordan’s marriage has become a war zone and their daughter is collateral damage. With the help of Miss Clara, an older, wiser woman, Elizabeth discovers she can start fighting for her family instead of against them. Through a newly energized faith, Elizabeth and Tony’s real enemy doesn’t have a prayer.",en,US
Spotlight,2015,"Drama, History",7.815,129,Tom McCarthy,Tom McCarthy,"Mark Ruffalo, Michael Keaton, Rachel McAdams","The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",en,US
Straight Outta Compton,2015,"Drama, Music, History",7.8,147,F. Gary Gray,,"O'Shea Jackson Jr., Corey Hawkins, Jason Mitchell","In 1987, five young men, using brutally honest rhymes and hardcore beats, put their frustration and anger about life in the most dangerous place in America into the most powerful weapon they had: their music.  Taking us back to where it all began, Straight Outta Compton tells the true story of how these cultural rebels—armed only with their lyrics, swagger, bravado and raw talent—stood up to the authorities that meant to keep them down and formed the world’s most dangerous group, N.W.A.  And as they spoke the truth that no one had before and exposed life in the hood, their voice ignited a social revolution that is still reverberating today.",en,US
Regular Show: The Movie,2015,"Animation, Comedy, Science Fiction, TV Movie, Adventure, Action",7.8,69,J.G. Quintel,,"J.G. Quintel, William Salyers, Sam Marin","After a high school lab experiment goes horribly wrong, Mordecai and Rigby must go back in time to battle an evil volleyball coach in order to save the universe — and their friendship.",en,US
The Hateful Eight,2015,"Drama, Mystery, Western",7.755,188,Quentin Tarantino,,"Samuel L. Jackson, Kurt Russell, Jennifer Jason Leigh",Bounty hunters seek shelter from a raging blizzard and get caught up in a plot of betrayal and deception.,en,US
"Monster High: Boo York, Boo York",2015,"Animation, Family, Music",7.7,72,William Lau,Keith Wagner,"Salli Saffioti, Missi Hale, TJ Smith","It's fright lights, big city when the Monster High ghouls head to Boo York! Cleo de Nile is invited to attend a gancy gala celebrating the return of the magical comet and, of course, she brings along her beast friends. But their trip isn't all fun and frightseeing because Nefera, Cleo's sister, uses the comet's power for her own spooktacularly sneaky plans. Can the monsters unwrap the mystery of the comet in time to stop Nefera? Find out in Booy York, Boo York, the first-ever Monster High musical, featuring eight original songs.",en,US
The Martian,2015,"Drama, Adventure, Science Fiction",7.7,141,Ridley Scott,,"Matt Damon, Jessica Chastain, Kristen Wiig","During a manned mission to Mars, Astronaut Mark Watney is presumed dead after a fierce storm and left behind by his crew. But Watney has survived and finds himself stranded and alone on the hostile planet. With only meager supplies, he must draw upon his ingenuity, wit and spirit to subsist and find a way to signal to Earth that he is alive.",en,US
The Longest Ride,2015,"Drama, Romance",7.636,128,George Tillman Jr.,,"Britt Robertson, Scott Eastwood, Alan Alda",The lives of a young couple intertwine with a much older man as he reflects back on a lost love while he's trapped in an automobile crash.,en,US
Kingsman: The Secret Service,2015,"Crime, Comedy, Action, Adventure",7.629,129,Matthew Vaughn,Jane Goldman,"Taron Egerton, Colin Firth, Samuel L. Jackson",The story of a super-secret spy organization that recruits an unrefined but promising street kid into the agency's ultra-competitive training program just as a global threat emerges from a twisted tech genius.,en,GB
Mad Max: Fury Road,2015,"Action, Adventure, Science Fiction",7.619,121,George Miller,Nico Lathouris,"Tom Hardy, Charlize Theron, Nicholas Hoult","An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order.",en,"AU, US"
The Little Prince,2015,"Adventure, Animation, Fantasy, Family",7.609,108,Mark Osborne,Mark Osborne,"Riley Osborne, Mackenzie Foy, Jeff Bridges","Based on the best-seller book 'The Little Prince', the movie tells the story of a little girl that lives with resignation in a world where efficiency and work are the only dogmas. Everything will change when accidentally she discovers her neighbor that will tell her about the story of the Little Prince that he once met.",en,FR
Ex Machina,2015,"Drama, Science Fiction",7.6,108,Alex Garland,Alex Garland,"Domhnall Gleeson, Alicia Vikander, Oscar Isaac","Caleb, a coder at the world's largest internet company, wins a competition to spend a week at a private mountain retreat belonging to Nathan, the reclusive CEO of the company. But when Caleb arrives at the remote location he finds that he will have to participate in a strange and fascinating experiment in which he must interact with the world's first true artificial intelligence, housed in the body of a beautiful robot girl.",en,GB
Beasts of No Nation,2015,"Drama, War",7.6,137,Cary Joji Fukunaga,,"Abraham Attah, Idris Elba, Emmanuel Nii Adom Quaye","Based on the experiences of Agu, a child fighting in the civil war of an unnamed, fictional West African country. Follows Agu's journey as he's forced to join a group of soldiers. While he fears his commander and many of the men around him, his fledgling childhood has been brutally shattered by the war raging through his country, and he is at first torn between conflicting revulsion and fascination.",en,US
The Danish Girl,2015,Drama,7.6,119,Tom Hooper,,"Eddie Redmayne, Alicia Vikander, Matthias Schoenaerts","When Gerda Wegener asks her husband Einar to fill in as a portrait model, Einar discovers the person she's meant to be and begins living her life as Lili Elbe. Having realized her true self and with Gerda's love and support, Lili embarks on a groundbreaking journey as a transgender pioneer.",en,"US, GB"
The Revenant,2015,"Western, Drama, Adventure",7.532,157,Alejandro González Iñárritu,,"Leonardo DiCaprio, Tom Hardy, Domhnall Gleeson","In the 1820s, a frontiersman, Hugh Glass, sets out on a path of vengeance against those who left him for dead after a bear mauling.",en,US
The Age of Adaline,2015,"Romance, Fantasy, Drama",7.5,112,Lee Toland Krieger,,"Blake Lively, Michiel Huisman, Harrison Ford","After 29-year-old Adaline recovers from a nearly lethal accident, she inexplicably stops growing older. As the years stretch on and on, Adaline keeps her secret to herself  until she meets a man who changes her life.",en,US
Monster High: Haunted,2015,"Animation, Family, Fantasy",7.5,75,Dan Fraga,Keith Wagner,"Haviland Stillwell, Karen Strassman, Laura Bailey","Lurk what's waiting for the Monster High ghouls when they bring their killer fashion to the howlways of the spooktacular Haunted High! When the ghouls of Monster High follow Spectra Vondergeist one day, they discover a creeperiffic Ghost World with an all-spirit school. But their scary-cute student bodies are hardly welcome with the very strict Principal Revenant, and she punishes Spectra with frightful detention chains that prevent her from re-joining Monster High. Now, it's up to the imperfectly perfect friends to take on ghostly forms in order to save one of their own from disappearing forever!",en,US
Me and Earl and the Dying Girl,2015,"Drama, Comedy",7.5,105,Alfonso Gomez-Rejon,,"Olivia Cooke, Thomas Mann, RJ Cyler","Greg is coasting through senior year of high school as anonymously as possible, avoiding social interactions like the plague while secretly making spirited, bizarre films with Earl, his only friend. But both his anonymity and friendship threaten to unravel when his mother forces him to befriend a classmate with leukemia.",en,US
Carol,2015,"Romance, Drama",7.5,118,Todd Haynes,,"Cate Blanchett, Rooney Mara, Kyle Chandler","In 1950s New York, a department-store clerk who dreams of a better life falls for an older, married woman.",en,US
"McFarland, USA",2015,"Drama, Family",7.454,128,Niki Caro,,"Kevin Costner, Maria Bello, Mariann Gavelo",A track coach in a small California town transforms a team of athletes into championship contenders.,en,US
Sicario,2015,"Action, Crime, Thriller",7.4,122,Denis Villeneuve,Taylor Sheridan,"Emily Blunt, Benicio del Toro, Josh Brolin",An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.,en,US
Miss You Already,2015,"Comedy, Drama",7.4,112,Catherine Hardwicke,Morwenna Banks,"Drew Barrymore, Shola Adewusi, Toni Collette",The friendship between two life-long girlfriends is put to the test when one starts a family and the other falls ill.,en,"US, GB"
Creed,2015,"Action, Drama",7.4,133,Ryan Coogler,,"Michael B. Jordan, Sylvester Stallone, Tessa Thompson","The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed.",en,US
The Big Short,2015,"Comedy, Drama",7.355,131,Adam McKay,,"Steve Carell, Christian Bale, John Magaro",The men who made millions from a global economic meltdown.,en,US
Woman in Gold,2015,Drama,7.305,109,Simon Curtis,Alexi Kaye Campbell,"Helen Mirren, Ryan Reynolds, Tatiana Maslany","Maria Altmann, an octogenarian Jewish refugee, takes on the Austrian government to recover a world famous painting of her aunt plundered by the Nazis during World War II, she believes rightfully belongs to her family. She did so not just to regain what was rightfully hers, but also to obtain some measure of justice for the death, destruction, and massive art theft perpetrated by the Nazis.",en,GB
My Little Pony: Equestria Girls - Friendship Games,2015,"Animation, Music, Family",7.302,72,Ishi Rudell,Josh Haber,"Tara Strong, Rebecca Shoichet, Ashleigh Ball","Canterlot High meets its rival school, Crystal Prep Academy, in a competition that’s a long-standing tradition – The Friendship Games. Sunset Shimmer is tasked with keeping magic out of the games to avoid the appearance of impropriety while she and her friends compete against Crystal Prep’s top students led by someone with an equal amount of interest in Equestrian magic – this world’s TWILIGHT SPARKLE.",en,"CA, US"
