Title,Year,Genres,Rating,Runtime,Director,Writer,Actors,Plot,Language,Country
Colonia,2015,"Drama, History",7.3,106,Florian Gallenberger,Torsten Wenzel,"Emma Watson, Daniel Brühl, Michael Nyqvist","A young woman's desperate search for her abducted boyfriend draws her into the infamous Colonia Dignidad, a sect nobody ever escaped from.",en,"US, GB"
Suite Française,2015,"Drama, Romance, War",7.3,103,Saul Dibb,Saul Dibb,"Michelle Williams, Kristin Scott Thomas, Matthias Schoenaerts","France, 1940. In the first days of occupation, beautiful Lucile Angellier is trapped in a stifled existence with her controlling mother-in-law as they both await news of her husband: a prisoner of war. Parisian refugees start to pour into their small town, soon followed by a regiment of German soldiers who take up residence in the villagers' own homes. Lucile initially tries to ignore Bruno von Falk, the handsome and refined German officer staying with them. But soon, a powerful love draws them together and leads them into the tragedy of war.",en,"CA, FR"
Brooklyn,2015,"Romance, Drama, History",7.3,111,John Crowley,,"Saoirse Ronan, Domhnall Gleeson, Emory Cohen","In 1950s Ireland and New York, young Eilis Lacey has to choose between two men and two countries.",en,"GB, IE"
Star Wars: The Force Awakens,2015,"Adventure, Action, Science Fiction",7.3,136,J.J. Abrams,Michael Arndt,"Harrison Ford, Mark Hamill, Carrie Fisher","Thirty years after defeating the Galactic Empire, Han Solo and his allies face a new threat from the evil Kylo Ren and his army of Stormtroopers.",en,US
Marco Polo: One Hundred Eyes,2015,"Action, History, Drama",7.282,28,Alik Sakharov,John Fusco,"Tom Wu, Masayoshi Haneda, Benedict Wong",Before he lost his sight. Before he pledged his service to Kublai Khan. Hundred Eyes saw what made him into the deadly assassin who trains Marco Polo.,en,US
Avengers: Age of Ultron,2015,"Action, Adventure, Science Fiction",7.272,141,Joss Whedon,Joss Whedon,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo","When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",en,US
Bridge of Spies,2015,"Thriller, Drama",7.235,141,Steven Spielberg,Joel Coen,"Tom Hanks, Mark Rylance, Amy Ryan","During the Cold War, the Soviet Union captures U.S. pilot Francis Gary Powers after shooting down his U-2 spy plane. Sentenced to 10 years in prison, Powers' only hope is New York lawyer James Donovan, recruited by a CIA operative to negotiate his release. Donovan boards a plane to Berlin, hoping to win the young man's freedom through a prisoner exchange. If all goes well, the Russians would get Rudolf Abel, the convicted spy who Donovan defended in court.",en,US
Furious 7,2015,"Action, Thriller, Crime",7.229,137,James Wan,Chris Morgan,"Vin Diesel, Paul Walker, Jason Statham",Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,en,US
Batman vs. Robin,2015,"Science Fiction, Action, Adventure, Animation, Crime, Drama, Fantasy, Thriller",7.2,72,Jay Oliva,,"Jason O'Mara, Stuart Allan, David McCallum","Damian Wayne is having a hard time coping with his father's ""no killing"" rule. Meanwhile, Gotham is going through hell with threats such as the insane Dollmaker, and the secretive Court of Owls.",en,US
The Intern,2015,Comedy,7.2,121,Nancy Meyers,Nancy Meyers,"Robert De Niro, Anne Hathaway, Rene Russo","70-year-old widower Ben Whittaker has discovered that retirement isn't all it's cracked up to be. Seizing an opportunity to get back in the game, he becomes a senior intern at an online fashion site, founded and run by Jules Ostin.",en,US
Max,2015,"Adventure, Drama, Family",7.2,111,Boaz Yakin,Sheldon Lettich,"Thomas Haden Church, Josh Wiggins, Lauren Graham",A dog that helped soldiers in Afghanistan returns to the U.S. and is adopted by his handler's family after suffering a traumatic experience.,en,US
Suffragette,2015,"Drama, History",7.2,106,Sarah Gavron,Abi Morgan,"Carey Mulligan, Helena Bonham Carter, Brendan Gleeson","Based on true events about the foot soldiers of the early feminist movement, women who were forced underground to pursue a dangerous game of cat and mouse with an increasingly brutal State.",en,GB
Freeheld,2015,"Romance, Drama",7.2,103,Peter Sollett,,"Julianne Moore, Elliot Page, Steve Carell",New Jersey car mechanic Stacie Andree and her police detective girlfriend Laurel Hester both battle to secure Hester's pension benefits after she was diagnosed with a terminal illness.,en,US
Little Boy,2015,"Comedy, Drama, War",7.2,106,Alejandro Monteverde,,"Jakob Salvati, Emily Watson, Cary-Hiroyuki Tagawa",An eight-year-old boy is willing to do whatever it takes to end World War II so he can bring his father home. The story reveals the indescribable love a father has for his little boy and the love a son has for his father.,en,"MX, US"
Riley's First Date?,2015,"Animation, Family",7.2,5,Josh Cooley,Josh Cooley,"Pete Docter, Ben Cox, Kyle MacLachlan","Riley, now 12, who is hanging out with her parents at home when potential trouble comes knocking. Mom's and Dad's Emotions find themselves forced to deal with Riley going on her first ""date.""",en,US
Mission: Impossible - Rogue Nation,2015,"Action, Adventure",7.2,131,Christopher McQuarrie,,"Tom Cruise, Jeremy Renner, Simon Pegg","Ethan and team take on their most impossible mission yet—eradicating 'The Syndicate', an International and highly-skilled rogue organization committed to destroying the IMF.",en,US
Cleveland Abduction,2015,"Drama, Crime, TV Movie",7.2,88,Alex Kalymnios,Stephen Tolkin,"Taryn Manning, Raymond Cruz, Katie Sarife","A single mother becomes Ariel Castro's first kidnapping victim, and finds herself trapped in his home with two other women for 11 years.",en,US
Trumbo,2015,Drama,7.163,124,Jay Roach,,"Bryan Cranston, Diane Lane, Helen Mirren",The career of screenwriter Dalton Trumbo is halted by a witch hunt in the late 1940s when he defies the anti-communist HUAC committee and is blacklisted.,en,US
The Man from U.N.C.L.E.,2015,"Comedy, Action, Adventure",7.1,116,Guy Ritchie,,"Henry Cavill, Armie Hammer, Alicia Vikander","At the height of the Cold War, a mysterious criminal organization plans to use nuclear weapons and technology to upset the fragile balance of power between the United States and Soviet Union. CIA agent Napoleon Solo and KGB agent Illya Kuryakin are forced to put aside their hostilities and work together to stop the evildoers in their tracks. The duo's only lead is the daughter of a missing German scientist, whom they must find soon to prevent a global catastrophe.",en,US
Descendants,2015,"Family, Adventure, Fantasy, TV Movie",7.1,112,Kenny Ortega,Sara Parriott,"Dove Cameron, Sofia Carson, Cameron Boyce","A present-day idyllic kingdom where the benevolent teenage son of King Adam and Queen Belle offers a chance of redemption for the troublemaking offspring of Disney's classic villains: Cruella De Vil (Carlos), Maleficent (Mal), the Evil Queen (Evie) and Jafar (Jay).",en,US
Justice League: Gods and Monsters,2015,"Action, Animation, Fantasy, Adventure, Science Fiction",7.1,76,Sam Liu,Alan Burnett,"Benjamin Bratt, Michael C. Hall, Tamara Taylor","In an alternate universe, very different versions of DC's Trinity fight against the government after they are framed for an embassy bombing.",en,US
Fathers and Daughters,2015,Drama,7.1,116,Gabriele Muccino,,"Amanda Seyfried, Russell Crowe, Aaron Paul","A Pulitzer-winning writer grapples with being a widower and father after a mental breakdown, while, 27 years later, his grown daughter struggles to forge connections of her own.",en,US
Concussion,2015,Drama,7.092,123,Peter Landesman,Peter Landesman,"Will Smith, Alec Baldwin, Albert Brooks","A dramatic thriller based on the incredible true David vs. Goliath story of American immigrant Dr. Bennet Omalu, the brilliant forensic neuropathologist who made the first discovery of CTE, a football-related brain trauma, in a pro player and fought for the truth to be known. Omalu's emotional quest puts him at dangerous odds with one of the most powerful institutions in the world.",en,US
Strange Magic,2015,"Music, Animation, Family, Fantasy",7.091,99,Gary Rydstrom,,"Alan Cumming, Evan Rachel Wood, Elijah Kelley","A love potion works its devious charms on fairies, elves and the swamp-dwelling Bog King as they all try to possess the potion for themselves.",en,US
Ant-Man,2015,"Science Fiction, Action, Adventure",7.072,117,Peyton Reed,,"Paul Rudd, Michael Douglas, Evangeline Lilly","Armed with the astonishing ability to shrink in scale but increase in strength, master thief Scott Lang must embrace his inner-hero and help his mentor, Doctor Hank Pym, protect the secret behind his spectacular Ant-Man suit from a new generation of towering threats. Against seemingly insurmountable obstacles, Pym and Lang must plan and pull off a heist that will save the world.",en,US
Dope,2015,"Crime, Drama, Comedy",7.067,103,Rick Famuyiwa,Rick Famuyiwa,"Shameik Moore, Zoë Kravitz, A$AP Rocky","Malcolm is carefully surviving life in a tough neighborhood in Los Angeles while juggling college applications, academic interviews, and the SAT. A chance invitation to an underground party leads him into an adventure that could allow him to go from being a geek, to being dope, to ultimately being himself.",en,US
Far from the Madding Crowd,2015,"Drama, Romance",7.034,119,Thomas Vinterberg,,"Carey Mulligan, Matthias Schoenaerts, Michael Sheen","In Victorian England, the independent and headstrong Bathsheba Everdene attracts three very different suitors: Gabriel Oak, a hardworking young sheep farmer; Frank Troy, a handsome and reckless Sergeant; and William Boldwood, a prosperous and mature bachelor.",en,"GB, US"
The Lobster,2015,"Comedy, Drama, Romance",7.0,119,Yorgos Lanthimos,,"Colin Farrell, Rachel Weisz, Olivia Colman","In a dystopian near future, single people, according to the laws of The City, are taken to The Hotel, where they are obliged to find a romantic partner in forty-five days or are transformed into animals and sent off into The Woods.",en,"FR, IE, GB"
The Dressmaker,2015,"Drama, Comedy, Western",7.0,118,Jocelyn Moorhouse,,"Kate Winslet, Liam Hemsworth, Caroline Goodall","In 1950s Australia, beautiful, talented dressmaker Tilly returns to her tiny hometown to right wrongs from her past. As she tries to reconcile with her mother, she starts to fall in love while transforming the fashion of the town.",en,AU
Eye in the Sky,2015,"Drama, Thriller, War",7.0,102,Gavin Hood,Guy Hibbert,"Helen Mirren, Aaron Paul, Alan Rickman","A UK-based military officer in command of a top secret drone operation to capture terrorists in Kenya discovers the targets are planning a suicide bombing and the mission escalates from “capture” to “kill.” As American pilot Steve Watts is about to engage, a nine-year old girl enters the kill zone, triggering an international dispute reaching the highest levels of US and British government over the moral, political, and personal implications of modern warfare.",en,GB
The Flintstones and WWE: Stone Age SmackDown!,2015,"Animation, Comedy, Family, Adventure",7.0,52,Spike Brandt,Jed Elinoff,"Jeff Bergman, Kevin Michael Richardson, Tress MacNeille","The WWE comes to town in the new animated film teaming the Flintstones with Bedrock-ready versions of John Cena, Daniel Bryan and more.",en,US
The Walk,2015,"History, Drama",7.0,123,Robert Zemeckis,,"Joseph Gordon-Levitt, Ben Kingsley, Charlotte Le Bon",The story of French high-wire artist Philippe Petit's attempt to cross the Twin Towers of the World Trade Center in 1974.,en,US
Justice League: Throne of Atlantis,2015,"Science Fiction, Action, Animation, Adventure",7.0,72,Ethan Spaulding,Heath Corson,"Sean Astin, Rosario Dawson, Nathan Fillion","After the events of Justice League: War, Ocean Master and Black Manta have declared a war against the surface in retaliation of the aftermath of Apokoliptian-tyrant Darkseid's planetary invasion. Queen Atlanna seeks out her other son, Ocean Master’s half-brother Arthur Curry, a half-human with aquatic powers with no knowledge of his Atlantean heritage, to restore balance.  Living with powers he doesn’t understand and seeing the danger around him, Curry takes steps to embrace his destiny, joining the Justice League, and with his new teammates he battles to save Earth from total destruction.",en,US
The Peanuts Movie,2015,"Comedy, Animation, Family",6.935,88,Steve Martino,,"Noah Schnapp, Bill Melendez, Marleik 'Mar Mar' Walker","Snoopy embarks upon his greatest mission as he and his team take to the skies to pursue their arch-nemesis, while his best pal Charlie Brown begins his own epic quest.",en,US
Hidden,2015,"Thriller, Horror",6.905,83,Ross Duffer,Matt Duffer,"Alexander Skarsgård, Andrea Riseborough, Emily Alyn Lind",A family takes refuge in a fallout shelter to avoid a dangerous outbreak.,en,US
Focus,2015,"Romance, Comedy, Crime",6.9,105,Glenn Ficarra,John Requa,"Will Smith, Margot Robbie, Rodrigo Santoro","Nicky, an accomplished con artist, gets romantically involved with his disciple Jess but later ends their relationship. Years later, she returns as a femme fatale to spoil his plans.",en,US
No Escape,2015,"Thriller, Action",6.9,103,John Erick Dowdle,John Erick Dowdle,"Owen Wilson, Lake Bell, Pierce Brosnan","In their new overseas home, an American family soon finds themselves caught in the middle of a coup, and they frantically look for a safe escape in an environment where foreigners are being immediately executed.",en,US
Tangerine,2015,"Comedy, Drama",6.9,87,Sean Baker,Sean Baker,"Kitana Kiki Rodriguez, Mya Taylor, Karren Karagulian","It's Christmas Eve in Tinseltown and Sin-Dee is back on the block. Upon hearing that her pimp boyfriend hasn't been faithful during the 28 days she was locked up, the working girl and her best friend, Alexandra, embark on a mission to get to the bottom of the scandalous rumor. Their rip-roaring odyssey leads them through various subcultures of Los Angeles, including an Armenian family dealing with their own repercussions of infidelity.",en,US
The Hunger Games: Mockingjay - Part 2,2015,"Action, Adventure, Science Fiction",6.9,137,Francis Lawrence,,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth","With the nation of Panem in a full scale war, Katniss confronts President Snow in the final showdown. Teamed with a group of her closest friends – including Gale, Finnick, and Peeta – Katniss goes off on a mission with the unit from District 13 as they risk their lives to stage an assassination attempt on President Snow who has become increasingly obsessed with destroying her. The mortal traps, enemies, and moral choices that await Katniss will challenge her more than any arena she faced in The Hunger Games.",en,US
The Stanford Prison Experiment,2015,Thriller,6.9,122,Kyle Patrick Alvarez,,"Billy Crudup, Michael Angarano, Ezra Miller","In 1971, Stanford's Professor Philip Zimbardo conducts a controversial psychology experiment in which college students pretend to be either prisoners or guards, but the proceedings soon get out of hand. Based on a true story.",en,US
Woodlawn,2015,Drama,6.878,123,Jon Erwin,,"C. Thomas Howell, Sean Astin, Jon Voight",Love and unity in a school torn by racism and hate in the 1970s. A gifted high school football player must learn to embrace his talent and his faith as he battles racial tensions on and off the field.,en,US
The DUFF,2015,"Romance, Comedy",6.8,100,Ari Sandel,,"Mae Whitman, Robbie Amell, Bella Thorne","Bianca's universe turns upside down when she learns that her high school refers to her as a ‘DUFF' (Designated Ugly Fat Friend). Hoping to erase that label, she enlists the help of a charming jock and her favorite teacher. Together they'll face the school's mean girl and remind everyone that we are all someone's DUFF… and that's totally fine.",en,US
Danny Collins,2015,"Music, Comedy, Drama",6.8,107,Dan Fogelman,,"Al Pacino, Annette Bening, Christopher Plummer",An ageing hard-living 1970s rock star decides to change his life when he discovers a 40-year-old undelivered letter written to him by John Lennon.,en,US
Frozen Fever,2015,"Animation, Family, Adventure, Comedy",6.8,8,Chris Buck,Chris Buck,"Kristen Bell, Idina Menzel, Jonathan Groff","On Anna's birthday, Elsa and Kristoff are determined to give her the best celebration ever, but Elsa's icy powers may put more than just the party at risk.",en,US
Project Almanac,2015,"Science Fiction, Thriller",6.8,106,Dean Israelite,Jason Pagan,"Jonny Weston, Sofia Black-D'Elia, Sam Lerner","A group of teens discover secret plans of a time machine, and construct one. However, things start to get out of control.",en,US
Cinderella,2015,"Romance, Fantasy, Family, Drama",6.8,105,Kenneth Branagh,,"Lily James, Cate Blanchett, Richard Madden","When her father unexpectedly passes away, young Ella finds herself at the mercy of her cruel stepmother and her daughters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger in the woods.",en,US
Everest,2015,"Adventure, Drama, History",6.8,121,Baltasar Kormákur,,"Jason Clarke, Josh Brolin, Kumud Pant","Inspired by the incredible events surrounding a treacherous attempt to reach the summit of the world's highest mountain, ""Everest"" documents the awe-inspiring journey of two different expeditions challenged beyond their limits by one of the fiercest snowstorms ever encountered by mankind. Their mettle tested by the harshest of elements found on the planet, the climbers will face nearly impossible obstacles as a lifelong obsession becomes a breathtaking struggle for survival.",en,"US, IS, GB"
Spy,2015,"Action, Comedy, Crime",6.8,120,Paul Feig,,"Melissa McCarthy, Rose Byrne, Jason Statham","A desk-bound CIA analyst volunteers to go undercover to infiltrate the world of a deadly arms dealer, and prevent diabolical global disaster.",en,US
Home,2015,"Fantasy, Comedy, Animation, Science Fiction, Family",6.8,94,Tim Johnson,,"Jim Parsons, Rihanna, Steve Martin","When Earth is taken over by the overly-confident Boov, an alien race in search of a new place to call home, all humans are promptly relocated, while all Boov get busy reorganizing the planet. But when one resourceful girl, Tip, manages to avoid capture, she finds herself the accidental accomplice of a banished Boov named Oh. The two fugitives realize there’s a lot more at stake than intergalactic relations as they embark on the road trip of a lifetime.",en,US
Chappie,2015,"Crime, Action, Science Fiction",6.788,120,Neill Blomkamp,Neill Blomkamp,"Sharlto Copley, Dev Patel, Hugh Jackman","Every child comes into the world full of promise, and none more so than Chappie: he is gifted, special, a prodigy. Like any child, Chappie will come under the influence of his surroundings—some good, some bad—and he will rely on his heart and soul to find his way in the world and become his own man. But there's one thing that makes Chappie different from any one else: he is a robot.",en,US
We Are Your Friends,2015,"Drama, Music, Romance, Comedy",6.777,96,Max Joseph,,"Zac Efron, Wes Bentley, Emily Ratajkowski","Young Cole Carter dreams of hitting the big time as a Hollywood disc jockey, spending his days and nights hanging with buddies and working on the one track that will set the world on fire. Opportunity comes knocking when he meets James Reed, a charismatic DJ who takes the 23-year-old under his wing. Soon, his seemingly clear path to success gets complicated when he starts falling for his mentor's girlfriend, jeopardizing his new friendship and the future he seems destined to fulfill.",en,"US, GB"
Steve Jobs,2015,"Drama, History",6.776,122,Danny Boyle,Aaron Sorkin,"Michael Fassbender, Kate Winslet, Seth Rogen","Set backstage at three iconic product launches and ending in 1998 with the unveiling of the iMac, Steve Jobs takes us behind the scenes of the digital revolution to paint an intimate portrait of the brilliant man at its epicenter.",en,"GB, US"
Hotel Transylvania 2,2015,"Animation, Comedy, Family, Fantasy",6.766,89,Genndy Tartakovsky,Robert Smigel,"Adam Sandler, Andy Samberg, Selena Gomez","When the old-old-old-fashioned vampire Vlad arrives at the hotel for an impromptu family get-together, Hotel Transylvania is in for a collision of supernatural old-school and modern day cool.",en,US
In the Heart of the Sea,2015,"Thriller, Drama, Adventure, Action, History",6.759,122,Ron Howard,,"Chris Hemsworth, Benjamin Walker, Cillian Murphy","In the winter of 1820, the New England whaling ship Essex is assaulted by something no one could believe—a whale of mammoth size and will, and an almost human sense of vengeance.",en,US
Savageland,2015,"Horror, Crime, Thriller",6.747,80,David Whelan,Phil Guidry,"Noe Montes, J.C. Carlos, Lawrence Moss","When a small town near the Arizona-Mexico border is wiped out overnight, suspicion falls on the lone survivor. But a roll of photos the survivor took that night tells a different story.",en,US
Maze Runner: The Scorch Trials,2015,"Science Fiction, Action, Thriller, Adventure",6.729,131,Wes Ball,,"Dylan O'Brien, Kaya Scodelario, Thomas Brodie-Sangster","Thomas and his fellow Gladers face their greatest challenge yet: searching for clues about the mysterious and powerful organization known as WCKD. Their journey takes them to the Scorch, a desolate landscape filled with unimaginable obstacles. Teaming up with resistance fighters, the Gladers take on WCKD’s vastly superior forces and uncover its shocking plans for them all.",en,US
