Title,Year,Genres,Rating,Popularity,Runtime,Director,Writer,Actors,Keywords,Plot,Ratings Amount,Language,Country
Spider-Man: Across the Spider-Verse,2023,"Animation, Action, Adventure, Science Fiction",8.3,57.952,140,Kemp Powers,Phil Lord,"Shameik Moore, Hailee Steinfeld, Brian Tyree Henry","new york city, hero, sacrifice, superhero, villain, portal, based on comic, sequel, romance, alter ego, alternate dimension, india, parenting, family, alternate version, super power, brooklyn, new york city, superhero team, spider bite, super villain, cliffhanger, teenage romance, young heroes, teen superhero, teen social issues, chelsea, alternate universe, superhero teamup, female superhero, slow burn romance, interdimensional travel, sentimental, audacious, bold, defiant, exuberant","After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",7333,en,US
Once Upon a Studio,2023,"Animation, Family, Fantasy, Comedy",8.29,10.394,9,Dan Abraham,Dan Abraham,"Chris Diamantopoulos, Kaitlyn Robrock, Tony Anselmo","live action and animation, dedication, short film, cgi-live action hybrid","Created for Disney's 100th anniversary, the short features Mickey Mouse corralling a gallery of legendary Disney characters for a group photo.",366,en,US
TAYLOR SWIFT | THE ERAS TOUR,2023,Music,8.245,11.494,169,Sam Wrench,Taylor Swift,"Taylor Swift, Mike Meadows, Max Bernstein","musician, live performance, pop music, concert film, singer-songwriter, aftercreditsstinger, duringcreditsstinger","The cultural phenomenon continues on the big screen! Immerse yourself in this once-in-a-lifetime concert film experience with a breathtaking, cinematic view of the history-making tour.",436,en,US
Oppenheimer,2023,"Drama, History",8.071,52.142,181,Christopher Nolan,Christopher Nolan,"Cillian Murphy, Emily Blunt, Matt Damon","husband wife relationship, based on novel or book, atomic bomb, patriotism, new mexico, world war ii, atomic bomb test, physics, biography, based on true story, interrogation, guilt, historical event, nuclear weapons, communism, red scare, mccarthyism, top secret project, moral dilemma, usa politics, 1940s, antisemitism, 20th century, manhattan project, los alamos",The story of J. Robert Oppenheimer's role in the development of the atomic bomb during World War II.,9853,en,US
Flamin' Hot,2023,"Drama, History",8.0,9.976,99,Eva Longoria,,"Jesse Garcia, Annie Gonzalez, Emilio Rivera","biography, based on true story, janitor, mexican american, woman director","The inspiring true story of Richard Montañez, the Frito Lay janitor who channeled his Mexican American heritage and upbringing to turn the iconic Flamin' Hot Cheetos into a snack that disrupted the food industry and became a global pop culture phenomenon.",691,en,US
White Bird,2023,Drama,8.0,10.756,121,Marc Forster,,"Ariella Glaser, Orlando Schwerdt, Bryce Gheisar","france, nazi, holocaust (shoah), world war ii, private school, bullying, hitler youth, coming of age, german occupation of france, kindness, based on graphic novel, jewish girl, jewish refugee, 1940s, nazi propaganda, grandmother grandson relationship, interfaith","After being expelled from Beecher Prep for his treatment of a classmate with a facial deformity, Julian has struggled to fit in at his new school. To transform his life, Julian's grandmother finally reveals her own story of courage of her youth in Nazi-occupied France, where a classmate shelters her from mortal danger.",151,en,US
Guardians of the Galaxy Vol. 3,2023,"Science Fiction, Adventure, Action",8.0,45.065,150,James Gunn,James Gunn,"Chris Pratt, Zoe Saldaña, Dave Bautista","hero, superhero, melancholy, mad scientist, based on comic, sequel, superhero team, space opera, raccoon, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu), hopeless, cosmic, outer space, chosen family, lighthearted, hilarious, cheerful, disheartening, empathetic, enthusiastic, euphoric, hopeful, straightforward, sympathetic","Peter Quill, still reeling from the loss of Gamora, must rally his team around him to defend the universe along with protecting one of their own. A mission that, if not completed successfully, could quite possibly lead to the end of the Guardians as we know them.",7158,en,US
Sound of Freedom,2023,"Action, Drama",7.997,15.686,131,Alejandro Monteverde,Rod Barr,"Jim Caviezel, Mira Sorvino, Bill Camp","kidnapping, human trafficking, based on true story, child kidnapping, aggressive, zealous, lost children, children in danger, colombia, appreciative, awestruck","The story of Tim Ballard, a former US government agent, who quits his job in order to devote his life to rescuing children from global sex traffickers.",2489,en,US
"Red, White & Royal Blue",2023,"Comedy, Romance",7.987,21.37,121,Matthew López,,"Taylor Zakhar Perez, Nicholas Galitzine, Uma Thurman","based on novel or book, politics, prince, royal family, royalty, lgbt, gay theme, gay relationship, enemies to lovers, lighthearted, boys' love (bl)","After an altercation between Alex, the president's son, and Britain's Prince Henry at a royal event becomes tabloid fodder, their long-running feud now threatens to drive a wedge in U.S./British relations. When the rivals are forced into a staged truce, their icy relationship begins to thaw and the friction between them sparks something deeper than they ever expected.",1328,en,US
Nimona,2023,"Animation, Family, Action, Science Fiction, Adventure, Fantasy, Drama",7.881,9.628,99,Troy Quane,,"Chloë Grace Moretz, Riz Ahmed, Eugene Lee Yang","monster, knight, based on graphic novel, metamorphosis, lgbt, shape shifter, teenager, science fantasy","A knight framed for a tragic crime teams with a scrappy, shape-shifting teen to prove his innocence.",1144,en,US
Shooting Stars,2023,"Drama, History",7.8,7.888,116,Chris Robinson,,"Mookie Cook, Dermot Mulroney, Wood Harris","sports, basketball, high school sports, basketball player, 1990s, star, professional basketball player","The inspiring origin story of a basketball superhero, revealing how LeBron James and his childhood friends become the #1 high school team in the country, launching James's breathtaking career as a four-time NBA Champion, two-time Olympic Gold Medalist and the NBA's all-time leading scorer.",143,en,US
One Life,2023,"History, Drama",7.789,18.259,109,James Hawes,,"Anthony Hopkins, Johnny Flynn, Lena Olin","world war ii, deportation, czechoslovakia, biography, based on true story, refugee train, war hero, nazi invasion, jewish family, kindertransport, jewish refugee, 1930s, semi-biographical, pre-war, jewish history, jews, nazi germany, jews in hiding, dramatic, jewish child, jewish community","British stockbroker Nicholas Winton visits Czechoslovakia in the 1930s and forms plans to assist in the rescue of Jewish children before the onset of World War II, in an operation that came to be known as the Kindertransport.",762,en,GB
Gran Turismo,2023,"Adventure, Action, Drama",7.766,27.161,135,Neill Blomkamp,,"Archie Madekwe, David Harbour, Orlando Bloom","sports, based on true story, racing, based on video game, duringcreditsstinger, exhilarated",The ultimate wish-fulfillment tale of a teenage Gran Turismo player whose gaming skills won him a series of Nissan competitions to become an actual professional racecar driver.,2848,en,US
Guy Ritchie's The Covenant,2023,"War, Action, Thriller",7.758,25.682,123,Guy Ritchie,,"Jake Gyllenhaal, Dar Salim, Sean Sagar","rescue, ambush, interpreter, afghanistan, afghanistan war (2001-2021), war, exhilarated, hopeful","During the war in Afghanistan, a local interpreter risks his own life to carry an injured sergeant across miles of grueling terrain.",2662,en,US
Past Lives,2023,"Drama, Romance",7.745,16.443,106,Celine Song,,"Greta Lee, Teo Yoo, John Magaro","new york city, immigrant, friendship, regret, language barrier, melancholy, nostalgia, interracial relationship, fate, memory, playwright, childhood, childhood friends, nostalgic, semi autobiographical, woman director, retreat, skype, facebook, ferry, childhood crush, korean american, korean, asian american, independent film, facetime","Nora and Hae Sung, two childhood friends, are reunited in New York for one fateful week as they confront notions of destiny, love, and the choices that make a life.",1825,en,US
