Title,Year,Genres,Rating,Runtime,Director,Writer,Actors,Plot,Language,Country
Interstellar: Nolan's Odyssey,2014,"Documentary, TV Movie",7.736,23,Dan Storey,Tim Postins,"Alex Zane, Michael Caine, Jessica Chastain",A look behind the lens of Christopher Nolan's space epic.,en,"US, GB"
Monster High: Freaky Fusion,2014,Animation,7.72,73,William Lau,Keith Wagner,"Haviland Stillwell, Laura Bailey, Paula Rhodes","While attempting to help Frankie Stein learn more about her freakycool scaritage, the fashionably fierce ghoulfriends travel back in time to the first day ever of Monster High! There, they meet Sparky, a skullastic teen with an obsession for creating life. But when Sparky follows the ghouls through a killer time portal to modern-day Monster High, the event results in eight of them fusing together into four creeperiffic hybrid Monsters. Now, they'll really have to work together to control their bodies in the big Bitecentennial Play and stop one of Sparky's experiments from destroying imperfectly perfect Monster High!",en,US
Nightcrawler,2014,"Crime, Drama, Thriller",7.7,118,Dan Gilroy,Dan Gilroy,"Jake Gyllenhaal, Riz Ahmed, Rene Russo","When Lou Bloom, desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story. Aiding him in his effort is Nina, a TV-news veteran.",en,US
Big Hero 6,2014,"Adventure, Family, Animation, Action, Comedy",7.7,102,Chris Williams,,"Scott Adsit, Ryan Potter, Daniel Henney","A special bond develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes.",en,US
Captain America: The Winter Soldier,2014,"Action, Adventure, Science Fiction",7.7,136,Joe Russo,,"Chris Evans, Samuel L. Jackson, Scarlett Johansson","After the cataclysmic events in New York with The Avengers, Steve Rogers, aka Captain America is living quietly in Washington, D.C. and trying to adjust to the modern world. But when a S.H.I.E.L.D. colleague comes under attack, Steve becomes embroiled in a web of intrigue that threatens to put the world at risk. Joining forces with the Black Widow, Captain America struggles to expose the ever-widening conspiracy while fighting off professional assassins sent to silence him at every turn. When the full scope of the villainous plot is revealed, Captain America and the Black Widow enlist the help of a new ally, the Falcon. However, they soon find themselves up against an unexpected and formidable enemy—the Winter Soldier.",en,US
How to Train Your Dragon 2,2014,"Fantasy, Action, Adventure, Animation, Comedy, Family",7.672,102,Dean DeBlois,Dean DeBlois,"Jay Baruchel, Cate Blanchett, Gerard Butler","Five years have passed since Hiccup and Toothless united the dragons and Vikings of Berk. Now, they spend their time charting unmapped territories. During one of their adventures, the pair discover a secret cave that houses hundreds of wild dragons -- and a mysterious dragon rider who turns out to be Hiccup's mother, Valka. Hiccup and Toothless then find themselves at the center of a battle to protect Berk from a power-hungry warrior named Drago.",en,US
Ex Machina,2015,"Drama, Science Fiction",7.6,108,Alex Garland,Alex Garland,"Domhnall Gleeson, Alicia Vikander, Oscar Isaac","Caleb, a coder at the world's largest internet company, wins a competition to spend a week at a private mountain retreat belonging to Nathan, the reclusive CEO of the company. But when Caleb arrives at the remote location he finds that he will have to participate in a strange and fascinating experiment in which he must interact with the world's first true artificial intelligence, housed in the body of a beautiful robot girl.",en,GB
Edge of Tomorrow,2014,"Action, Science Fiction",7.6,114,Doug Liman,,"Tom Cruise, Emily Blunt, Bill Paxton","Major Bill Cage is an officer who has never seen a day of combat when he is unceremoniously demoted and dropped into combat. Cage is killed within minutes, managing to take an alpha alien down with him. He awakens back at the beginning of the same day and is forced to fight and die again... and again - as physical contact with the alien has thrown him into a time loop.",en,US
The Fault in Our Stars,2014,"Romance, Drama",7.6,126,Josh Boone,,"Shailene Woodley, Ansel Elgort, Nat Wolff","Despite the tumor-shrinking medical miracle that has bought her a few years, Hazel has never been anything but terminal, her final chapter inscribed upon diagnosis. But when a patient named Augustus Waters suddenly appears at Cancer Kid Support Group, Hazel's story is about to be completely rewritten.",en,US
What We Do in the Shadows,2014,"Comedy, Horror",7.568,86,Jemaine Clement,Jemaine Clement,"Jemaine Clement, Taika Waititi, Jonny Brugh",Vampire housemates try to cope with the complexities of modern life and show a newly turned hipster some of the perks of being undead.,en,NZ
Fury,2014,"War, Drama, Action",7.538,135,David Ayer,David Ayer,"Brad Pitt, Shia LaBeouf, Logan Lerman","In the last months of World War II, as the Allies make their final push in the European theatre, a battle-hardened U.S. Army sergeant named 'Wardaddy' commands a Sherman tank called 'Fury' and its five-man crew on a deadly mission behind enemy lines. Outnumbered and outgunned, Wardaddy and his men face overwhelming odds in their heroic attempts to strike at the heart of Nazi Germany.",en,US
X-Men: Days of Future Past,2014,"Action, Adventure, Science Fiction",7.529,132,Bryan Singer,,"Hugh Jackman, James McAvoy, Michael Fassbender",The ultimate X-Men ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past – to save our future.,en,US
Boyhood,2014,Drama,7.5,166,Richard Linklater,Richard Linklater,"Ellar Coltrane, Patricia Arquette, Ethan Hawke","The film tells a story of a divorced couple trying to raise their young son. The story follows the boy for twelve years, from first grade at age 6 through 12th grade at age 17-18, and examines his relationship with his parents as he grows.",en,US
The Book of Life,2014,"Animation, Adventure, Comedy, Family, Fantasy",7.5,95,Jorge R. Gutierrez,Jorge R. Gutierrez,"Diego Luna, Channing Tatum, Zoe Saldaña","The journey of Manolo, a young man who is torn between fulfilling the expectations of his family and following his heart. Before choosing which path to follow, he embarks on an incredible adventure that spans three fantastical worlds where he must face his greatest fears.",en,US
Still Alice,2014,Drama,7.485,100,Wash Westmoreland,,"Julianne Moore, Kate Bosworth, Shane McRae","Alice Howland, happily married with three grown children, is a renowned linguistics professor who starts to forget words. When she receives a devastating diagnosis, Alice and her family find their bonds tested.",en,"FR, GB, US"
The Best of Me,2014,"Drama, Romance",7.469,117,Michael Hoffman,Will Fetters,"Michelle Monaghan, James Marsden, Luke Bracey",A pair of former high school sweethearts reunite after many years when they return to visit their small hometown.,en,US
Birdman or (The Unexpected Virtue of Ignorance),2014,"Drama, Comedy",7.46,120,Alejandro González Iñárritu,Alejandro González Iñárritu,"Michael Keaton, Emma Stone, Zach Galifianakis","A fading actor best known for his portrayal of a popular superhero attempts to mount a comeback by appearing in a Broadway play. As opening night approaches, his attempts to become more altruistic, rebuild his career, and reconnect with friends and family prove more difficult than expected.",en,US
John Wick,2014,"Action, Thriller",7.442,101,Chad Stahelski,Derek Kolstad,"Keanu Reeves, Michael Nyqvist, Alfie Allen",Ex-hitman John Wick comes out of retirement to track down the gangsters that took everything from him.,en,US
Unbroken,2014,"Drama, War",7.43,137,Angelina Jolie,,"Jack O'Connell, Alex Russell, Domhnall Gleeson","A chronicle of the life of Louis Zamperini, an Olympic runner who was taken prisoner by Japanese forces during World War II.",en,US
American Sniper,2014,"War, Action",7.423,133,Clint Eastwood,Jason Hall,"Bradley Cooper, Sienna Miller, Kyle Gallner","U.S. Navy SEAL Chris Kyle takes his sole mission—protect his comrades—to heart and becomes one of the most lethal snipers in American history. His pinpoint accuracy not only saves countless lives but also makes him a prime target of insurgents. Despite grave danger and his struggle to be a good husband and father to his family back in the States, Kyle serves four tours of duty in Iraq. However, when he finally returns home, he finds that he cannot leave the war behind.",en,US
The Lego Movie,2014,"Animation, Family, Adventure, Comedy, Fantasy",7.416,100,Phil Lord,,"Chris Pratt, Elizabeth Banks, Will Ferrell","An ordinary Lego mini-figure, mistakenly thought to be the extraordinary MasterBuilder, is recruited to join a quest to stop an evil Lego tyrant from conquering the universe.",en,US
Justice League: War,2014,"Animation, Action",7.405,79,Jay Oliva,Heath Corson,"Michelle Monaghan, Alan Tudyk, Sean Astin","The world is under attack by an alien armada led by the powerful Apokoliptian, Darkseid. A group of superheroes consisting of Superman, Batman, Wonder Woman, The Flash, Green Lantern, Cyborg, and Shazam must set aside their differences and gather together to defend Earth.",en,US
Scooby-Doo! WrestleMania Mystery,2014,"Animation, Comedy, Family, Mystery",7.4,84,Brandon Vietti,Michael Ryan,"Frank Welker, Matthew Lillard, Grey DeLisle","The mystery begins when Shaggy and Scooby win tickets to ""WrestleMania"" and convince the crew to go with them to WWE City. But this city harbors a spooky secret - a ghastly Ghost Bear holds the town in his terrifying grip! To protect the coveted WWE Championship Title, the gang gets help from WWE Superstars like John Cena, Triple H, Sin Cara, Brodus Clay, AJ Lee, The Miz and Kane. Watch Scooby and the gang grapple with solving this case before it's too late.",en,US
Predestination,2014,"Science Fiction, Thriller",7.4,98,Michael Spierig,Peter Spierig,"Ethan Hawke, Sarah Snook, Noah Taylor","Predestination chronicles the life of a Temporal Agent sent on an intricate series of time-travel journeys designed to prevent future killers from committing their crimes. Now, on his final assignment, the Agent must stop the one criminal that has eluded him throughout time and prevent a devastating attack in which thousands of lives will be lost.",en,AU
If I Stay,2014,Drama,7.4,106,R. J. Cutler,,"Chloë Grace Moretz, Jamie Blackley, Liana Liberato","Mia Hall, a talented young cellist, thought the most difficult decision she would ever have to make would be whether to pursue her musical dreams at prestigious Juilliard or follow her heart to be with the love of her life, Adam, a rock singer/guitarist. However, a car wreck changes everything in an instant, and now Mia's life hangs in the balance. Suspended between life and death, Mia faces a choice that will decide her future.",en,US
Selma,2014,"History, Drama",7.394,127,Ava DuVernay,Paul Webb,"David Oyelowo, Carmen Ejogo, Tom Wilkinson","""Selma,"" as in Alabama, the place where segregation in the South was at its worst, leading to a march that ended in violence, forcing a famous statement by President Lyndon B. Johnson that ultimately led to the signing of the Voting Rights Act.",en,"US, GB"
Dawn of the Planet of the Apes,2014,"Science Fiction, Action, Drama, Thriller",7.33,130,Matt Reeves,Mark Bomback,"Andy Serkis, Jason Clarke, Toby Kebbell","A group of scientists in San Francisco struggle to stay alive in the aftermath of a plague that is wiping out humanity, while Caesar tries to maintain dominance over his community of intelligent apes.",en,US
The Hobbit: The Battle of the Five Armies,2014,"Action, Adventure, Fantasy",7.326,144,Peter Jackson,,"Ian McKellen, Martin Freeman, Richard Armitage","Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.",en,"NC, NZ, US"
The Judge,2014,Drama,7.321,141,David Dobkin,,"Robert Downey Jr., Robert Duvall, Vera Farmiga","A successful lawyer returns to his hometown for his mother's funeral only to discover that his estranged father, the town's judge, is suspected of murder.",en,US
The Good Lie,2014,Drama,7.3,110,Philippe Falardeau,,"Reese Witherspoon, Corey Stoll, Thad Luckinbill","A young refugee of the Sudanese Civil War who wins a lottery for relocation to the United States with three other lost boys. Encountering the modern world for the first time, they develop an unlikely friendship with a brash American woman assigned to help them, but the young man struggles to adjust to this new life and his feelings of guilt about the brother he left behind.",en,US
Dragons: Dawn of the Dragon Racers,2014,"Animation, Family, Adventure, Comedy, Fantasy",7.3,26,Elaine Bogan,Art Brown,"Jay Baruchel, America Ferrera, Christopher Mintz-Plasse",A hunt for a lost sheep turns into a competition between Hiccup and friends as they compete to become the first Dragon Racing champion of Berk.,en,US
Tinker Bell and the Legend of the NeverBeast,2014,"Adventure, Animation, Family",7.3,77,Steve Loter,,"Ginnifer Goodwin, Mae Whitman, Rosario Dawson","An ancient myth of a massive creature sparks the curiosity of Tinker Bell and her good friend Fawn, an animal fairy who’s not afraid to break the rules to help an animal in need. But this creature is not welcome in Pixie Hollow — and the scout fairies are determined to capture the mysterious beast, who they fear will destroy their home. Fawn must convince her fairy friends to risk everything to rescue the NeverBeast.",en,US
The Hundred-Foot Journey,2014,"Drama, Comedy",7.3,122,Lasse Hallström,,"Helen Mirren, Manish Dayal, Om Puri",A story centered around an Indian family who moves to France and opens a restaurant across the street from a Michelin-starred French restaurant.,en,"US, AE"
The Equalizer,2014,"Thriller, Action, Crime",7.281,132,Antoine Fuqua,Richard Wenk,"Denzel Washington, Marton Csokas, Chloë Grace Moretz","McCall believes he has put his mysterious past behind him and dedicated himself to beginning a new, quiet life. But when he meets Teri, a young girl under the control of ultra-violent Russian gangsters, he can’t stand idly by – he has to help her. Armed with hidden skills that allow him to serve vengeance against anyone who would brutalize the helpless, McCall comes out of his self-imposed retirement and finds his desire for justice reawakened. If someone has a problem, if the odds are stacked against them, if they have nowhere else to turn, McCall will help. He is The Equalizer.",en,US
"Electric Boogaloo: The Wild, Untold Story of Cannon Films",2014,Documentary,7.2,107,Mark Hartley,Mark Hartley,"Molly Ringwald, Dolph Lundgren, Bo Derek","A documentary about the rise and fall of the Cannon Film Group, the legendary independent film company helmed by Israeli cousins Menahem Golan and Yoram Globus.",en,AU
The Maze Runner,2014,"Action, Mystery, Science Fiction, Thriller",7.188,113,Wes Ball,,"Dylan O'Brien, Kaya Scodelario, Aml Ameen","Set in a post-apocalyptic world, young Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow “runners” for a shot at escape.",en,"GB, US"
Chef,2014,Comedy,7.118,114,Jon Favreau,Jon Favreau,"Jon Favreau, John Leguizamo, Bobby Cannavale","When Chef Carl Casper suddenly quits his job at a prominent Los Angeles restaurant after refusing to compromise his creative integrity for its controlling owner, he is left to figure out what's next. Finding himself in Miami, he teams up with his ex-wife, his friend and his son to launch a food truck. Taking to the road, Chef Carl goes back to his roots to reignite his passion for the kitchen -- and zest for life and love.",en,US
Phineas and Ferb: Star Wars,2014,"Animation, Comedy, Family, Science Fiction, Adventure, TV Movie, Action",7.1,51,Sue Perrotto,Kyle Menke,"Vincent Martella, Thomas Brodie-Sangster, Ashley Tisdale",Phineas and Ferb become the galaxy's unlikeliest last hope when they must return the Death Star plans to the Rebel Alliance.,en,US
Paddington,2014,"Comedy, Adventure, Family",7.1,96,Paul King,,"Ben Whishaw, Hugh Bonneville, Sally Hawkins","A young Peruvian bear travels to London in search of a new home. Finding himself lost and alone at Paddington Station, he meets the kindly Brown family.",en,GB
Trash,2014,"Adventure, Crime, Drama, Thriller",7.1,112,Stephen Daldry,,"Rickson Tevez, Eduardo Luís, Gabriel Weinstein","Set in Brazil, three kids who make a discovery in a garbage dump soon find themselves running from the cops and trying to right a terrible wrong.",en,"BR, GB"
St. Vincent,2014,Comedy,7.1,102,Theodore Melfi,,"Bill Murray, Melissa McCarthy, Jaeden Martell","A young boy whose parents just divorced finds an unlikely friend and mentor in the misanthropic, bawdy, hedonistic, war veteran who lives next door.",en,US
Maleficent,2014,"Fantasy, Adventure, Action, Family, Romance",7.088,97,Robert Stromberg,,"Angelina Jolie, Elle Fanning, Imelda Staunton","A beautiful, pure-hearted young woman, Maleficent has an idyllic life growing up in a peaceable forest kingdom, until one day when an invading army threatens the harmony of the land. She rises to be the land's fiercest protector, but she ultimately suffers a ruthless betrayal – an act that begins to turn her heart into stone. Bent on revenge, Maleficent faces an epic battle with the invading King's successor and, as a result, places a curse upon his newborn infant Aurora. As the child grows, Maleficent realizes that Aurora holds the key to peace in the kingdom – and to Maleficent's true happiness as well.",en,US
Wild,2014,Drama,7.0,115,Jean-Marc Vallée,,"Reese Witherspoon, Laura Dern, Keene McRae",A woman with a tragic past decides to start her new life by hiking for one thousand miles on the Pacific Crest Trail.,en,US
Toy Story That Time Forgot,2014,"Animation, Family, Adventure, Comedy",6.988,22,Steve Purcell,Steve Purcell,"Kristen Schaal, Kevin McKidd, Tom Hanks","During a post-Christmas play date, the gang find themselves in uncharted territory when the coolest set of action figures ever turn out to be dangerously delusional. It's all up to Trixie, the triceratops, if the gang hopes to return to Bonnie's room in this Toy Story That Time Forgot.",en,US
Marvel Studios: Assembling a Universe,2014,"Documentary, TV Movie",6.9,43,,,"Robert Downey Jr., Clark Gregg, Scarlett Johansson","A look at the story behind Marvel Studios and the Marvel Cinematic Universe, featuring interviews and behind-the-scenes footage from all of the Marvel films, the Marvel One-Shots and ""Marvel's Agents of S.H.I.E.L.D.""",en,US
Stonehearst Asylum,2014,"Thriller, Mystery, Horror",6.9,112,Brad Anderson,,"Kate Beckinsale, Jim Sturgess, David Thewlis","An Oxford Medical School graduate takes a position at a mental institution and soon becomes obsessed with a female mental patient, but he has no idea of a recent and horrifying staffing change.",en,US
The Road Within,2014,"Comedy, Drama",6.9,100,Gren Wells,Gren Wells,"Robert Sheehan, Dev Patel, Zoë Kravitz",A young man with Tourette's Syndrome embarks on a road trip with his recently-deceased mother's ashes.,en,US
Divergent,2014,"Action, Adventure, Science Fiction",6.9,139,Neil Burger,,"Shailene Woodley, Theo James, Zoë Kravitz","In a world divided into factions based on personality types, Tris learns that she's been classified as Divergent and won't fit in. When she discovers a plot to destroy Divergents, Tris and the mysterious Four must find out what makes Divergents dangerous before it's too late.",en,US
Locke,2014,"Drama, Thriller",6.9,85,Steven Knight,Steven Knight,"Tom Hardy, Ruth Wilson, Andrew Scott","Ivan Locke has worked hard to craft a good life for himself. Tonight, that life will collapse around him. On the eve of the biggest challenge of his career, Ivan receives a phone call that sets in motion a series of events that will unravel his family, job, and soul.",en,"GB, US"
Enemy,2014,"Thriller, Mystery",6.862,91,Denis Villeneuve,Javier Gullón,"Jake Gyllenhaal, Mélanie Laurent, Sarah Gadon",A mild-mannered college professor discovers a look-alike actor and delves into the other man's private affairs.,en,CA
22 Jump Street,2014,"Crime, Comedy, Action",6.834,112,Phil Lord,,"Jonah Hill, Channing Tatum, Peter Stormare","After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college. But when Jenko meets a kindred spirit on the football team, and Schmidt infiltrates the bohemian art major scene, they begin to question their partnership. Now they don't have to just crack the case - they have to figure out if they can have a mature relationship. If these two overgrown adolescents can grow from freshmen into real men, college might be the best thing that ever happened to them.",en,US
A Girl Walks Home Alone at Night,2014,"Horror, Romance",6.832,101,Ana Lily Amirpour,,"Sheila Vand, Arash Marandi, Marshall Manesh","In the Iranian ghost-town Bad City, a place that reeks of death and loneliness, the townspeople are unaware they are being stalked by a lonesome vampire.",en,US
Non-Stop,2014,"Action, Thriller, Mystery",6.809,107,Jaume Collet-Serra,,"Liam Neeson, Julianne Moore, Scoot McNairy","Bill Marks is a Federal Air Marshall for whom every day is the same until this one. On this plane ride, he starts receiving text messages from someone claiming to be on the flight and threatening to kill passengers. In a race against the clock, he must identify and stop the killer to save everyone on board.",en,"FR, GB, US"
The Water Diviner,2014,"War, Drama",6.807,112,Russell Crowe,Andrew Anastasios,"Russell Crowe, Olga Kurylenko, Yılmaz Erdoğan","In 1919, Australian farmer Joshua Connor travels to Turkey to discover the fate of his three sons, reported missing in action. Holding on to hope, Joshua must travel across the war-torn landscape to find the truth and his own peace.",en,"AU, US"
Son of God,2014,Drama,6.8,138,Christopher Spencer,Richard Bedser,"Roma Downey, Diogo Morgado, Louise Delamere","In the Holy Land, the Roman occupation has produced a cauldron of oppression, anxiety and excessive taxes levied upon the Jewish people. Fearing the wrath of Roman governor Pontius Pilate , Jewish high priest Caiaphas tries to keep control of his people. That control is threatened when Jesus arrives in Jerusalem, performing miracles and spreading messages of love and hope. Those who fear that Jesus will inspire a revolution decide that he must die.",en,US
The Hunger Games: Mockingjay - Part 1,2014,"Science Fiction, Adventure, Thriller",6.8,123,Francis Lawrence,,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth",Katniss Everdeen reluctantly becomes the symbol of a mass rebellion against the autocratic Capitol.,en,US
'71,2014,"Thriller, Action, Drama, War",6.8,99,Yann Demange,,"Jack O'Connell, Sean Harris, Paul Anderson",A young British soldier must find his way back to safety after his unit accidentally abandons him during a riot in the streets of Belfast.,en,GB
Halo: Nightfall,2014,"Science Fiction, Action, Adventure",6.799,119,Sergio Mimica-Gezzan,,"Mike Colter, Alexis Rodney, Alexander Bhat","Set between the events of Halo 4 and Halo 5: Guardians… Halo: Nightfall tells the dramatic story of legendary man hunter and Naval Intelligence Officer Jameson Locke and his team as they are caught in a horrific biological attack while investigating terrorist activity on the distant colony world of Sedra. As they unravel a plot that draws them to an ancient, hellish artifact, they will be forced to fight for their survival, question everything and ultimately choose between their loyalty and their lives.",en,US
The Drop,2014,"Drama, Crime",6.786,106,Michaël R. Roskam,,"Tom Hardy, Noomi Rapace, James Gandolfini","Bob Saginowski finds himself at the center of a robbery gone awry and entwined in an investigation that digs deep into the neighborhood's past where friends, families, and foes all work together to make a living - no matter the cost.",en,US
"As Above, So Below",2014,"Horror, Thriller",6.715,93,John Erick Dowdle,John Erick Dowdle,"Perdita Weeks, Ben Feldman, Edwin Hodge","When a team of explorers ventures into the uncharted maze of bones that lies beneath the streets of Paris, they embark on a journey into madness and terror.",en,US
Draft Day,2014,Drama,6.715,110,Ivan Reitman,,"Kevin Costner, Jennifer Garner, Denis Leary","At the NFL Draft, general manager Sonny Weaver has the opportunity to rebuild his team when he trades for the number one pick. He must decide what he's willing to sacrifice on a life-changing day for a few hundred young men with NFL dreams.",en,US
Mr. Peabody & Sherman,2014,"Animation, Adventure, Family",6.71,92,Rob Minkoff,,"Ty Burrell, Max Charles, Ariel Winter","A young boy and his dog, who happens to have a genius-level IQ, spring into action when their time-machine is stolen and moments in history begin to be changed.",en,US
The Boxtrolls,2014,"Animation, Comedy, Family, Fantasy",6.7,97,Graham Annable,,"Ben Kingsley, Isaac Hempstead Wright, Elle Fanning","An orphaned boy raised by underground creatures called Boxtrolls comes up from the sewers and out of his box to save his family and the town from the evil exterminator, Archibald Snatcher.",en,US
Camp X-Ray,2014,Drama,6.7,117,Peter Sattler,,"Kristen Stewart, Payman Maadi, Lane Garrison","A young woman joins the military to be part of something bigger than herself and her small-town roots. Instead, she ends up as a new guard at Guantanamo Bay, where her mission is far from black and white. Surrounded by hostile jihadists and aggressive squadmates, she strikes up an unusual friendship with one of the detainees.",en,US
When the Game Stands Tall,2014,Drama,6.7,115,Thomas Carter,Scott Marshall Smith,"Jim Caviezel, Michael Chiklis, Laura Dern",A young coach turns a losing high school football program around to go undefeated for 12 consecutive seasons.,en,US
Heaven Is for Real,2014,Drama,6.7,99,Randall Wallace,,"Greg Kinnear, Kelly Reilly, Connor Corum","The true story of the 4-year old son of a small-town pastor who, during emergency surgery, slips from consciousness and enters heaven. When he awakes, he recounts his experiences on the other side.",en,"CA, US"
Flowers in the Attic,2014,"Drama, Mystery, Thriller, TV Movie",6.7,90,Deborah Chow,,"Heather Graham, Kiernan Shipka, Mason Dye","After the sudden death of their father, four children face cruel treatment from their ruthless grandmother.",en,"CA, US"
Boy Meets Girl,2014,"Comedy, Drama, Romance",6.689,95,Eric Schaeffer,Eric Schaeffer,"Michelle Hendley, Alexandra Turshen, Michael Welch","In Kentucky, a transgender woman and her best male friend lament the lack of eligible partners and step across old boundaries of love and romance.",en,US
X+Y,2014,Drama,6.678,111,Morgan Matthews,,"Asa Butterfield, Rafe Spall, Sally Hawkins",A socially awkward teenage math prodigy finds new confidence and new friendships when he lands a spot on the British squad at the International Mathematics Olympiad.,en,GB
Foxcatcher,2014,"Drama, Thriller",6.653,134,Bennett Miller,E. Max Frye,"Steve Carell, Channing Tatum, Mark Ruffalo",The greatest Olympic Wrestling Champion brother team joins Team Foxcatcher led by multimillionaire sponsor John E. du Pont as they train for the 1988 games in Seoul - a union that leads to unlikely circumstances.,en,US
The Grand Seduction,2014,Comedy,6.652,112,Don McKellar,Michael Dowse,"Brendan Gleeson, Taylor Kitsch, Gordon Pinsent","A small fishing village must procure a local doctor to secure a lucrative business contract. When unlikely candidate and big city doctor Paul Lewis lands in their lap for a trial residence, the townsfolk rally together to charm him into staying. As the doctor’s time in the village winds to a close, acting mayor Murray French has no choice but to pull out all the stops and begin The Grand Seduction.",en,CA
Kill the Messenger,2014,"Crime, Drama, Mystery, Thriller, History",6.611,112,Michael Cuesta,,"Jeremy Renner, Mary Elizabeth Winstead, Michael Sheen",A reporter becomes the target of a vicious smear campaign that drives him to the point of suicide after he exposes the CIA's role in arming Contra rebels in Nicaragua and importing cocaine into California. Based on the true story of journalist Gary Webb.,en,US
A Most Violent Year,2014,"Crime, Drama, Thriller",6.61,124,J.C. Chandor,J.C. Chandor,"Oscar Isaac, Jessica Chastain, David Oyelowo","A thriller set in New York City during the winter of 1981, statistically one of the most violent years in the city's history, and centered on the lives of an immigrant and his family trying to expand their business and capitalize on opportunities as the rampant violence, decay, and corruption of the day drag them in and threaten to destroy all they have built.",en,US
