Title,Year,Genres,Rating,Runtime,Director,Writer,Actors,Plot,Language,Country
Interstellar,2014,"Adventure, Drama, Science Fiction",8.5,169,Christopher Nolan,Jonathan Nolan,"Matthew McConaughey, Anne Hathaway, Michael Caine",The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,en,US
Whiplash,2014,"Drama, Music",8.4,107,Damien Chazelle,Damien Chazelle,"Miles Teller, J.K. Simmons, Paul Reiser","Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.",en,US
My Little Pony: Equestria Girls - Rainbow Rocks,2014,"Family, Animation, Music",8.036,75,Jayson Thiessen,Meghan McCarthy,"Tara Strong, Ashleigh Ball, Andrea Libman","Music rules and rainbows rock as Twilight Sparkle and pals compete for the top spot in the Canterlot High ""Mane Event"" talent show. The girls must rock their way to the top, and outshine rival Adagio Dazzle and her band The Dazzlings, to restore harmony back to Canterlot High.",en,"CA, US"
The Grand Budapest Hotel,2014,"Comedy, Drama",8.0,100,Wes Anderson,,"Ralph Fiennes, F. Murray Abraham, Mathieu Amalric","The Grand Budapest Hotel tells of a legendary concierge at a famous European hotel between the wars and his friendship with a young employee who becomes his trusted protégé. The story involves the theft and recovery of a priceless Renaissance painting, the battle for an enormous family fortune and the slow and then sudden upheavals that transformed Europe during the first half of the 20th century.",en,US
Song of the Sea,2014,"Family, Animation, Fantasy",8.0,94,Tomm Moore,Will Collins,"David Rawle, Brendan Gleeson, Lisa Hannigan","The story of the last Seal Child’s journey home. After their mother’s disappearance, Ben and Saoirse are sent to live with Granny in the city. When they resolve to return to their home by the sea, their journey becomes a race against time as they are drawn into a world Ben knows only from his mother’s folktales. But this is no bedtime story; these fairy folk have been in our world far too long. It soon becomes clear to Ben that Saoirse is the key to their survival.",en,IE
The Imitation Game,2014,"History, Drama, Thriller, War",7.996,113,Morten Tyldum,,"Benedict Cumberbatch, Keira Knightley, Matthew Goode","Based on the real life story of legendary cryptanalyst Alan Turing, the film portrays the nail-biting race against time by Turing and his brilliant team of code-breakers at Britain's top-secret Government Code and Cypher School at Bletchley Park, during the darkest days of World War II.",en,US
Gone Girl,2014,"Mystery, Thriller, Drama",7.89,149,David Fincher,,"Ben Affleck, Rosamund Pike, Neil Patrick Harris","With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",en,US
The Theory of Everything,2014,"Drama, Romance",7.846,123,James Marsh,,"Eddie Redmayne, Felicity Jones, Charlie Cox","The Theory of Everything is the extraordinary story of one of the world’s greatest living minds, the renowned astrophysicist Stephen Hawking, who falls deeply in love with fellow Cambridge student Jane Wilde.",en,"US, GB"
"Love, Rosie",2014,"Romance, Drama, Comedy",7.8,102,Christian Ditter,,"Lily Collins, Sam Claflin, Christian Cooke","Since the moment they met at age 5, Rosie and Alex have been best friends, facing the highs and lows of growing up side by side. A fleeting shared moment, one missed opportunity, and the decisions that follow send their lives in completely different directions. As each navigates the complexities of life, love, and everything in between, they always find their way back to each other - but is it just friendship, or something more?",en,GB
The Normal Heart,2014,Drama,7.8,133,Ryan Murphy,,"Mark Ruffalo, Matt Bomer, Taylor Kitsch","The story of the onset of the HIV-AIDS crisis in New York City in the early 1980s, taking an unflinching look at the nation's sexual politics as gay activists and their allies in the medical community fight to expose the truth about the burgeoning epidemic to a city and nation in denial.",en,US
