Rank,Release Group,Worldwide,Domestic,%,Foreign,%
185,Rafadan Tayfa: Kapadokya,"$10,353,091",-,-,"$10,353,091",100%
186,Mrs. Green Apple: The White Lounge,"$10,337,403",-,-,"$10,337,403",100%
187,Parthenope,"$10,229,334","$208,634",2%,"$10,020,700",98%
188,All About Suomi,"$10,176,530",-,-,"$10,176,530",100%
189,Muroi Shinji: Ikitsuzukeru Mono,"$10,174,418",-,-,"$10,174,418",100%
190,Saturday Night,"$10,039,258","$9,511,315",94.7%,"$527,943",5.3%
191,The Boy with Pink Trousers,"$9,961,527",-,-,"$9,961,527",100%
192,Der Spitzname,"$9,959,269",-,-,"$9,959,269",100%
193,Lisa Frankenstein,"$9,927,714","$9,774,285",98.5%,"$153,429",1.5%
194,Io e te dobbiamo parlare,"$9,886,115",-,-,"$9,886,115",100%
195,Listy do M. Pozegnania i powroty,"$9,782,064",-,-,"$9,782,064",100%
196,Ruki vverkh!,"$9,750,460",-,-,"$9,750,460",100%
197,Undercover,"$9,515,710",-,-,"$9,515,710",100%
198,The Chosen: S4 Episodes 4-6,"$9,482,744","$9,482,744",100%,-,-
199,A Smile Doesn't Lie,"$9,211,570",-,-,"$9,211,570",100%
200,Onegin,"$9,201,680",-,-,"$9,201,680",100%
